time_s,bridge_legacy,percolation_valid,percolation_status,PJ_channel_W,QJ_channel_J,channel_volume_m3,channel_length_m,channel_effective_radius_m,sigma_eff_S_m,E_channel_mean_V_m,ne_channel_mean_m3,ne_channel_max_m3,Gb_S,Rb_ohm,dGb_dt_S_s,tau_sigma_s,tau_evolution_s,Xi_sigma,Q_required_J,Pi_H,calibration_status,handoff_status,thermal_profile_status
6.198053824772161e-15,False,False,NO_FIELD_SNAPSHOT,4.5635136796618866e-06,0.0,4.712388980384692e-16,9.375000000000004e-06,4e-06,1.943596628478035e-05,21764526.455067992,3551950859994208.5,6339749810093922.0,2.185962254724331e-11,45746444058.61934,nan,4.555568621115286e-07,nan,nan,nan,nan,NOT_AVAILABLE,HANDOFF_CALIBRATION_PENDING,NOT_AVAILABLE
1.2396107642657781e-14,False,False,NO_FIELD_SNAPSHOT,4.574738970023565e-06,2.831969086209314e-20,4.712388980384692e-16,9.375000000000004e-06,4e-06,1.9446821996533418e-05,21764526.397909723,3554228841618143.5,6336878955197043.0,2.194440734735464e-11,45569697288.75126,13.679261684799954,4.5530255865859953e-07,1.6042099239711677e-12,283817.31832920806,nan,nan,NOT_AVAILABLE,HANDOFF_CALIBRATION_PENDING,NOT_AVAILABLE
1.8594161453033164e-14,False,False,NO_FIELD_SNAPSHOT,4.585968164289685e-06,5.670896874187474e-20,4.712388980384692e-16,9.375000000000004e-06,4e-06,1.945766662388024e-05,21764526.340539977,3556504834663925.0,6333994948288754.0,2.2029530241054386e-11,45393614346.637,13.733810048123786,4.550487981911113e-07,1.6040363281465292e-12,283689.83308309613,nan,nan,NOT_AVAILABLE,HANDOFF_CALIBRATION_PENDING,NOT_AVAILABLE
2.479221525646677e-14,False,False,NO_FIELD_SNAPSHOT,4.5972011572200715e-06,8.516785751225393e-20,4.712388980384692e-16,9.375000000000004e-06,4e-06,1.9468499971953162e-05,21764526.283344403,3558778800516319.0,6331097849123743.0,2.211499127246919e-11,45218195552.484505,13.788365529750727,4.547955839204653e-07,1.6038878012591384e-12,283558.2286762367,nan,nan,NOT_AVAILABLE,HANDOFF_CALIBRATION_PENDING,NOT_AVAILABLE
3.099026905270719e-14,False,False,NO_ELECTRODE_ADJACENT_SEEDS,4.608437843213509e-06,1.1369638038898204e-19,4.712388980384692e-16,9.375000000000004e-06,4e-06,1.9479321845703437e-05,21764526.22628334,3561050700547784.5,6328187717328334.0,2.2200790476978758e-11,45043441180.03167,13.842926720257058,4.545429190468955e-07,1.6037642129890938e-12,283422.5351616488,nan,nan,NOT_AVAILABLE,HANDOFF_CALIBRATION_PENDING,NOT_AVAILABLE
3.718832284168924e-14,False,False,NO_FIELD_SNAPSHOT,4.619678116314895e-06,1.4229455993304241e-19,4.712388980384692e-16,9.375000000000004e-06,4e-06,1.9490132050003095e-05,21764526.16915165,3563320496120308.5,6325264612400284.0,2.2286927881339046e-11,44869351456.79297,13.897492227868403,4.5429080675718635e-07,1.603665432289104e-12,283282.7830607551,nan,nan,NOT_AVAILABLE,HANDOFF_CALIBRATION_PENDING,NOT_AVAILABLE
4.338637662384921e-14,False,False,NO_FIELD_SNAPSHOT,4.630921870343086e-06,1.7096241805031967e-19,4.712388980384692e-16,9.375000000000004e-06,4e-06,1.9500930389885176e-05,21764526.112200473,3565588148586767.0,6322328593708668.0,2.2373403504711016e-11,44695926562.51146,13.952060826073327,4.540392502191858e-07,1.6035913105324237e-12,283139.0063272642,nan,nan,NOT_AVAILABLE,HANDOFF_CALIBRATION_PENDING,NOT_AVAILABLE
4.958443039864167e-14,False,False,NO_FIELD_SNAPSHOT,4.64216899870981e-06,1.9969997598278306e-19,4.712388980384692e-16,9.375000000000004e-06,4e-06,1.951171667008058e-05,21764526.055173393,3567853619291132.5,6319379720493954.0,2.2460217356909983e-11,44523166633.21807,14.006631009243481,4.5378825259271427e-07,1.6035417326327562e-12,282991.2333168076,nan,nan,NOT_AVAILABLE,HANDOFF_CALIBRATION_PENDING,NOT_AVAILABLE
5.5782484166437406e-14,False,False,NO_FIELD_SNAPSHOT,4.653419394587934e-06,2.2850725431526175e-19,4.712388980384692e-16,9.375000000000004e-06,4e-06,1.9522490695464835e-05,21764525.99811,3570116869570849.0,6316418051867801.0,2.2547369439981092e-11,44351071758.588196,14.061201521668,4.5353781701926327e-07,1.6035165561944402e-12,282839.49752014154,nan,nan,NOT_AVAILABLE,HANDOFF_CALIBRATION_PENDING,NOT_AVAILABLE
6.19805379273199e-14,False,False,NO_FIELD_SNAPSHOT,4.664672950919381e-06,2.5738427296842275e-19,4.712388980384692e-16,9.375000000000004e-06,4e-06,1.9533252270835675e-05,21764525.941158764,3572377860757221.0,6313443646813076.0,2.2634859747826052e-11,44179641983.24861,14.115771050121223,4.5328794662729245e-07,1.6035156469636612e-12,282683.8312963246,nan,nan,NOT_AVAILABLE,HANDOFF_CALIBRATION_PENDING,NOT_AVAILABLE
6.817859168129084e-14,False,False,NO_FIELD_SNAPSHOT,4.675929560174308e-06,2.8633105119754003e-19,4.712388980384692e-16,9.375000000000004e-06,4e-06,1.9544001200991046e-05,21764525.88398573,3574636554176755.0,6310456564183830.0,2.2722688265053362e-11,44008877309.55506,14.170338095412596,4.530386445305283e-07,1.603538893148177e-12,282524.26334424096,nan,nan,NOT_AVAILABLE,HANDOFF_CALIBRATION_PENDING,NOT_AVAILABLE
7.437664542857226e-14,False,False,NO_FIELD_SNAPSHOT,4.687189114809223e-06,3.1534760759240124e-19,4.712388980384692e-16,9.375000000000004e-06,4e-06,1.9554737290657203e-05,21764525.827066008,3576892911152388.5,6307456862705097.0,2.281085496918041e-11,43838777693.82573,14.2249015129498,4.5278991382974624e-07,1.6035861442284356e-12,282360.82948172756,nan,nan,NOT_AVAILABLE,HANDOFF_CALIBRATION_PENDING,NOT_AVAILABLE
8.057469916930895e-14,False,False,NO_FIELD_SNAPSHOT,4.698451506901484e-06,3.4443396007470336e-19,4.712388980384692e-16,9.375000000000004e-06,4e-06,1.9565460344730898e-05,21764525.77031752,3579146893004619.5,6304444600973093.0,2.2899359829158807e-11,43669343049.78491,14.27945992089408,4.52541757607277e-07,1.6036572780775736e-12,282193.56080232636,nan,nan,NOT_AVAILABLE,HANDOFF_CALIBRATION_PENDING,NOT_AVAILABLE
8.67727529029325e-14,False,False,NO_FIELD_SNAPSHOT,4.709716628059172e-06,3.735901258924289e-19,4.712388980384692e-16,9.375000000000004e-06,4e-06,1.9576170167858432e-05,21764525.71350623,3581398461052201.0,6301419837454941.0,2.2988202804050163e-11,43500573251.5904,14.334011725228535,4.5229417893687116e-07,1.6037521975505186e-12,282022.4842888321,nan,nan,NOT_AVAILABLE,HANDOFF_CALIBRATION_PENDING,NOT_AVAILABLE
9.297080662983088e-14,False,False,NO_FIELD_SNAPSHOT,4.720984370017307e-06,4.0281612162662495e-19,4.712388980384692e-16,9.375000000000004e-06,4e-06,1.958686656484178e-05,21764525.65707075,3583647576614216.5,6298382630488649.0,2.307738384687736e-11,43332468127.027824,14.388555949453732,4.5204718087441177e-07,1.6038707378243543e-12,281847.639098156,nan,nan,NOT_AVAILABLE,HANDOFF_CALIBRATION_PENDING,NOT_AVAILABLE
9.916886034983271e-14,False,False,NO_FIELD_SNAPSHOT,4.7322546233368995e-06,4.3211196318103767e-19,4.712388980384692e-16,9.375000000000004e-06,4e-06,1.9597549340518308e-05,21764525.599688333,3585894201010541.0,6295333038283168.0,2.3166902897572682e-11,43165027471.35765,14.443090482812853,4.5180076646082466e-07,1.6040128617307416e-12,281669.04221287125,nan,nan,NOT_AVAILABLE,HANDOFF_CALIBRATION_PENDING,NOT_AVAILABLE
1.0536691406370477e-13,False,False,NO_FIELD_SNAPSHOT,4.743527279805679e-06,4.614776657893449e-19,4.712388980384692e-16,9.375000000000004e-06,4e-06,1.960821829966365e-05,21764525.543182835,3588138295563258.0,6292271118917968.0,2.325675989531256e-11,42998251024.70752,14.49761520116664,4.5155493872443685e-07,1.6041783129573656e-12,281486.74937013554,nan,nan,NOT_AVAILABLE,HANDOFF_CALIBRATION_PENDING,NOT_AVAILABLE
1.1156496777079106e-13,False,False,NO_FIELD_SNAPSHOT,4.754802229758038e-06,4.909132440032841e-19,4.712388980384692e-16,9.375000000000004e-06,4e-06,1.9618873247094797e-05,21764525.486582316,3590379821597366.0,6289196930343741.0,2.334695476459319e-11,42832138498.7026,14.55212773931067,4.513097006787149e-07,1.6043670852011864e-12,281300.77264837496,nan,nan,NOT_AVAILABLE,HANDOFF_CALIBRATION_PENDING,NOT_AVAILABLE
1.1776302147131743e-13,False,False,NO_FIELD_SNAPSHOT,4.766079363561788e-06,5.204187116991588e-19,4.712388980384692e-16,9.375000000000004e-06,4e-06,1.9629513987686178e-05,21764525.42967613,3592618740442574.0,6286110530381610.0,2.343748742307535e-11,42666689562.27156,14.60662699235281,4.5106505532201846e-07,1.6045790335678367e-12,281111.1487098643,nan,nan,NOT_AVAILABLE,HANDOFF_CALIBRATION_PENDING,NOT_AVAILABLE
1.2396107516561005e-13,False,False,NO_FIELD_SNAPSHOT,4.777358571683774e-06,5.499940820745593e-19,4.712388980384692e-16,9.375000000000004e-06,4e-06,1.964014032634967e-05,21764525.373182356,3594855013434110.0,6283011976723296.0,2.352835778186826e-11,42501903841.78166,14.661111903013502,4.5082100563818353e-07,1.6048140098454708e-12,280917.91501844727,nan,nan,NOT_AVAILABLE,HANDOFF_CALIBRATION_PENDING,NOT_AVAILABLE
1.3015912885334043e-13,False,False,NO_FIELD_SNAPSHOT,4.78863974397875e-06,5.796393676431667e-19,4.712388980384692e-16,9.375000000000004e-06,4e-06,1.965075206797586e-05,21764525.31679679,3597088601913562.5,6279901326931377.0,2.3619565741621848e-11,42337780928.7079,14.715580785326607,4.5057755459799215e-07,1.6050719360783708e-12,280721.0969614709,nan,nan,NOT_AVAILABLE,HANDOFF_CALIBRATION_PENDING,NOT_AVAILABLE
1.3635718253462583e-13,False,False,NO_FIELD_SNAPSHOT,4.799922770129543e-06,6.093545802375688e-19,4.712388980384692e-16,9.375000000000004e-06,4e-06,1.9661349017582888e-05,21764525.26033061,3599319467230549.5,6276778638438893.0,2.3711111194994885e-11,42174320375.63416,14.77003234893766,4.5033470515587794e-07,1.605352692182852e-12,280520.7275315574,nan,nan,NOT_AVAILABLE,HANDOFF_CALIBRATION_PENDING,NOT_AVAILABLE
1.425552362095775e-13,False,False,NO_FIELD_SNAPSHOT,4.8112075395639724e-06,6.391397310057864e-19,4.712388980384692e-16,9.375000000000004e-06,4e-06,1.9671930980184845e-05,21764525.203595404,3601547570743528.5,6273643968549353.0,2.380299402606909e-11,42011521697.85019,14.824465210027478,4.5009246025307085e-07,1.6056561696383088e-12,280316.8379158403,nan,nan,NOT_AVAILABLE,HANDOFF_CALIBRATION_PENDING,NOT_AVAILABLE
1.4875328987855783e-13,False,False,NO_FIELD_SNAPSHOT,4.8224939417568035e-06,6.689948304118671e-19,4.712388980384692e-16,9.375000000000004e-06,4e-06,1.968249776089889e-05,21764525.14720573,3603772873821116.0,6270497374436678.0,2.3895214112136775e-11,41849384370.7424,14.878878272581535,4.4985082281526623e-07,1.6059822302713735e-12,280109.4646852051,nan,nan,NOT_AVAILABLE,HANDOFF_CALIBRATION_PENDING,NOT_AVAILABLE
1.549513435413077e-13,False,False,NO_FIELD_SNAPSHOT,4.8337818656605815e-06,6.989198882302102e-19,4.712388980384692e-16,9.375000000000004e-06,4e-06,1.969304916487274e-05,21764525.090892274,3605995337842773.0,6267338913145451.0,2.398777132036759e-11,41687907836.22811,14.933269904886602,4.496097957544107e-07,1.6063307951407274e-12,279898.63427540235,nan,nan,NOT_AVAILABLE,HANDOFF_CALIBRATION_PENDING,NOT_AVAILABLE
1.6114939719782541e-13,False,False,NO_FIELD_SNAPSHOT,4.845071200142174e-06,7.289149135479084e-19,4.712388980384692e-16,9.375000000000004e-06,4e-06,1.970358499732366e-05,21764525.034766424,3608214924200336.5,6264168641590564.0,2.4080665510265113e-11,41527091498.93385,14.98763886947614,4.493693819679345e-07,1.6067017440157205e-12,279684.38052777626,nan,nan,NOT_AVAILABLE,HANDOFF_CALIBRATION_PENDING,NOT_AVAILABLE
1.6734745084806385e-13,False,False,NO_FIELD_SNAPSHOT,4.856361833642591e-06,7.589799147617052e-19,4.712388980384692e-16,9.375000000000004e-06,4e-06,1.9714105063506297e-05,21764524.978435982,3610431594299014.5,6260986616557305.0,2.4173896531662512e-11,41366934730.2045,15.041983606226491,4.4912958433961084e-07,1.6070949925551009e-12,279466.73122635094,nan,nan,NOT_AVAILABLE,HANDOFF_CALIBRATION_PENDING,NOT_AVAILABLE
1.7354550449257167e-13,False,False,NO_FIELD_SNAPSHOT,4.867653654819776e-06,7.891148995804625e-19,4.712388980384692e-16,9.375000000000004e-06,4e-06,1.972460916893055e-05,21764524.922387633,3612645309558792.5,6257792894701148.0,2.4267464228835856e-11,41207436861.563324,15.09630321710035,4.4889040573471943e-07,1.6075103871354984e-12,279245.7263897493,nan,nan,NOT_AVAILABLE,HANDOFF_CALIBRATION_PENDING,NOT_AVAILABLE
1.7974355813070792e-13,False,False,NO_FIELD_SNAPSHOT,4.8789465516039616e-06,8.193198750149046e-19,4.712388980384692e-16,9.375000000000004e-06,4e-06,1.9735097118950618e-05,21764524.866152428,3614856031414630.0,6254587532548027.0,2.4361368434113525e-11,41048597196.19394,15.150595777339218,4.48651849009538e-07,1.6079478848317557e-12,279021.3869751642,nan,nan,NOT_AVAILABLE,HANDOFF_CALIBRATION_PENDING,NOT_AVAILABLE
1.859416117629341e-13,False,False,NO_ELECTRODE_ADJACENT_SEEDS,4.890240412129228e-06,8.495948473871362e-19,4.712388980384692e-16,9.375000000000004e-06,4e-06,1.9745568719139848e-05,21764524.81014933,3617063721318733.5,6251370586493970.0,2.445559234934381e-11,40890442795.87167,15.202178106426155,4.4841391700292867e-07,1.6086900296876615e-12,278744.7604744535,nan,nan,NOT_AVAILABLE,HANDOFF_CALIBRATION_PENDING,NOT_AVAILABLE
