step,percolation_valid,percolation_status,threshold_sigma_S_m,threshold_fraction,path_length_m,bottleneck_sigma_S_m,percolated_cell_count
100,False,NO_ELECTRODE_ADJACENT_SEEDS,1.6425062992833436e-06,0.05,nan,nan,0
100,False,NO_ELECTRODE_ADJACENT_SEEDS,3.285012598566687e-06,0.1,nan,nan,0
100,False,NO_ELECTRODE_ADJACENT_SEEDS,6.570025197133374e-06,0.2,nan,nan,0
0,False,NO_ELECTRODE_ADJACENT_SEEDS,1.736115837036646e-06,0.05,nan,nan,0
0,False,NO_ELECTRODE_ADJACENT_SEEDS,3.472231674073292e-06,0.1,nan,nan,0
0,False,NO_ELECTRODE_ADJACENT_SEEDS,6.944463348146584e-06,0.2,nan,nan,0
30,False,NO_ELECTRODE_ADJACENT_SEEDS,1.7111422729216083e-06,0.05,nan,nan,0
30,False,NO_ELECTRODE_ADJACENT_SEEDS,3.4222845458432166e-06,0.1,nan,nan,0
30,False,NO_ELECTRODE_ADJACENT_SEEDS,6.844569091686433e-06,0.2,nan,nan,0
5,False,NO_ELECTRODE_ADJACENT_SEEDS,1.7321688346613323e-06,0.05,nan,nan,0
5,False,NO_ELECTRODE_ADJACENT_SEEDS,3.4643376693226647e-06,0.1,nan,nan,0
5,False,NO_ELECTRODE_ADJACENT_SEEDS,6.928675338645329e-06,0.2,nan,nan,0
80,False,NO_ELECTRODE_ADJACENT_SEEDS,1.663402759990796e-06,0.05,nan,nan,0
80,False,NO_ELECTRODE_ADJACENT_SEEDS,3.326805519981592e-06,0.1,nan,nan,0
80,False,NO_ELECTRODE_ADJACENT_SEEDS,6.653611039963184e-06,0.2,nan,nan,0
