"parameter_id","symbol","canonical_name","description","model_module","case_scope","value_original","unit_original","value_SI","unit_SI","conversion_expression","source_id","source_location","provenance_type","confidence","implementation_status","uncertainty_or_range","notes"
"PAR-0001","E_k","conventional_breakdown_field","breakdown field","gas","global","3200000.0","V/m","3200000.0","V/m","identity","SRC-0001","PDF p.2, printed p.444, Section 2","direct","high","frozen","",""
"PAR-0002","E0","background_1p5Ek","background field","gas","Cases I-III","1.5 E_k","","4800000.0","V/m","1.5*3.2e6","SRC-0001","PDF p.2, printed p.444","derived","high","frozen","",""
"PAR-0003","E0","background_2Ek","background field","gas","Case IV","2 E_k","","6400000.0","V/m","2*3.2e6","SRC-0001","PDF p.2, printed p.444","derived","high","frozen","",""
"PAR-0004","n0","initial_peak_density","seed peak density","initial_condition","Cases I-IV","100000000000000.0","cm^-3","1e+20","m^-3","1e14*1e6","SRC-0001","PDF p.2, printed p.444","derived","high","frozen","",""
"PAR-0005","d0","case_I_separation","separation","initial_condition","Case I","0.3","cm","0.003","m","0.3*0.01","SRC-0001","PDF pp.3-4, printed pp.445-446, Section 3","derived","high","frozen","",""
"PAR-0006","sigma1","case_I_seed1_width","seed1_width","initial_condition","Case I","0.1","mm","0.0001","m","0.1*0.001","SRC-0001","PDF pp.3-4, printed pp.445-446, Section 3","derived","high","frozen","",""
"PAR-0007","sigma2","case_I_seed2_width","seed2_width","initial_condition","Case I","0.1","mm","0.0001","m","0.1*0.001","SRC-0001","PDF pp.3-4, printed pp.445-446, Section 3","derived","high","frozen","",""
"PAR-0008","E0/Ek","case_I_field_ratio","field ratio","gas","Case I","1.5","1","1.5","1","identity","SRC-0001","PDF pp.3-4, printed pp.445-446","direct","high","frozen","",""
"PAR-0009","d0","case_II_separation","separation","initial_condition","Case II","1.4","cm","0.013999999999999999","m","1.4*0.01","SRC-0001","PDF pp.3-4, printed pp.445-446, Section 3","derived","high","frozen","",""
"PAR-0010","sigma1","case_II_seed1_width","seed1_width","initial_condition","Case II","0.1","mm","0.0001","m","0.1*0.001","SRC-0001","PDF pp.3-4, printed pp.445-446, Section 3","derived","high","frozen","",""
"PAR-0011","sigma2","case_II_seed2_width","seed2_width","initial_condition","Case II","0.1","mm","0.0001","m","0.1*0.001","SRC-0001","PDF pp.3-4, printed pp.445-446, Section 3","derived","high","frozen","",""
"PAR-0012","E0/Ek","case_II_field_ratio","field ratio","gas","Case II","1.5","1","1.5","1","identity","SRC-0001","PDF pp.3-4, printed pp.445-446","direct","high","frozen","",""
"PAR-0013","d0","case_III_separation","separation","initial_condition","Case III","1.4","cm","0.013999999999999999","m","1.4*0.01","SRC-0001","PDF pp.3-4, printed pp.445-446, Section 3","derived","high","frozen","",""
"PAR-0014","sigma1","case_III_seed1_width","seed1_width","initial_condition","Case III","0.1","mm","0.0001","m","0.1*0.001","SRC-0001","PDF pp.3-4, printed pp.445-446, Section 3","derived","high","frozen","",""
"PAR-0015","sigma2","case_III_seed2_width","seed2_width","initial_condition","Case III","0.5","mm","0.0005","m","0.5*0.001","SRC-0001","PDF pp.3-4, printed pp.445-446, Section 3","derived","high","frozen","",""
"PAR-0016","E0/Ek","case_III_field_ratio","field ratio","gas","Case III","1.5","1","1.5","1","identity","SRC-0001","PDF pp.3-4, printed pp.445-446","direct","high","frozen","",""
"PAR-0017","d0","case_IV_separation","separation","initial_condition","Case IV","0.3","cm","0.003","m","0.3*0.01","SRC-0001","PDF pp.3-4, printed pp.445-446, Section 3","derived","high","frozen","",""
"PAR-0018","sigma1","case_IV_seed1_width","seed1_width","initial_condition","Case IV","0.1","mm","0.0001","m","0.1*0.001","SRC-0001","PDF pp.3-4, printed pp.445-446, Section 3","derived","high","frozen","",""
"PAR-0019","sigma2","case_IV_seed2_width","seed2_width","initial_condition","Case IV","0.1","mm","0.0001","m","0.1*0.001","SRC-0001","PDF pp.3-4, printed pp.445-446, Section 3","derived","high","frozen","",""
