figure,source_file,run_id,metric,sha256,generation_script
figure_01_toolchain_architecture.svg,docs/stage5_closure_report.md,DOCUMENTATION,toolchain architecture,be112a14647af820d9588d185274ab5a73cfce80d088a8de71eca14b1eb6d73b,python/summarize/generate_simulation_summary_figures.py
figure_02_stage_timeline.svg,docs/stage5_closure_report.md,DOCUMENTATION,stage timeline,be112a14647af820d9588d185274ab5a73cfce80d088a8de71eca14b1eb6d73b,python/summarize/generate_simulation_summary_figures.py
figure_03_stage3_streamer_evolution.png,results/stage3/single_seed/coarse_ml_recovery_resume1/scalar_history.csv,S3-COARSE_ML_RECOVERY_RESUME1,scalar history,86597d292a3854450b348f4e62756a7d85975b638eeaca438aa5d9da5be55bcc,python/summarize/generate_simulation_summary_figures.py
figure_03_stage3_streamer_evolution.png,results/stage3/single_seed/coarse_ml_recovery_resume1/head_trajectory.csv,S3-COARSE_ML_RECOVERY_RESUME1,head trajectory,6a47eab840b42003858c37712c30ede6b8c394292991d17c816e4b682d0e3296,python/summarize/generate_simulation_summary_figures.py
figure_03_stage3_streamer_evolution.png,results/stage3/single_seed/coarse_ml_recovery_resume1/fields_final.csv,S3-COARSE_ML_RECOVERY_RESUME1,final field,9bcf3b45b80bd15ee3a66f9e0670e33af0ce7710d9b8f8934cd4ad59e1d37f2f,python/summarize/generate_simulation_summary_figures.py
figure_04_sp3_on_off.png,results/stage3/sensitivity/photoionization_sensitivity.csv,S3-COARSE_NO_SP3,photoionization off sensitivity,8c2546fbe3cb186fbb24cef6131bc4963ac72203bbc16958a43633327594c7d8,python/summarize/generate_simulation_summary_figures.py
figure_04_sp3_on_off.png,results/stage3/sensitivity/photoionization_sensitivity.csv,S3-SP3_FORK_OFF_RESUME1,SP3 fork-off sensitivity,8c2546fbe3cb186fbb24cef6131bc4963ac72203bbc16958a43633327594c7d8,python/summarize/generate_simulation_summary_figures.py
figure_05_collision_sequence.png,results/stage4/figures/01_double_seed_initial_density.png,S4-PAPERLIKE-20UM,collision sequence panel,4c9a1c62bb0458e15d9817f00274730adc9cf5259c80e8e0606e56d57366167b,python/summarize/generate_simulation_summary_figures.py
figure_05_collision_sequence.png,results/stage4/figures/02_opposing_propagation_density.png,S4-PAPERLIKE-20UM,collision sequence panel,f998475db08835f0c3abc6806a43ebdf1338a15a24865ce199816879bf1057de,python/summarize/generate_simulation_summary_figures.py
figure_05_collision_sequence.png,results/stage4/figures/03_precollision_field_enhancement.png,S4-PAPERLIKE-20UM,collision sequence panel,8bb7a8a86a87305c868fdb7fd3c031af1e5e7b86b36f807d49af8f49c3126c16,python/summarize/generate_simulation_summary_figures.py
figure_05_collision_sequence.png,results/stage4/figures/04_bridge_channel_density.png,S4-PAPERLIKE-20UM,collision sequence panel,188c5809c997be81a5e8ebfb5958d40824f8033954d04e9f949993cc7a8e90f3,python/summarize/generate_simulation_summary_figures.py
figure_05_collision_sequence.png,results/stage4/figures/05_postcollision_field_drop.png,S4-PAPERLIKE-20UM,collision sequence panel,487b5c48dbaf447ee7c70a92bb31db53cb95a472e223f3c14eef87ff21e2700f,python/summarize/generate_simulation_summary_figures.py
figure_06_collision_diagnostics.png,results/stage4/collision/collision_event.csv,S4-PAPERLIKE-20UM,collision event,63dd08fa71a93ad519ad6948aaf467b23d6fc289dd9d657293cf3e7999f56978,python/summarize/generate_simulation_summary_figures.py
figure_06_collision_diagnostics.png,results/stage4/runs/paperlike_20um/collision_metrics.csv,S4-PAPERLIKE-20UM,collision metrics,6e12b6ae8d9ea94d4fdadbf5580f35cca052e7f17406a435fbb54aeb88ae9395,python/summarize/generate_simulation_summary_figures.py
figure_07_current_moment.png,results/stage4/current_moment/collision.csv,S4-PAPERLIKE-20UM,collision,aca3d19268fa67d73aafe10f65ddfcc66e30808017ce75ba27042748070298ab,python/summarize/generate_simulation_summary_figures.py
figure_07_current_moment.png,results/stage4/current_moment/left_isolated.csv,S4-PAPERLIKE-20UM,left isolated,06322e2cb19bacf2eeeb16812d2a822773cbc616962fff276f43d555285354c3,python/summarize/generate_simulation_summary_figures.py
figure_07_current_moment.png,results/stage4/current_moment/right_isolated.csv,S4-PAPERLIKE-20UM,right isolated,7de41225843221fd6661f9987f3dc3f684a25716cb0b90c0aa2022c98c476062,python/summarize/generate_simulation_summary_figures.py
figure_08_delta_current.png,results/stage4/current_moment/delta_current_moment.csv,S4-PAPERLIKE-20UM,Delta I,b07f6ca0924506c37d27135b266bbc2c922cff5ecae4b398df7ebcf292b1f658,python/summarize/generate_simulation_summary_figures.py
figure_08_delta_current.png,results/stage4/current_moment/delta_current_pulse_metrics.csv,S4-PAPERLIKE-20UM,pulse metrics,b466d44b5912b7e5f9ef0669f0e27322a4fe19479f1f1ba6106c2f0522bee621,python/summarize/generate_simulation_summary_figures.py
