source_id,short_key,authors,year,title,journal,doi,local_file,file_sha256,document_role,supports_modules,priority,availability,notes
SRC-0001,Shi2019,Feng Shi; Ningyu Liu; Joseph R. Dwyer; Kevin M. A. Ihaddadene,2019,VHF and UHF electromagnetic radiation produced by streamers in lightning,Geophysical Research Letters,10.1029/2018GL080309,references/Shi 等 - 2019 - VHF and UHF electromagnetic radiation produced by streamers in lightning.pdf,b191a4aa74970edd4d7f50b19932061afe89462b356e3498b164c08296e393d6,primary paper,streamer_collision;current_moment;radiation;fft;esd;validation,1,local_complete,Primary target
SRC-0002,Shi2019Figshare,Shi et al.,2019,Simulation data allowing reproduction of figures,Figshare,,,,original simulation data,streamer_collision;current_moment;radiation;fft;validation,1,unavailable,Paper provides link; files currently unavailable
SRC-0003,Bourdon2007,A. Bourdon et al.,2007,Efficient models for photoionization produced by non-thermal gas discharges in air based on radiative transfer and the Helmholtz equations,Plasma Sources Science and Technology,10.1088/0963-0252/16/3/026,references/Bourdon 等 - 2007 - Efficient models for photoionization produced by non-thermal gas discharges in air based on radiativ.pdf,9487eb313234da164e877198b09b9022c2905b1cacdce371dee138d2c0c46c68,photoionization formulation,photoionization;validation,1,local_complete,Keep Table 3 SP3 separate from Table 2 Helmholtz
SRC-0004,Liu2007,Ningyu Liu et al.,2007,Application of photoionization models based on radiative transfer and the Helmholtz equations to studies of streamers in weak electric fields,Applied Physics Letters,10.1063/1.2816906,references/Liu 等 - 2007 - Application of photoionization models based on radiative transfer and the helmholtz equations to stu.pdf,9fdde8b5ca184dda14efb6b86c4ec363fbeb25b500dc8b9a16d97c31fa06b0ed,SP3 validation,photoionization;validation,1,local_complete,
SRC-0005,Kulikovsky1995,A. A. Kulikovsky,1995,A More Accurate Scharfetter-Gummel Algorithm of Electron Transport for Semiconductor and Gas Discharge Simulation,Journal of Computational Physics,,references/Kulikovsky - 1995 - A more accurate scharfetter-gummel algorithm of electron transport for semiconductor and gas dischar.pdf,d73869bd23ab9880ad80698cc30ca1557d7aa05cf1acfe8cd33685ce8c123b64,numerical flux formulation,numerical_flux;transport;validation,1,local_scan,7-page scan checked page by page
SRC-0006,Ihaddadene2015,K. M. A. Ihaddadene; S. Celestin,2015,Increase of the electric field in head-on collisions between negative and positive streamers,Geophysical Research Letters,10.1002/2015GL064623,references/Ihaddadene和Celestin - 2015 - Increase of the electric field in head-on collisions between negative and positive streamers.pdf,beda439bd5f0c56cffec5df49ba7608f6da28a26f2f815373ff8d7fa0401a169,collision validation,streamer_collision;validation,2,local_complete,
SRC-0007,Shi2016,Feng Shi; Ningyu Liu; Hamid K. Rassoul,2016,Properties of relatively long streamers initiated from an isolated hydrometeor,Journal of Geophysical Research: Atmospheres,10.1002/2015JD024580,references/Shi 等 - 2016 - Properties of relatively long streamers initiated from an isolated hydrometeor.pdf,52b7688735bb2f192e9911b722c93e03d243c02d233a6df6f7932d19b2ba9012,model lineage,fluid_model;transport;poisson;photoionization;current_moment;radiation;validation,2,local_complete,
SRC-0008,Shi2017,Feng Shi; Ningyu Liu; Joseph R. Dwyer,2017,Three-dimensional modeling of two interacting streamers,Journal of Geophysical Research: Atmospheres,10.1002/2017JD026935,references/Shi 等 - 2017 - Three-dimensional modeling of two interacting streamers.pdf,67126558f5cf0e307b0eaa363877becdceda4f60a951bf4b2b3b51ef59fe662f,model lineage,fluid_model;transport;poisson;photoionization;numerical_flux;validation,2,local_complete,
SRC-0009,Luque2017,Alejandro Luque,2017,Radio frequency electromagnetic radiation from streamer collisions,Journal of Geophysical Research: Atmospheres,10.1002/2017JD027157,references/Luque - 2017 - Radio frequency electromagnetic radiation from streamer collisions.pdf,160f61616fb5a2f2f224e3b7ef6edecf47af79a7dcab5b586831f91b7c3d4671,full-Maxwell validation,radiation;streamer_collision;validation,2,local_complete,Validation only
SRC-0010,LiuPasko2004,Ningyu Liu; Victor P. Pasko,2004,Effects of photoionization on propagation and branching of positive and negative streamers in sprites,Journal of Geophysical Research,10.1029/2003JA010064,references/Liu和Pasko - 2004 - Effects of photoionization on propagation and branching of positive and negative streamers in sprite.pdf,ae5ed5c280bd50ec1244d4244e946ba89039ba5dbde6a1a4dc50ed08d515f40c,model lineage,fluid_model;transport;poisson;photoionization;validation,3,local_complete,
SRC-0011,MorrowLowke1997,R. Morrow; J. J. Lowke,1997,Streamer propagation in air,Journal of Physics D: Applied Physics,10.1088/0022-3727/30/4/017,references/Morrow and Lowke - 1997 - Streamer propagation in air.pdf,8095418484042060a50ec1bd7df4037c825833853fa86b9e17219d1141e588fd,Stage 3 analytic transport baseline,fluid_model;transport;reaction;validation,1,local_complete,Appendix A1-A14 is the authoritative Stage 3 material-function source
