frequency_Hz,Z_real_ohm,Z_imag_ohm,S11_real,S11_imag,P_inc,P_ref,P_acc
1.000000000000000000e+08,1.000021730894762015e+02,2.348225985251575776e-01,3.333446251206028665e-01,1.043623197089115244e-03,7.005525668654452960e-29,7.784521085224705636e-30,6.227073560131982396e-29
1.050000000000000000e+08,1.000023361956313153e+02,2.465475348795007626e-01,3.333455172316937554e-01,1.095729730025882557e-03,7.109764881853971588e-29,7.900401627372374414e-30,6.319724719116734146e-29
1.100000000000000000e+08,1.000025077743000708e+02,2.582704852268210005e-01,3.333464551098236361e-01,1.147827040172089965e-03,7.219820539342496376e-29,8.022749534700399216e-30,6.417545585872456315e-29
1.150000000000000000e+08,1.000026878853809365e+02,2.699914349221873011e-01,3.333474390163786993e-01,1.199915042002744998e-03,7.335794413635656065e-29,8.151678159501805841e-30,6.520626597685474781e-29
1.200000000000000000e+08,1.000028765888327769e+02,2.817103771949810431e-01,3.333484692130800342e-01,1.251993684830256595e-03,7.457792365385292484e-29,8.287305413628413740e-30,6.629061824022450830e-29
1.250000000000000000e+08,1.000030739444357692e+02,2.934273129222221832e-01,3.333495459609441269e-01,1.304062951800086809e-03,7.585924253028728679e-29,8.429753668684838275e-30,6.742948886160244011e-29
1.300000000000000000e+08,1.000032800115639020e+02,3.051422503650462748e-01,3.333506695192928193e-01,1.356122858723899033e-03,7.720303837950065938e-29,8.579149651253569890e-30,6.862388872824706566e-29
1.350000000000000000e+08,1.000034948489687565e+02,3.168552048716190006e-01,3.333518401448125057e-01,1.408173452764453293e-03,7.861048685105699653e-29,8.735624333096859326e-30,6.987486251796014000e-29
1.400000000000000000e+08,1.000037185145765051e+02,3.285661985507184468e-01,3.333530580906692298e-01,1.460214810990359763e-03,8.008280059066960300e-29,8.899312816281848423e-30,7.118348777438775318e-29
1.450000000000000000e+08,1.000039510652977413e+02,3.402752599204201811e-01,3.333543236056806802e-01,1.512247038820711820e-03,8.162122815433825027e-29,9.070354213176596833e-30,7.255087394116165343e-29
1.500000000000000000e+08,1.000041925568520043e+02,3.519824235354219732e-01,3.333556369335488601e-01,1.564270268375506047e-03,8.322705287575344816e-29,9.248891521266462585e-30,7.397816135448698137e-29
1.550000000000000000e+08,1.000044430436051925e+02,3.636877295979841773e-01,3.333569983121519309e-01,1.616284656753536270e-03,8.490159168653915359e-29,9.435071492741669153e-30,7.546652019379749285e-29
1.600000000000000000e+08,1.000047025784224530e+02,3.753912235553671928e-01,3.333584079728983962e-01,1.668290384250560414e-03,8.664619388892895212e-29,9.629044498809856818e-30,7.701714939011910091e-29
1.650000000000000000e+08,1.000049712125341443e+02,3.870929556884644684e-01,3.333598661401418473e-01,1.720287652538828125e-03,8.846223988049446967e-29,9.830964388689656784e-30,7.863127549180481989e-29
1.700000000000000000e+08,1.000052489954169488e+02,3.987929806944979783e-01,3.333613730306578260e-01,1.772276682820039589e-03,9.035113983057389598e-29,1.004098834324467421e-29,8.031015148732922737e-29
1.750000000000000000e+08,1.000055359746879873e+02,4.104913572673840605e-01,3.333629288531796964e-01,1.824257713968553468e-03,9.231433230807977859e-29,1.025927672322063508e-29,8.205505558485914631e-29
1.800000000000000000e+08,1.000058321960129746e+02,4.221881476793586940e-01,3.333645338079922471e-01,1.876231000680058780e-03,9.435328286040229635e-29,1.048599291205250706e-29,8.386728994834979349e-29
1.850000000000000000e+08,1.000061377030277470e+02,4.338834173655094495e-01,3.333661880865850802e-01,1.928196811633204949e-03,9.646948254316251617e-29,1.072130315321273058e-29,8.574817938994977578e-29
1.900000000000000000e+08,1.000064525372716417e+02,4.455772345154446756e-01,3.333678918713571249e-01,1.980155427683098074e-03,9.866444640061337521e-29,1.096537638207610582e-29,8.769907001853727220e-29
1.950000000000000000e+08,1.000067767381333823e+02,4.572696696728551502e-01,3.333696453353733880e-01,2.032107140089612664e-03,1.009397118965337525e-28,1.121838405228243377e-29,8.972132784425130748e-29
2.000000000000000000e+08,1.000071103428094261e+02,4.689607953463071355e-01,3.333714486421789358e-01,2.084052248796004498e-03,1.032968372955109582e-28,1.148049995658386646e-29,9.181633733892708892e-29
2.050000000000000000e+08,1.000074533862708819e+02,4.806506856320441612e-01,3.333733019456463498e-01,2.135991060760052650e-03,1.057373999945604100e-28,1.175190004216820275e-29,9.398549995239221282e-29
