theta_deg,E_norm_phi0,E_norm_phi90
0.000000000000000000e+00,2.173155654636322489e-15,2.173155654794483185e-15
1.500000000000000000e+01,4.138373847137757642e-12,3.429730478122577368e-12
3.000000000000000000e+01,8.847282892683496099e-12,6.957964106706380058e-12
4.500000000000000000e+01,1.135162622888820206e-11,1.050819659075844300e-11
6.000000000000000000e+01,1.373917307585308420e-11,1.372858097916495436e-11
7.500000000000000000e+01,1.693689740340072445e-11,1.604767311447089776e-11
9.000000000000000000e+01,1.839121373415090129e-11,1.691128873236707370e-11
1.050000000000000000e+02,1.697003504423934279e-11,1.608360214411661759e-11
1.200000000000000000e+02,1.379976926530543541e-11,1.378945424363030216e-11
1.350000000000000000e+02,1.141955427934422635e-11,1.057640806415634785e-11
1.500000000000000000e+02,8.897549949187552491e-12,7.015282458800248696e-12
1.650000000000000000e+02,4.165409820531455644e-12,3.462099372062448195e-12
1.800000000000000000e+02,2.148972867090783698e-15,2.149298425652534623e-15
