frequency_Hz,S11_real,S11_imag,S21_real,S21_imag,S11_dB,S21_dB,S21_phase_unwrapped_rad,group_delay_s,Zin_real_ohm,Zin_imag_ohm
2.000000000000000000e+08,9.459929053123835585e-01,-2.808084546947228199e-01,3.444025453258381646e-03,-3.974091548338548602e-05,-1.154986886767341570e-01,-4.925809472350493934e+01,-1.153857668062220621e-02,-3.557617220753968084e-09,1.604744116578023849e+01,-3.434119164820759806e+02
2.005000000000000000e+08,9.453804806424817020e-01,-2.821317032186411722e-01,3.589812194643865646e-03,-1.299485347282950198e-06,-1.173429036988596630e-01,-4.889856486025009019e+01,-3.619925556163947435e-04,-2.921865226582385438e-09,1.614006760202535773e+01,-3.416399511210090623e+02
2.010000000000000000e+08,9.447538662477080740e-01,-2.834579150091735555e-01,3.743520465357449804e-03,2.553137006411174300e-05,-1.192811060100257420e-01,-4.853419376096053384e+01,6.820043980599793665e-03,-1.695687026383354157e-09,1.624194971732165982e+01,-3.398754569361254312e+02
2.015000000000000000e+08,9.441132943935010013e-01,-2.847865636172907666e-01,3.904144440408336119e-03,4.018413554903589688e-05,-1.213124580745924969e-01,-4.816902240042850281e+01,1.029232325413031134e-02,-5.637830363411954705e-10,1.635271062466235392e+01,-3.381190614193706097e+02
2.020000000000000000e+08,9.434590376638243292e-01,-2.861171587924343229e-01,4.070646787342956270e-03,4.218316903714436133e-05,-1.234357190822598649e-01,-4.780626524936056398e+01,1.036239727097568869e-02,4.695299581272314107e-10,1.647192903912880979e+01,-3.363713437179935681e+02
2.025000000000000000e+08,9.427914052979042836e-01,-2.874492494189174185e-01,4.241966892133375647e-03,3.114584210758411856e-05,-1.256492664987341468e-01,-4.744842038825460406e+01,7.342179519944829272e-03,1.404821979019401005e-09,1.659914446782990183e+01,-3.346328325124623575e+02
2.030000000000000000e+08,9.421107393377551320e-01,-2.887824261097365897e-01,4.417029049088029048e-03,6.782973822582754661e-06,-1.279511197359508301e-01,-4.709738464941479208e+01,1.535640453198228736e-03,2.245832332289661296e-09,1.673386239040482337e+01,-3.329040043750853215e+02
2.035000000000000000e+08,9.414174106170789535e-01,-2.901163234473668195e-01,4.594750556766199860e-03,-3.110142803813583225e-05,-1.303389657465245932e-01,-4.675456223800424027e+01,-6.768801192686128843e-03,2.998178548789319465e-09,1.687555939280159123e+01,-3.311852825881052809e+02
2.040000000000000000e+08,9.407118146225151856e-01,-2.914506218639970614e-01,4.774049663946939789e-03,-8.261109971559900389e-05,-1.328101863394401116e-01,-4.642096111154025095e+01,-1.730247095285631503e-02,3.668436085472309824e-09,1.702368822084526911e+01,-3.294770363979172316e+02
2.045000000000000000e+08,9.399943672583832566e-01,-2.927850491559996771e-01,4.953853312092464101e-03,-1.477591052557482288e-04,-1.353618870087120174e-01,-4.609727513774652152e+01,-2.981826490525336937e-02,4.263513054388158857e-09,1.717768272404943986e+01,-3.277795806810283352e+02
2.050000000000000000e+08,9.392655005459570328e-01,-2.941193816302103969e-01,5.133104623461982874e-03,-2.264700443747419097e-04,-1.379909270621828277e-01,-4.578395221709735097e+01,-4.409091353315577888e-02,4.790246132360615894e-09,1.733696266373479489e+01,-3.260931759962978163e+02
2.055000000000000000e+08,9.385256582881729148e-01,-2.954534448820096970e-01,5.310770087016670159e-03,-3.185828536777677244e-04,-1.406939508333974742e-01,-4.548124965902000838e+01,-5.991626902187604381e-02,5.255155045267556976e-09,1.750093836288897364e+01,-3.244180289977291523e+02
2.060000000000000000e+08,9.377752917300674618e-01,-2.967871142077379010e-01,5.485846397527784947e-03,-4.238541670512684188e-04,-1.434674197583349908e-01,-4.518927854356256546e+01,-7.711002650053200291e-02,5.664306604129117294e-09,1.766901517851055914e+01,-3.227542931818638294e+02
2.065000000000000000e+08,9.370148552447641332e-01,-2.981203146563872197e-01,5.657366906766107990e-03,-5.419621979048466981e-04,-1.463076450961923181e-01,-4.490803886696259184e+01,-9.550615705229964503e-02,6.023251855760732729e-09,1.784059777994367835e+01,-3.211020699440871340e+02
2.070000000000000000e+08,9.362448020738408649e-01,-2.994530207277885658e-01,5.824407649356627692e-03,-6.725111031288687116e-04,-1.492108210749034658e-01,-4.463744714284143100e+01,-1.149552340620892121e-01,6.337010268503298968e-09,1.801509421954100887e+01,-3.194614099185455984e+02
2.075000000000000000e+08,9.354655801500640910e-01,-3.007852557267927662e-01,5.986092909738598838e-03,-8.150357861689268117e-04,-1.521730582418684974e-01,-4.437735792110320432e+01,-1.353227668628064762e-01,6.610082836585752696e-09,1.819191978418639266e+01,-3.178323145769759890e+02
2.080000000000000000e+08,9.346776280291848593e-01,-3.021170907850298515e-01,6.141600300668795948e-03,-9.690070945031852533e-04,-1.551904168038459042e-01,-4.412758045602718227e+01,-1.564876094201653745e-01,6.846481842334023735e-09,1.837050061846760940e+01,-3.162147380624234074e+02
2.085000000000000000e+08,9.338813709562313603e-01,-3.034486435638270585e-01,6.290165327840191098e-03,-1.133837365041789067e-03,-1.582589397430922418e-01,-4.388789153543426380e+01,-1.783404809804305102e-01,7.049769188315553861e-09,1.855027711208944652e+01,-3.146085892346316086e+02
2.090000000000000000e+08,9.330772170903274265e-01,-3.047800766537254735e-01,6.431085419363140147e-03,-1.308886269584462816e-03,-1.613746855010958214e-01,-4.365804528850483024e+01,-2.007826156031977949e-01,7.223098112735240679e-09,1.873070704569698108e+01,-3.130137339047303158e+02
2.095000000000000000e+08,9.322655539103700262e-01,-3.061115956877412669e-01,6.563723403130224988e-03,-1.493466911422181801e-03,-1.645337600282439361e-01,-4.343778062508459925e+01,-2.237245449146858522e-01,7.369255078265424020e-09,1.891126849080391281e+01,-3.114299972376360301e+02
2.100000000000000000e+08,9.314467448222885082e-01,-3.074434471871027030e-01,6.687510419340041666e-03,-1.686852123507603420e-03,-1.677323480039017434e-01,-4.322682682354827222e+01,-2.470850108358126629e-01,7.490699946776123303e-09,1.909146246065881058e+01,-3.098571663014110413e+02
2.105000000000000000e+08,9.306211259867932517e-01,-3.087759161595823310e-01,6.801948259728645210e-03,-1.888280918296572457e-03,-1.709667430398751353e-01,-4.302490767438917629e+01,-2.707900007607594861e-01,7.589603419272659536e-09,1.927081530998124137e+01,-3.082949927435994368e+02
2.110000000000000000e+08,9.297890033846061275e-01,-3.101093234717893776e-01,6.906611129281011244e-03,-2.096965039401868600e-03,-1.742333766896627667e-01,-4.283174449890482549e+01,-2.947718955271073638e-01,7.667881276959158450e-09,1.944888088245122404e+01,-3.067431955752621207e+02
2.115000000000000000e+08,9.289506501342074118e-01,-3.114440230178757152e-01,7.001146830352991852e-03,-2.312095565580515270e-03,-1.775288460962138881e-01,-4.264705829282285521e+01,-3.189687197373474725e-01,7.727225306263061859e-09,1.962524240567666922e+01,-3.052014640440627886e+02
2.120000000000000000e+08,9.281063040751824644e-01,-3.127803987080117198e-01,7.085277373214818493e-03,-2.532849518289849618e-03,-1.808499401216409064e-01,-4.247057118998687031e+01,-3.433234840366846674e-01,7.769130998736253664e-09,1.979951413405115090e+01,-3.036694605783607130e+02
2.125000000000000000e+08,9.272561656280683406e-01,-3.141188613006857810e-01,7.158799020967361940e-03,-2.758396425083182394e-03,-1.841936638156553563e-01,-4.230200739838046076e+01,-3.677836094781614107e-01,7.794922233755410745e-09,1.997134274074643301e+01,-3.021468237847526552e+02
2.130000000000000000e+08,9.264003959396044374e-01,-3.154598451035026674e-01,7.221581780606092273e-03,-2.987904792457495018e-03,-1.875572610916109162e-01,-4.214109372729913616e+01,-3.923004248864249699e-01,7.805773210536551584e-09,2.014040846064196089e+01,-3.006331714819233980e+02
2.135000000000000000e+08,9.255391153201578680e-01,-3.168038045674739789e-01,7.273568355642457545e-03,-3.220548443402223085e-03,-1.909382354932107062e-01,-4.198755979845081754e+01,-4.168287290257796651e-01,7.802727917694575915e-09,2.030642598671699872e+01,-2.991281037540944681e+02
2.140000000000000000e+08,9.246724019779395398e-01,-3.181512108000141836e-01,7.314772579168999853e-03,-3.455512676802455219e-03,-1.943343689498523985e-01,-4.184113801353142037e+01,-4.413264102948024625e-01,7.786717428037863995e-09,2.046914512313185952e+01,-2.976312060076630246e+02
2.145000000000000000e+08,9.238002910525935363e-01,-3.195025480219371716e-01,7.345277349491838997e-03,-3.692000208017036725e-03,-1.977437384328974979e-01,-4.170156333518903580e+01,-4.657541175607871620e-01,7.758575292553431081e-09,2.062835119886140589e+01,-2.961420520149185336e+02
