theta_deg,E_norm_phi0,E_norm_phi90
0.000000000000000000e+00,1.439822761287452345e-16,1.439822769451920140e-16
1.500000000000000000e+01,9.575085251277484966e-13,7.828007052057272497e-13
3.000000000000000000e+01,1.932191980146294890e-12,1.601030170986671326e-12
4.500000000000000000e+01,2.492429300975876943e-12,2.443692062329918297e-12
6.000000000000000000e+01,3.035392526757988515e-12,3.225142655191526124e-12
7.500000000000000000e+01,3.709097196824900356e-12,3.797809413215853749e-12
9.000000000000000000e+01,4.021676996241142430e-12,4.014782652787847363e-12
1.050000000000000000e+02,3.724090717473884022e-12,3.812300651816509824e-12
1.200000000000000000e+02,3.063240113029046469e-12,3.249655669139092182e-12
1.350000000000000000e+02,2.524779228110353017e-12,2.471120880981474858e-12
1.500000000000000000e+02,1.956500224369918718e-12,1.624071818737115698e-12
1.650000000000000000e+02,9.693501938587839594e-13,7.958180348142346339e-13
1.800000000000000000e+02,1.412079476978058669e-16,1.414557929532235442e-16
