frequency_Hz,S11_real,S11_imag,S21_real,S21_imag,S11_dB,S21_dB,S21_phase_unwrapped_rad,group_delay_s,Zin_real_ohm,Zin_imag_ohm,Vrx_50ohm_per_tx_inc_real,Vrx_50ohm_per_tx_inc_imag,Vrx_open_circuit_equivalent_per_tx_inc_real,Vrx_open_circuit_equivalent_per_tx_inc_imag
7.000000000000000000e+08,7.523297485394955242e-01,-4.871565180221839597e-01,1.848467095683398870e-02,-2.739018550473199323e-02,-9.511059672300635759e-01,-2.961815017086019353e+01,-9.771395747104349994e-01,1.808338564817108402e-09,3.292659577604694476e+01,-1.631129754642107912e+02,1.835370314053426030e-02,-2.748033171113138662e-02,-5.920777101634997625e-02,-1.054515497928009971e-01
7.020000000000000000e+08,7.477922132614766015e-01,-4.896162980702529754e-01,1.825217647435311771e-02,-2.841756848943406341e-02,-9.749816702768270282e-01,-2.942828503284505715e+01,-9.998638273121663866e-01,1.823233252501706766e-09,3.314554653469070189e+01,-1.614122038886480652e+02,1.811613235452045473e-02,-2.850716160986167813e-02,-6.190256112692475721e-02,-1.058881676297258462e-01
7.040000000000000000e+08,7.431594711320703706e-01,-4.920636669250667561e-01,1.798148957611916607e-02,-2.947162734446271554e-02,-9.995384786993082304e-01,-2.923756250237707022e+01,-1.022962424245155599e+00,1.853188512836114946e-09,3.336441831955730208e+01,-1.597123380418277350e+02,1.784015703431099734e-02,-2.956052104881263382e-02,-6.467891233091263570e-02,-1.062717766688092702e-01
7.060000000000000000e+08,7.384283135669105214e-01,-4.944958493113159603e-01,1.766956789623711638e-02,-3.055108428274484408e-02,-1.024814853114976110e+00,-2.904627543752079077e+01,-1.046439534653308856e+00,1.883294457199736820e-09,3.358367788537387355e+01,-1.580132098703433030e+02,1.752273479625010219e-02,-3.063910593819477515e-02,-6.753537711942103616e-02,-1.065950546459230597e-01
7.080000000000000000e+08,7.335956757866531897e-01,-4.969097529912141487e-01,1.731348529118687321e-02,-3.165437735520289925e-02,-1.050850251087030118e+00,-2.885470285581585159e+01,-1.070294776495435141e+00,1.913209604499544202e-09,3.380378413919267899e+01,-1.563147212392318011e+02,1.716094269169351344e-02,-3.174132804959819976e-02,-7.046969817752429810e-02,-1.068510275442866725e-01
7.100000000000000000e+08,7.286586679975713965e-01,-4.993019951417731472e-01,1.691046120799957406e-02,-3.277968697327345721e-02,-1.077684842835135104e+00,-2.866310527291545185e+01,-1.094523736559495308e+00,1.942635422257073652e-09,3.402517811233920497e+01,-1.546168391082356095e+02,1.675200644799384325e-02,-3.286534198066017043e-02,-7.347889935458271071e-02,-1.070331699871499981e-01
7.120000000000000000e+08,7.236146009921785582e-01,-5.016689321588067019e-01,1.645788441787558731e-02,-3.392496574679456506e-02,-1.105359251037308699e+00,-2.847172101576641978e+01,-1.119118529864764788e+00,1.971318674693910255e-09,3.424827416600952290e+01,-1.529195894168356631e+02,1.629332401199327235e-02,-3.400907539487574294e-02,-7.655938834785148972e-02,-1.071354865229892372e-01
7.140000000000000000e+08,7.184610057972937724e-01,-5.040066918471448609e-01,1.595333075475052764e-02,-3.508797059402897489e-02,-1.133914321619782895e+00,-2.828076347562020487e+01,-1.144068378689916177e+00,1.999052310402734585e-09,3.447345256855578555e+01,-1.512230499315156180e+02,1.578248304452536596e-02,-3.517026148476633252e-02,-7.970706751479059160e-02,-1.071525727368534547e-01
7.160000000000000000e+08,7.131956471735935166e-01,-5.063112069238796531e-01,1.539457467452509665e-02,-3.626629604971377818e-02,-1.163390931508532677e+00,-2.809041924320168704e+01,-1.169360194284789323e+00,2.025675117174924837e-09,3.470105353553105232e+01,-1.495273423177640097e+02,1.521727219169505090e-02,-3.634647257748276072e-02,-8.291744921125956957e-02,-1.070796557552650963e-01
7.180000000000000000e+08,7.078165309480202172e-01,-5.085782487565585486e-01,1.477959462744549493e-02,-3.745740769399348580e-02,-1.193829838305091151e+00,-2.790084705293173784e+01,-1.194979147223327987e+00,2.051070370389758638e-09,3.493137277765096371e+01,-1.478326237000898971e+02,1.459568613621759631e-02,-3.753515380071848623e-02,-8.618577214331854530e-02,-1.069126143187072303e-01
7.200000000000000000e+08,7.023219053345036711e-01,-5.108034602811453162e-01,1.410657240926815360e-02,-3.865867464937276093e-02,-1.225271575771512245e+00,-2.771217745414416811e+01,-1.220909215145685511e+00,2.075163687423802019e-09,3.516465855824922215e+01,-1.461390779664188244e+02,1.391592460566423196e-02,-3.873365575298042679e-02,-8.950711540890997353e-02,-1.066479791567463142e-01
7.220000000000000000e+08,6.967102565650737933e-01,-5.129823870934957508e-01,1.337388682241641771e-02,-3.986740014316123709e-02,-1.257756397895912315e+00,-2.752451312352933144e+01,-1.247133699186582234e+00,2.097920278341787149e-09,3.540111022194493273e+01,-1.444469070596439053e+02,1.317638568017409119e-02,-3.993926517450038099e-02,-9.287650717784252941e-02,-1.062829149015424579e-01
7.240000000000000000e+08,6.909802993090783385e-01,-5.151105057818188282e-01,1.258010213259061483e-02,-4.108084920763536291e-02,-1.291324273180878279e+00,-2.733792973328487363e+01,-1.273635702619731358e+00,2.119341756629398884e-09,3.564087812092616758e+01,-1.427563224798805663e+02,1.237565389626381178e-02,-4.114923269167884701e-02,-9.628902529872508664e-02,-1.058151852046425034e-01
7.260000000000000000e+08,6.851309624991205327e-01,-5.171832486636797066e-01,1.172395194589030860e-02,-4.229627268700252712e-02,-1.326014929678298149e+00,-2.715247729247391817e+01,-1.300398567131166860e+00,2.139462646086594863e-09,3.588406483522603452e+01,-1.410675371972712924e+02,1.151248378250390066e-02,-4.236079680659128599e-02,-9.973988751257623075e-02,-1.052431030726095063e-01
7.280000000000000000e+08,6.791613713058359814e-01,-5.191960242069513232e-01,1.080431925343894664e-02,-4.351092683663072141e-02,-1.361867950203631938e+00,-2.696818188382403392e+01,-1.327406263672333608e+00,2.158346693592045082e-09,3.613072755894917520e+01,-1.393807581483156071e+02,1.058577958405064814e-02,-4.357120342110688826e-02,-1.032245293783081719e-01,-1.045654687058970717e-01
7.300000000000000000e+08,6.730708261069652254e-01,-5.211442325467202652e-01,9.820213492299254693e-03,-4.472208793281818445e-02,-1.398922916120157733e+00,-2.678504772379755039e+01,-1.354643736063076753e+00,2.176083073885607746e-09,3.638088150572760071e+01,-1.376961794597758910e+02,9.594572033861409333e-03,-4.477772031947578613e-02,-1.067386684591008078e-01,-1.037814973125515128e-01
7.320000000000000000e+08,6.668587793772087213e-01,-5.230232756562532836e-01,8.770745551044945715e-03,-4.592706145733708306e-02,-1.437219597106207170e+00,-2.660305947956642569e+01,-1.382097196460495336e+00,2.192782552731073625e-09,3.663450417361540445e+01,-1.360139765143183297e+02,8.537993106840627289e-03,-4.597764618050136781e-02,-1.102783537665893432e-01,-1.028907394766178235e-01
7.340000000000000000e+08,6.605248114827757533e-01,-5.248285618858867796e-01,7.655101704286164203e-03,-4.712318557651203749e-02,-1.476798183420641841e+00,-2.642218478207641397e+01,-1.409754372531714095e+00,2.208573659207576403e-09,3.689154030189985889e+01,-1.343343009422377179e+02,7.415249747769118820e-03,-4.716831384701288682e-02,-1.138399998991122958e-01,-1.018929966957810157e-01
7.360000000000000000e+08,6.540686063971488107e-01,-5.265555047459025140e-01,6.472517491725430887e-03,-4.830782879603474217e-02,-1.517699556375605940e+00,-2.624237687940212638e+01,-1.437604706721921755e+00,2.223598906436299082e-09,3.715190734938706640e+01,-1.326572765945877279e+02,6.225597593695241655e-03,-4.834708774265623205e-02,-1.174204057308011473e-01,-1.007882346702818621e-01
7.380000000000000000e+08,6.474899283620286772e-01,-5.281995159737646883e-01,5.222252563583119553e-03,-4.947838183630487441e-02,-1.559965592025246428e+00,-2.606357737894837712e+01,-1.465639508443639771e+00,2.238011092421674129e-09,3.741550132520042382e+01,-1.309829965255416369e+02,4.968315716171678442e-03,-4.951135549019677201e-02,-1.210167579015256761e-01,-9.957649683309750810e-02
7.400000000000000000e+08,6.407886004997965790e-01,-5.297559930892926650e-01,3.903567495606380302e-03,-5.063224393512009980e-02,-1.603639492491609086e+00,-2.588571903073568592e+01,-1.493852060374757817e+00,2.251969708343980464e-09,3.768220280831454261e+01,-1.293115209862630195e+02,3.642683388494367611e-03,-5.065851394791306278e-02,-1.246266197174402957e-01,-9.825782046772692235e-02
7.420000000000000000e+08,6.339644863417914777e-01,-5.312203017993289977e-01,2.515703534056766468e-03,-5.176680394139023672e-02,-1.648766138884956156e+00,-2.570872850710710367e+01,-1.522237680378360158e+00,2.265637479888146144e-09,3.795188300044893737e+01,-1.276428764093776067e+02,2.247959838672241792e-03,-5.178595003759622895e-02,-1.282479063934097996e-01,-9.683215757269283963e-02
7.440000000000000000e+08,6.270174751714284733e-01,-5.325877537630868686e-01,1.057866165239574165e-03,-5.287941671175983016e-02,-1.695392459439583943e+00,-2.553252913686572612e+01,-1.550793740874873317e+00,2.279177067287539898e-09,3.822440966792206041e+01,-1.259770553424963708e+02,7.833678814261427767e-04,-5.289101688571801879e-02,-1.318788478488275018e-01,-9.529930240861049506e-02
7.460000000000000000e+08,6.199474719942527079e-01,-5.338535803671724533e-01,-4.707866830453903239e-04,-5.396737545840562394e-02,-1.743567806284147981e+00,-2.535704355428759271e+01,-1.579519647824928041e+00,2.292747950934390805e-09,3.849965284114212949e+01,-1.243140172712680140e+02,-7.519177661939577305e-04,-5.397100593531056756e-02,-1.355179405052631403e-01,-9.365882741177997128e-02
7.480000000000000000e+08,6.127543928405950746e-01,-5.350129032823855990e-01,-2.071151107215806787e-03,-5.502788081790566804e-02,-1.793344334198491152e+00,-2.518219622586412854e+01,-1.608416781828380548e+00,2.306503530916299868e-09,3.877749015508219088e+01,-1.226536902572076002e+02,-2.358776788869794069e-03,-5.502311580710107786e-02,-1.391638897268512587e-01,-9.191002888437875551e-02
7.500000000000000000e+08,6.054381659829686235e-01,-5.360607026802487463e-01,-3.744177783129919428e-03,-5.605800751540536420e-02,-1.844777374777235801e+00,-2.500791582021406256e+01,-1.637488404210571291e+00,2.320588470017337452e-09,3.905781172993258821e+01,-1.209959733030139972e+02,-4.038143624628409874e-03,-5.604441879194040077e-02,-1.428155446918628335e-01,-9.005188358173700502e-02
7.520000000000000000e+08,5.979987395124838345e-01,-5.369917840735078940e-01,-5.490866170495976341e-03,-5.705466958318750753e-02,-1.897925799621767107e+00,-2.483413738954104133e+01,-1.666739531343674585e+00,2.335136310008663234e-09,3.934052450778496990e+01,-1.193407393482246590e+02,-5.791001430347946996e-03,-5.703182594043549464e-02,-1.464718275864689279e-01,-8.808301701781708071e-02
