frequency_Hz,Zin_real_ohm,Zin_imag_ohm,S11_real,S11_imag,S11_dB,S21_real,S21_imag,S21_dB,S21_phase_deg,dipole_directivity_linear,dipole_directivity_dBi
200000000,16.4667047,-430.968588,0.965045441,-0.226644559,-0.075876799,-0.00158132309,0.0027573669,-49.9552149,119.833851,1.53858692,1.87122036
200500000,16.5582029,-428.982204,0.964682313,-0.227630231,-0.0769949479,-0.00157129275,0.00280764869,-49.8498194,119.233436,1.53878771,1.87178709
201000000,16.6500299,-427.002807,0.964315074,-0.228620508,-0.0781293826,-0.00156061071,0.0028584416,-49.7444043,118.633021,1.53898908,1.87235537
201500000,16.7421867,-425.03034,0.963943667,-0.229615423,-0.0792803573,-0.00154926387,0.00290974572,-49.6389678,118.032605,1.53919102,1.87292522
202000000,16.8346741,-423.064745,0.963568037,-0.230615013,-0.0804481305,-0.00153723896,0.00296156102,-49.5335084,117.43219,1.53939355,1.87349664
202500000,16.927493,-421.105966,0.963188126,-0.231619311,-0.0816329656,-0.00152452255,0.00301388737,-49.4280244,116.831775,1.53959667,1.87406962
203000000,17.0206444,-419.153947,0.962803876,-0.232628352,-0.0828351305,-0.001511101,0.00306672454,-49.3225141,116.231359,1.53980036,1.87464417
203500000,17.1141292,-417.208633,0.962415229,-0.233642171,-0.084054898,-0.00149696053,0.00312007218,-49.216976,115.630944,1.54000464,1.87522029
204000000,17.2079483,-415.269969,0.962022124,-0.234660804,-0.0852925457,-0.00148208716,0.00317392981,-49.1114083,115.030528,1.5402095,1.87579798
204500000,17.3021028,-413.337901,0.961624501,-0.235684287,-0.0865483563,-0.00146646673,0.00322829686,-49.0058094,114.430113,1.54041495,1.87637724
205000000,17.3965934,-411.412374,0.961222298,-0.236712654,-0.0878226175,-0.00145008491,0.00328317262,-48.9001776,113.829698,1.54062098,1.87695807
205500000,17.4914212,-409.493335,0.960815451,-0.237745943,-0.0891156223,-0.00143292716,0.00333855625,-48.7945114,113.229282,1.54082759,1.87754048
206000000,17.5865872,-407.580732,0.960403898,-0.238784189,-0.0904276689,-0.00141497879,0.0033944468,-48.688809,112.628867,1.5410348,1.87812446
