frequency_Hz,V_G3_real_V,V_G3_imag_V,V_G3_magnitude_V,I_G3_real_A,I_G3_imag_A,I_G3_magnitude_A
2.059925093633e+08,5.090817833392e+00,-7.156848367683e-01,5.140878426725e+00,1.620949006685e-02,-1.313050982117e-03,1.626258500697e-02
2.122347066167e+08,5.054182160574e+00,-7.906211211381e-01,5.115646495747e+00,1.614140067642e-02,-1.573444607608e-03,1.621790811819e-02
2.184769038702e+08,5.016919811723e+00,-8.602932135658e-01,5.090146246481e+00,1.606747340190e-02,-1.820846952951e-03,1.617031802862e-02
2.247191011236e+08,4.979938397436e+00,-9.252008435290e-01,5.065153802515e+00,1.598945986251e-02,-2.056114729112e-03,1.612111765586e-02
2.309612983770e+08,4.943930300909e+00,-9.861138552736e-01,5.041316034113e+00,1.590879400853e-02,-2.280476257160e-03,1.607141246952e-02
2.372034956305e+08,4.909282433688e+00,-1.043961833660e+00,5.019054724134e+00,1.582646531719e-02,-2.495393457935e-03,1.602198467563e-02
2.434456928839e+08,4.876040475960e+00,-1.099700941322e+00,4.998511066662e+00,1.574296178278e-02,-2.702385983717e-03,1.597321932796e-02
2.496878901373e+08,4.843929571648e+00,-1.154181551004e+00,4.979537001345e+00,1.565828892365e-02,-2.902849560570e-03,1.592509176073e-02
2.559300873908e+08,4.812424460090e+00,-1.208038159763e+00,4.961732094694e+00,1.557205815572e-02,-3.097898985966e-03,1.587721554091e-02
2.621722846442e+08,4.780854835651e+00,-1.261617931275e+00,4.944517445018e+00,1.548362714110e-02,-3.288260048640e-03,1.582894069710e-02
2.684144818976e+08,4.748527239242e+00,-1.314957014253e+00,4.927232782319e+00,1.539226752620e-02,-3.474225200275e-03,1.577948479324e-02
2.746566791511e+08,4.714843455494e+00,-1.367805736981e+00,4.909240403966e+00,1.529733263111e-02,-3.655676776243e-03,1.572807548047e-02
2.808988764045e+08,4.679397185390e+00,-1.419696125733e+00,4.890019949659e+00,1.519839924253e-02,-3.832170708166e-03,1.567408280799e-02
2.871410736579e+08,4.642035206111e+00,-1.470039042632e+00,4.869240766448e+00,1.509536314272e-02,-4.003064614434e-03,1.561712248521e-02
2.933832709114e+08,4.602875484627e+00,-1.518234400536e+00,4.846802907273e+00,1.498847628940e-02,-4.167668140548e-03,1.555711667398e-02
2.996254681648e+08,4.562281734353e+00,-1.563776814178e+00,4.822842787006e+00,1.487832321455e-02,-4.325391162561e-03,1.549430574068e-02
3.058676654182e+08,4.520800601394e+00,-1.606340686472e+00,4.797704500965e+00,1.476574369288e-02,-4.475867075869e-03,1.542921167412e-02
3.121098626717e+08,4.479073057113e+00,-1.645832702941e+00,4.771882305446e+00,1.465171661892e-02,-4.619033398801e-03,1.536256064008e-02
3.183520599251e+08,4.437734923932e+00,-1.682405291242e+00,4.745943406646e+00,1.453722522222e-02,-4.755159378418e-03,1.529517760196e-02
3.245942571785e+08,4.397322379605e+00,-1.716430874291e+00,4.720442675893e+00,1.442312560500e-02,-4.884818934729e-03,1.522786945842e-02
3.308364544320e+08,4.358196760619e+00,-1.748442729700e+00,4.695841882274e+00,1.431003899883e-02,-5.008815750423e-03,1.516131430219e-02
3.370786516854e+08,4.320499369200e+00,-1.779053082688e+00,4.672445255997e+00,1.419828352119e-02,-5.128074335241e-03,1.509597301719e-02
3.433208489388e+08,4.284141924658e+00,-1.808862039845e+00,4.650360621479e+00,1.408785441410e-02,-5.243515478036e-03,1.503203567589e-02
3.495630461923e+08,4.248832616652e+00,-1.838371756921e+00,4.629491259412e+00,1.397845389710e-02,-5.355936069252e-03,1.496940962534e-02
3.558052434457e+08,4.214132296345e+00,-1.867918808603e+00,4.609558730142e+00,1.386956409897e-02,-5.465911735073e-03,1.490774964209e-02
3.620474406991e+08,4.179530983271e+00,-1.897634404992e+00,4.590152020917e+00,1.376055019706e-02,-5.573736445372e-03,1.484652416184e-02
3.682896379526e+08,4.144532178768e+00,-1.927437460261e+00,4.570794476243e+00,1.365077678797e-02,-5.679407007829e-03,1.478510638702e-02
3.745318352060e+08,4.108731793146e+00,-1.957060316404e+00,4.551017691687e+00,1.353971916198e-02,-5.782653168974e-03,1.472287582838e-02
3.807740324594e+08,4.071879832576e+00,-1.986101964165e+00,4.530431147584e+00,1.342705264485e-02,-5.883007035292e-03,1.465931493982e-02
3.870162297129e+08,4.033916069574e+00,-2.014099619570e+00,4.508777676258e+00,1.331270716293e-02,-5.979899754943e-03,1.459408692194e-02
3.932584269663e+08,3.994975206121e+00,-2.040607067911e+00,4.485967465679e+00,1.319687997641e-02,-6.072769685778e-03,1.452708411101e-02
3.995006242197e+08,3.955361839690e+00,-2.065267585539e+00,4.462086673604e+00,1.308000616696e-02,-6.161165098753e-03,1.445844101907e-02
4.057428214732e+08,3.915500118243e+00,-2.087870513641e+00,4.437380359817e+00,1.296269292360e-02,-6.244825908257e-03,1.438851133564e-02
4.119850187266e+08,3.875866640658e+00,-2.108383427749e+00,4.412212924891e+00,1.284562897463e-02,-6.323732666036e-03,1.431781333114e-02
4.182272159800e+08,3.836917405037e+00,-2.126955831821e+00,4.387012227426e+00,1.272948390624e-02,-6.398116453072e-03,1.424695246943e-02
4.244694132335e+08,3.799020141758e+00,-2.143894766815e+00,4.362205727458e+00,1.261481314409e-02,-6.468429478802e-03,1.417653309461e-02
4.307116104869e+08,3.762402170627e+00,-2.159616972797e+00,4.338158084111e+00,1.250198298075e-02,-6.535282189032e-03,1.410707240150e-02
4.369538077403e+08,3.727121231649e+00,-2.174585648414e+00,4.315119397849e+00,1.239112650302e-02,-6.599357593673e-03,1.403892932752e-02
4.431960049938e+08,3.693063012154e+00,-2.189241928040e+00,4.293191660202e+00,1.228213621402e-02,-6.661316647568e-03,1.397225856685e-02
4.494382022472e+08,3.659964924510e+00,-2.203941676277e+00,4.272318124984e+00,1.217469337216e-02,-6.721709440005e-03,1.390699595534e-02
4.556803995006e+08,3.627461720565e+00,-2.218907061544e+00,4.252296683197e+00,1.206832847655e-02,-6.780905603154e-03,1.384287661640e-02
4.619225967541e+08,3.595145352489e+00,-2.234199838157e+00,4.232814550904e+00,1.196250275731e-02,-6.839054012837e-03,1.377948228379e-02
4.681647940075e+08,3.562629558294e+00,-2.249719764703e+00,4.213498355206e+00,1.185669763619e-02,-6.896077093458e-03,1.371630993070e-02
