frequency_Hz,I_H_implied_real_A,I_H_implied_imag_A,I_G3_real_A,I_G3_imag_A,Z_waveform_G3_real_ohm,Z_waveform_G3_imag_ohm,Z_waveform_G3_valid
2.059925093633e+08,3.071288320901e-03,1.560372739353e-02,1.620949006685e-02,-1.313050982117e-03,3.155698734400e+02,-1.858944996288e+01,1.000000000000e+00
2.122347066167e+08,3.688568954989e-03,1.644091519476e-02,1.614140067642e-02,-1.573444607608e-03,3.149015537364e+02,-1.828471861896e+01,1.000000000000e+00
2.184769038702e+08,4.346504184231e-03,1.730047675386e-02,1.606747340190e-02,-1.820846952951e-03,3.142723879331e+02,-1.792760357500e+01,1.000000000000e+00
2.247191011236e+08,5.046535050717e-03,1.823423739325e-02,1.598945986251e-02,-2.056114729112e-03,3.137046747039e+02,-1.752329620189e+01,1.000000000000e+00
2.309612983770e+08,5.835707213014e-03,1.928280665989e-02,1.590879400853e-02,-2.280476257160e-03,3.132164791718e+02,-1.708684586809e+01,1.000000000000e+00
2.372034956305e+08,6.776782264285e-03,2.045065349399e-02,1.582646531719e-02,-2.495393457935e-03,3.128182104902e+02,-1.664031180694e+01,1.000000000000e+00
2.434456928839e+08,7.917768017130e-03,2.171809690957e-02,1.574296178278e-02,-2.702385983717e-03,3.125106523033e+02,-1.620892804644e+01,1.000000000000e+00
2.496878901373e+08,9.289262050644e-03,2.307033988664e-02,1.565828892365e-02,-2.902849560570e-03,3.122846801503e+02,-1.581693285035e+01,1.000000000000e+00
2.559300873908e+08,1.092978927208e-02,2.451419429178e-02,1.557205815572e-02,-3.097898985966e-03,3.121226171871e+02,-1.548374775327e+01,1.000000000000e+00
2.621722846442e+08,1.291681363188e-02,2.606451907789e-02,1.548362714110e-02,-3.288260048640e-03,3.120009103388e+02,-1.522109777773e+01,1.000000000000e+00
2.684144818976e+08,1.537945739156e-02,2.770933310950e-02,1.539226752620e-02,-3.474225200275e-03,3.118936136375e+02,-1.503146703724e+01,1.000000000000e+00
2.746566791511e+08,1.848537384019e-02,2.937334372998e-02,1.529733263111e-02,-3.655676776243e-03,3.117760805347e+02,-1.490803432739e+01,1.000000000000e+00
2.808988764045e+08,2.241346468858e-02,3.089529192256e-02,1.519839924253e-02,-3.832170708166e-03,3.116282943614e+02,-1.483599033341e+01,1.000000000000e+00
2.871410736579e+08,2.732660174578e-02,3.201426485663e-02,1.509536314272e-02,-4.003064614434e-03,3.114373790603e+02,-1.479494655358e+01,1.000000000000e+00
2.933832709114e+08,3.334423012700e-02,3.234981542524e-02,1.498847628940e-02,-4.167668140548e-03,3.111989918183e+02,-1.476202601864e+01,1.000000000000e+00
2.996254681648e+08,4.049030228173e-02,3.136232985436e-02,1.487832321455e-02,-4.325391162561e-03,3.109174707858e+02,-1.471517526526e+01,1.000000000000e+00
3.058676654182e+08,4.856737840589e-02,2.831165957271e-02,1.476574369288e-02,-4.475867075869e-03,3.106047736591e+02,-1.463624257188e+01,1.000000000000e+00
3.121098626717e+08,5.690562853752e-02,2.230550492529e-02,1.465171661892e-02,-4.619033398801e-03,3.102783879219e+02,-1.451341653231e+01,1.000000000000e+00
3.183520599251e+08,6.404552804351e-02,1.264484353325e-02,1.453722522222e-02,-4.755159378418e-03,3.099585172488e+02,-1.434270556030e+01,1.000000000000e+00
3.245942571785e+08,6.775319449668e-02,-3.630565705225e-04,1.442312560500e-02,-4.884818934729e-03,3.096649438054e+02,-1.412826172007e+01,1.000000000000e+00
3.308364544320e+08,6.603780651443e-02,-1.460532715806e-02,1.431003899883e-02,-5.008815750423e-03,3.094140188030e+02,-1.388150786553e+01,1.000000000000e+00
3.370786516854e+08,5.887368653421e-02,-2.675006805052e-02,1.419828352119e-02,-5.128074335241e-03,3.092162261806e+02,-1.361920184811e+01,1.000000000000e+00
3.433208489388e+08,4.857620210174e-02,-3.439814484134e-02,1.408785441410e-02,-5.243515478036e-03,3.090746850482e+02,-1.336073893106e+01,1.000000000000e+00
3.495630461923e+08,3.805260207466e-02,-3.740967360375e-02,1.397845389710e-02,-5.355936069252e-03,3.089848095268e+02,-1.312511899212e+01,1.000000000000e+00
3.558052434457e+08,2.910992774350e-02,-3.714720572568e-02,1.386956409897e-02,-5.465911735073e-03,3.089351538641e+02,-1.292805775585e+01,1.000000000000e+00
3.620474406991e+08,2.224933810849e-02,-3.515679748533e-02,1.376055019706e-02,-5.573736445372e-03,3.089092752452e+02,-1.277968662054e+01,1.000000000000e+00
3.682896379526e+08,1.723547529135e-02,-3.252503011467e-02,1.365077678797e-02,-5.679407007829e-03,3.088882882482e+02,-1.268317210351e+01,1.000000000000e+00
3.745318352060e+08,1.360968582406e-02,-2.983551570245e-02,1.353971916198e-02,-5.782653168974e-03,3.088536936238e+02,-1.263442204189e+01,1.000000000000e+00
3.807740324594e+08,1.095050020781e-02,-2.732561141225e-02,1.342705264485e-02,-5.883007035292e-03,3.087900501618e+02,-1.262286900319e+01,1.000000000000e+00
3.870162297129e+08,8.956675720926e-03,-2.505254712426e-02,1.331270716293e-02,-5.979899754943e-03,3.086871124012e+02,-1.263316541928e+01,1.000000000000e+00
3.932584269663e+08,7.440344968176e-03,-2.300841761985e-02,1.319687997641e-02,-6.072769685778e-03,3.085411576242e+02,-1.264751057631e+01,1.000000000000e+00
3.995006242197e+08,6.283073138719e-03,-2.117958127260e-02,1.308000616696e-02,-6.161165098753e-03,3.083553499973e+02,-1.264826354132e+01,1.000000000000e+00
