frequency_Hz,V_G3_real_V,V_G3_imag_V,H_V_real,H_V_imag,V_rx_real_V,V_rx_imag_V,V_G3_magnitude_V,H_V_magnitude,V_rx_magnitude_V,phase_source_rad,phase_transfer_rad,phase_received_rad
2.059925093633e+08,5.090817833392e+00,-7.156848367683e-01,2.797396124116e-03,2.104977241476e-04,1.439168410506e-02,-9.304484204849e-04,5.140878426725e+00,2.805304683468e-03,1.442173032763e-02,-1.396681495198e-01,7.510619311850e-02,-6.456195640130e-02
2.122347066167e+08,5.054182160574e+00,-7.906211211381e-01,3.815126326329e-03,-7.485750899547e-04,1.869050414199e-02,-6.799754318904e-03,5.115646495747e+00,3.887872625376e-03,1.988898197192e-02,-1.551715600126e-01,-1.937509975392e-01,-3.489225575519e-01
2.184769038702e+08,5.016919811723e+00,-8.602932135658e-01,4.150804388859e-03,-2.176208234426e-03,1.895207559767e-02,-1.448877105230e-02,5.090146246481e+00,4.686689594389e-03,2.385593544730e-02,-1.698266469324e-01,-4.828870367557e-01,-6.527136836881e-01
2.247191011236e+08,4.979938397436e+00,-9.252008435290e-01,3.913628415363e-03,-3.447905129625e-03,1.629962368463e-02,-2.079124745689e-02,5.065153802515e+00,5.215796886041e-03,2.641881343047e-02,-1.836912620378e-01,-7.222179258206e-01,-9.059091878584e-01
2.309612983770e+08,4.943930300909e+00,-9.861138552736e-01,3.614886161666e-03,-4.442652727764e-03,1.349078381998e-02,-2.552885476646e-02,5.041316034113e+00,5.727526972552e-03,2.887427356254e-02,-1.968757922744e-01,-8.877709645639e-01,-1.084646756838e+00
2.372034956305e+08,4.909282433688e+00,-1.043961833660e+00,3.526536345215e-03,-5.576179078187e-03,1.149144479605e-02,-3.105660734506e-02,5.019054724134e+00,6.597744440802e-03,3.311444040424e-02,-2.095294776510e-01,-1.006872766881e+00,-1.216402244532e+00
2.434456928839e+08,4.876040475960e+00,-1.099700941322e+00,3.367834111857e-03,-7.319810317460e-03,8.372093149327e-03,-3.939530172731e-02,4.998511066662e+00,8.057414578423e-03,4.027507593893e-02,-2.218203167644e-01,-1.139576250561e+00,-1.361396567325e+00
2.496878901373e+08,4.843929571648e+00,-1.154181551004e+00,2.527328068592e-03,-9.738122520186e-03,1.002637814496e-03,-5.008777507797e-02,4.979537001345e+00,1.006073642356e-02,5.009780928192e-02,-2.339121652699e-01,-1.316869219266e+00,-1.550781384536e+00
2.559300873908e+08,4.812424460090e+00,-1.208038159763e+00,5.185876272900e-04,-1.243965691036e-02,-1.253191645981e-02,-6.049138283350e-02,4.961732094694e+00,1.245046172536e-02,6.177585553648e-02,-2.459430011576e-01,-1.529132193756e+00,-1.775075194913e+00
2.621722846442e+08,4.780854835651e+00,-1.261617931275e+00,-2.801335752981e-03,-1.490200499240e-02,-3.219341629128e-02,-6.771010721132e-02,4.944517445018e+00,1.516302195456e-02,7.497382657349e-02,-2.580079186147e-01,-1.756611619566e+00,-2.014619538181e+00
2.684144818976e+08,4.748527239242e+00,-1.314957014253e+00,-7.408933362032e-03,-1.676051322491e-02,-5.722087631091e-02,-6.984532469965e-02,4.927232782319e+00,1.832504016709e-02,9.029173864861e-02,-2.701493348630e-01,-1.987016825196e+00,-2.257166160059e+00
2.746566791511e+08,4.714843455494e+00,-1.367805736981e+00,-1.345752743598e-02,-1.771010588007e-02,-8.767411958396e-02,-6.509309357225e-02,4.909240403966e+00,2.224304149557e-02,1.091964380171e-01,-2.823554625152e-01,-2.220589711055e+00,-2.502945173570e+00
2.808988764045e+08,4.679397185390e+00,-1.419696125733e+00,-2.131594906731e-02,-1.705800204996e-02,-1.239629714925e-01,-4.955899647378e-02,4.890019949659e+00,2.730100947907e-02,1.335024809985e-01,-2.945666803221e-01,-2.466701755886e+00,-2.761268436209e+00
