time_s,V_source_G3_full_V,V_source_baseline_V,V_rx_G3_V,V_rx_baseline_V
0.000000000000e+00,1.000000000000e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.250000000000e-11,9.493970505393e+01,2.151896235169e-01,0.000000000000e+00,0.000000000000e+00
2.500000000000e-11,9.012063827222e+01,8.449647602314e-01,0.000000000000e+00,0.000000000000e+00
3.750000000000e-11,8.553134513920e+01,1.865634809389e+00,0.000000000000e+00,0.000000000000e+00
5.000000000000e-11,8.116091490223e+01,3.253509170237e+00,0.000000000000e+00,0.000000000000e+00
6.250000000000e-11,7.701892452799e+01,4.984897242019e+00,0.000000000000e+00,0.000000000000e+00
7.500000000000e-11,7.307347168088e+01,7.036108423983e+00,0.000000000000e+00,0.000000000000e+00
8.750000000000e-11,6.931527531689e+01,9.383452115373e+00,0.000000000000e+00,0.000000000000e+00
1.000000000000e-10,6.573549252395e+01,1.200323771544e+01,0.000000000000e+00,0.000000000000e+00
1.125000000000e-10,6.234419764302e+01,1.487177462342e+01,0.000000000000e+00,0.000000000000e+00
1.250000000000e-10,5.911297353348e+01,1.796537223856e+01,0.000000000000e+00,0.000000000000e+00
1.375000000000e-10,5.603430908525e+01,2.126033996012e+01,0.000000000000e+00,0.000000000000e+00
1.500000000000e-10,5.310104549305e+01,2.473298718733e+01,0.000000000000e+00,0.000000000000e+00
1.625000000000e-10,5.032247311059e+01,2.835962331945e+01,0.000000000000e+00,0.000000000000e+00
1.750000000000e-10,4.767432191323e+01,3.211655775571e+01,0.000000000000e+00,0.000000000000e+00
1.875000000000e-10,4.515051410333e+01,3.598009989537e+01,0.000000000000e+00,0.000000000000e+00
2.000000000000e-10,4.274525497283e+01,3.992655913766e+01,0.000000000000e+00,0.000000000000e+00
2.125000000000e-10,4.046655244962e+01,4.393224488184e+01,0.000000000000e+00,0.000000000000e+00
2.250000000000e-10,3.829420782448e+01,4.797346652716e+01,0.000000000000e+00,0.000000000000e+00
2.375000000000e-10,3.622330042263e+01,5.202653347284e+01,0.000000000000e+00,0.000000000000e+00
