frequency_Hz,H_V_real,H_V_imag,H_V_magnitude,H_V_phase_rad,Zin_real_ohm,Zin_imag_ohm,Yin_real_S,Yin_imag_S
2.000000000000e+08,1.736590044613e-03,2.301695192002e-04,1.751777095015e-03,1.317730363380e-01,1.604744116578e+01,-3.434119164821e+02,1.357774853727e-04,2.905610058654e-03
2.005000000000e+08,1.807383569355e-03,2.614505103271e-04,1.826195974184e-03,1.436603737719e-01,1.614006760203e+01,-3.416399511210e+02,1.379748175659e-04,2.920539807605e-03
2.010000000000e+08,1.883015410183e-03,2.875875461010e-04,1.904850028653e-03,1.515559980019e-01,1.624194971732e+01,-3.398754569361e+02,1.402839191829e-04,2.935550347273e-03
2.015000000000e+08,1.963036415169e-03,3.082281944210e-04,1.987087463379e-03,1.557444330839e-01,1.635271062466e+01,-3.381190614194e+02,1.427038828902e-04,2.950636383853e-03
2.020000000000e+08,2.046975569556e-03,3.230621232289e-04,2.072312263590e-03,1.565329796248e-01,1.647192903913e+01,-3.363713437180e+02,1.452333271587e-04,2.965792852370e-03
2.025000000000e+08,2.134343826309e-03,3.318222281734e-04,2.159983694386e-03,1.542333162555e-01,1.659914446783e+01,-3.346328325125e+02,1.478704211291e-04,2.981014953098e-03
2.030000000000e+08,2.224637969427e-03,3.342854301249e-04,2.249613487649e-03,1.491491966333e-01,1.673386239040e+01,-3.329040043751e+02,1.506129120044e-04,2.996298185505e-03
2.035000000000e+08,2.317344483290e-03,3.302731448212e-04,2.340761800019e-03,1.415688421290e-01,1.687555939280e+01,-3.311852825881e+02,1.534581547438e-04,3.011638379583e-03
2.040000000000e+08,2.411943401870e-03,3.196514289170e-04,2.433032677510e-03,1.317607504782e-01,1.702368822085e+01,-3.294770363979e+02,1.564031438258e-04,3.027031724415e-03
2.045000000000e+08,2.507912112290e-03,3.023308086450e-04,2.526069492478e-03,1.199718705516e-01,1.717768272405e+01,-3.277795806810e+02,1.594445468390e-04,3.042474793855e-03
2.050000000000e+08,2.604729088028e-03,2.782657991690e-04,2.619550625013e-03,1.064273393659e-01,1.733696266373e+01,-3.260931759963e+02,1.625787396550e-04,3.057964569219e-03
2.055000000000e+08,2.701877527949e-03,2.474541245059e-04,2.713185529921e-03,9.133119548993e-02,1.750093836289e+01,-3.244180289977e+02,1.658018429307e-04,3.073498458908e-03
2.060000000000e+08,2.798848878430e-03,2.099356496173e-04,2.806711246507e-03,7.486765833446e-02,1.766901517851e+01,-3.227542931819e+02,1.691097596853e-04,3.089074314892e-03
2.065000000000e+08,2.895146216972e-03,1.657910378981e-04,2.899889357526e-03,5.720269550106e-02,1.784059777994e+01,-3.211020699441e+02,1.724982136935e-04,3.104690446017e-03
2.070000000000e+08,2.990287476965e-03,1.151401488356e-04,2.992503374897e-03,3.848569662346e-02,1.801509421954e+01,-3.194614099185e+02,1.759627884387e-04,3.120345628104e-03
2.075000000000e+08,3.083808494670e-03,5.814019203801e-05,3.084356515342e-03,1.885113974158e-02,1.819191978419e+01,-3.178323145770e+02,1.794989663667e-04,3.136039110841e-03
2.080000000000e+08,3.175265860926e-03,-5.016344837372e-06,3.175269823381e-03,-1.579817528289e-03,1.837050061847e+01,-3.162147380624e+02,1.831021681850e-04,3.151770621486e-03
2.085000000000e+08,3.264239561693e-03,-7.410397552356e-05,3.265080598593e-03,-2.269785894732e-02,1.855027711209e+01,-3.146085892346e+02,1.867677919567e-04,3.167540365404e-03
2.090000000000e+08,3.350335393175e-03,-1.488666821442e-04,3.353641086314e-03,-4.440415964903e-02,1.873070704570e+01,-3.130137339047e+02,1.904912517404e-04,3.183349023504e-03
2.095000000000e+08,3.433187139009e-03,-2.290205490182e-04,3.440817394651e-03,-6.660916950456e-02,1.891126849080e+01,-3.114299972376e+02,1.942680155365e-04,3.199197746641e-03
2.100000000000e+08,3.512458498798e-03,-3.142565417155e-04,3.526488604800e-03,-8.923152660561e-02,1.909146246066e+01,-3.098571663014e+02,1.980936423075e-04,3.215088147082e-03
2.105000000000e+08,3.587844759132e-03,-4.042434091558e-04,3.610546045888e-03,-1.121970933331e-01,1.927081530998e+01,-3.082949927436e+02,2.019638178477e-04,3.231022287136e-03
2.110000000000e+08,3.659074200136e-03,-4.986306860372e-04,3.692892709402e-03,-1.354381053438e-01,1.944888088245e+01,-3.067431955753e+02,2.058743892903e-04,3.247002665073e-03
2.115000000000e+08,3.725909232486e-03,-5.970517725456e-04,3.773442781840e-03,-1.588924230263e-01,1.962524240568e+01,-3.052014640441e+02,2.098213980507e-04,3.263032198488e-03
