frequency_Hz,H_rx_E_fine_real_m,H_rx_E_fine_imag_m,H_rx_E_baseline_real_m,H_rx_E_baseline_imag_m,H_rx_E_orthogonal_real_m,H_rx_E_orthogonal_imag_m,S11_fine_real,S11_fine_imag,S11_baseline_real,S11_baseline_imag,Zin_fine_real_ohm,Zin_fine_imag_ohm,Zin_baseline_real_ohm,Zin_baseline_imag_ohm,H_magnitude_relative_change,phase_difference_rad,cross_polarization_ratio
2.800000000000000000e+09,-1.149004729272339253e-05,-1.204335391713000450e-05,-1.377527347878282170e-05,-1.334391399942469629e-05,5.870762428278864486e-11,2.012270099551420443e-12,9.996904101522879893e-01,-2.481253867039460992e-02,9.995156409301374500e-01,-2.729251124801699777e-02,2.778506099894511583e-01,-4.029593094687410030e+03,1.500453846341799924e+01,-3.662855116327074029e+03,1.521974298606677267e-01,-3.941193506955060349e-02,3.062900332575613810e-06
2.810000000000000000e+09,-1.156446396118572893e-05,-1.205528954227784288e-05,-1.386298695267463144e-05,-1.335252410504708841e-05,5.841317771825559581e-11,2.690120635922359591e-12,9.996882119633363484e-01,-2.490245895364829112e-02,9.995147792974056200e-01,-2.738948862155259761e-02,2.697710018950569832e-01,-4.015038300952510326e+03,1.465992497938511896e+01,-3.649890184043345926e+03,1.521891026991007978e-01,-3.953143185032732820e-02,3.038036724551471586e-06
2.820000000000000000e+09,-1.163902487544207708e-05,-1.206690718756454021e-05,-1.395087848497898035e-05,-1.336074329181258270e-05,5.814229568270585331e-11,3.339622591929262324e-12,9.996860026701048785e-01,-2.499235451797782170e-02,9.995139350215188623e-01,-2.748650509904652928e-02,2.623815563889199676e-01,-4.000592168075851077e+03,1.431606944644352097e+01,-3.637011611729302331e+03,1.521819846712625102e-01,-3.965174202166411865e-02,3.014904506516796577e-06
2.830000000000000000e+09,-1.171372889596047995e-05,-1.207820626071894556e-05,-1.403894638765547326e-05,-1.336857025534130810e-05,5.789386089195721544e-11,3.960952589136414758e-12,9.996837823782237509e-01,-2.508222544978965310e-02,9.995131063640765312e-01,-2.758356052278709836e-02,2.556519613238372735e-01,-3.986253471702789739e+03,1.397321143533549126e+01,-3.624218554667625995e+03,1.521760360700538384e-01,-3.977286400614295919e-02,2.993381256972049701e-06
2.840000000000000000e+09,-1.178857488580400488e-05,-1.208918617407095537e-05,-1.412718895682143581e-05,-1.337600370809904592e-05,5.766677921999102470e-11,4.554305550003261531e-12,9.996815511940346788e-01,-2.517207185154576865e-02,9.995122916151302217e-01,-2.768065472085296658e-02,2.495524888903257188e-01,-3.972021003263974308e+03,1.363158007442511632e+01,-3.611510181135432504e+03,1.521712175483175833e-01,-3.989479547676788584e-02,2.973348739657538824e-06
2.850000000000000000e+09,-1.186356171052489660e-05,-1.209984634441123465e-05,-1.421560447331768683e-05,-1.338304237968121620e-05,5.745997967752318835e-11,5.119893971549293472e-12,9.996793092244466994e-01,-2.526189384134076843e-02,9.995114890933320950e-01,-2.777778750756931467e-02,2.440540057757039916e-01,-3.957893569789753201e+03,1.329139432693855127e+01,-3.598885672097968836e+03,1.521674901449100170e-01,-4.001753338147321509e-02,2.954693107098718663e-06
2.860000000000000000e+09,-1.193868823805875237e-05,-1.211018619285536140e-05,-1.430419120327798324e-05,-1.338968501707525132e-05,5.727241437727510374e-11,5.657947210780372433e-12,9.996770565767877370e-01,-2.535169155247986306e-02,9.995106971460602230e-01,-2.787495868395855475e-02,2.391279825114473734e-01,-3.943869993726318626e+03,1.295286326332210791e+01,-3.586344220910783861e+03,1.521648153094815048e-01,-4.014107396765232566e-02,2.937305061433691734e-06
2.870000000000000000e+09,-1.201395333861797535e-05,-1.212020514471192827e-05,-1.439294739869908686e-05,-1.339593038490136676e-05,5.710305848637304595e-11,6.168710781926092643e-12,9.996747933586640489e-01,-2.544146513305803325e-02,9.995099141495318307e-01,-2.797216803818639366e-02,2.347465012845270926e-01,-3.929949112753552527e+03,1.261618632838044363e+01,-3.573885033029831902e+03,1.521631549259417904e-01,-4.026541280662501027e-02,2.921079973608044252e-06
2.880000000000000000e+09,-1.208935588458436579e-05,-1.212990262935473720e-05,-1.448187129801211009e-05,-1.340177726563205785e-05,5.695091016631505010e-11,6.652445665530908018e-12,9.996725196778213363e-01,-2.553121474554237089e-02,9.995091385088932245e-01,-2.806941534600137719e-02,2.308822631332967668e-01,-3.916129779604386385e+03,1.228155360363628823e+01,-3.561507325729559398e+03,1.521624713347050073e-01,-4.039054481808088126e-02,2.905917962744217265e-06
2.890000000000000000e+09,-1.216489475040259307e-05,-1.213927808009862436e-05,-1.457096112665357881e-05,-1.340722445979002259e-05,5.681499050092134745e-11,7.109427629432488684e-12,9.996702356420118507e-01,-2.562094056635392386e-02,9.995083686582987292e-01,-2.816670037116743297e-02,2.275085936998537117e-01,-3.902410861886007751e+03,1.194914606456137740e+01,-3.549210327828667232e+03,1.521627273536149128e-01,-4.051646429438152119e-02,2.891723938071052512e-06
