frequency_Hz,trust_valid,Ex_spectrum_real_V_s_m,Ex_spectrum_imag_V_s_m,Ey_spectrum_real_V_s_m,Ey_spectrum_imag_V_s_m,Ez_spectrum_real_V_s_m,Ez_spectrum_imag_V_s_m,E_parallel_real_V_s_m,E_parallel_imag_V_s_m,H_rx_E_real_m,H_rx_E_imag_m,V_rx_real_V_s,V_rx_imag_V_s
0.000000000000000000e+00,0.000000000000000000e+00,7.030433907574820220e-13,0.000000000000000000e+00,-7.288241363597626020e-28,0.000000000000000000e+00,-1.909476909215455915e-11,0.000000000000000000e+00,-1.909476909215455915e-11,0.000000000000000000e+00,nan,nan,nan,nan
9.427591374708935022e+08,0.000000000000000000e+00,-1.156801220316926028e-13,-3.924308460438809991e-13,-3.585790326414733321e-28,4.070424099801793483e-28,1.008034145667301455e-13,1.109435491727665813e-11,1.008034145667301455e-13,1.109435491727665813e-11,nan,nan,nan,nan
1.885518274941787004e+09,0.000000000000000000e+00,-1.306008515950089447e-14,9.198426888075419312e-14,-2.236140397776767251e-28,5.091885032819226957e-28,1.179751568884422094e-12,-1.095323535131373813e-12,1.179751568884422094e-12,-1.095323535131373813e-12,nan,nan,nan,nan
2.828277412412680626e+09,0.000000000000000000e+00,-9.154814906487551123e-15,-2.659268096662633721e-14,4.533917989203176680e-28,-6.284851350059051620e-29,-5.535278395168665186e-14,3.337356223556564551e-13,-5.535278395168665186e-14,3.337356223556564551e-13,nan,nan,nan,nan
3.771036549883574009e+09,1.000000000000000000e+00,1.010670324469059942e-14,8.603224130033488176e-15,-2.868580004682155423e-28,-8.166308317815255091e-28,-8.536380241967281399e-14,-2.021054327875756790e-13,-8.536380241967281399e-14,-2.021054327875756790e-13,-1.922318081383529454e-05,-1.164150812159173592e-05,-7.118482283444938387e-19,4.878872677092576993e-18
4.713795687354467392e+09,1.000000000000000000e+00,-5.376096529205890572e-15,6.928772690877640381e-16,-2.623860354558496982e-28,-4.601959319831759368e-28,1.017809592523204490e-13,-2.947063584706342143e-15,1.017809592523204490e-13,-2.947063584706342143e-15,-2.702194088540727586e-05,-8.002703761783065903e-06,-2.773903541011793156e-18,-7.348874875149625676e-19
5.656554824825361252e+09,1.000000000000000000e+00,1.267673668362400568e-15,-2.839858871697324333e-15,-2.570862269834510980e-28,-9.448655804106745105e-28,-3.589360768712591892e-14,1.791357699224149229e-14,-3.589360768712591892e-14,1.791357699224149229e-14,-3.394905134913692749e-05,-1.050141058471477575e-06,1.237365713179656499e-18,-5.704555939874058502e-19
6.599313962296254158e+09,1.000000000000000000e+00,1.487160795326530182e-15,2.383519007448882510e-15,-7.621637776943568602e-28,-4.391987998443960766e-28,-4.850879591875557077e-14,-4.834285678511363520e-14,-4.850879591875557077e-14,-4.834285678511363520e-14,-3.881133370270431574e-05,8.935075609841851800e-06,2.314638146489950088e-18,1.442820987552619911e-18
7.542073099767148018e+09,1.000000000000000000e+00,-1.422367769592059007e-15,-1.844134221510563203e-15,-1.593248707643635728e-28,4.230065075418711108e-28,1.412125150931991924e-14,5.562470014309931142e-14,1.412125150931991924e-14,5.562470014309931142e-14,-4.052885026206859295e-05,2.129741267007580099e-05,-1.756980281531047700e-18,-1.953659022160220481e-18
8.484832237238041878e+09,0.000000000000000000e+00,2.234360452354459996e-16,-4.122104626705985784e-16,5.247278381610911792e-28,4.097849737631827907e-28,1.508340808232374978e-14,-1.006424928055256583e-14,1.508340808232374978e-14,-1.006424928055256583e-14,nan,nan,nan,nan
9.427591374708934784e+09,0.000000000000000000e+00,5.319504630882276545e-16,2.449759086937657900e-16,6.639349475994104738e-28,-9.169380752068990597e-30,-1.801930457936511283e-14,-1.129512840937039560e-14,-1.801930457936511283e-14,-1.129512840937039560e-14,nan,nan,nan,nan
1.037035051217982864e+10,0.000000000000000000e+00,8.564873875662782611e-17,-1.546409060107681869e-15,1.421864803880233798e-28,-3.201111043305351899e-28,1.494849029210049126e-14,1.292783771723412061e-14,1.494849029210049126e-14,1.292783771723412061e-14,nan,nan,nan,nan
1.131310964965072250e+10,0.000000000000000000e+00,-3.021752515673242084e-16,-1.638889094645207696e-15,-1.319646388167085908e-28,-1.929463541844029682e-28,-6.383934192840339065e-15,2.537319980488529512e-16,-6.383934192840339065e-15,2.537319980488529512e-16,nan,nan,nan,nan
1.225586878712161636e+10,0.000000000000000000e+00,-6.383726023462778135e-16,-9.484162275132897677e-16,-1.390587632127719090e-28,-2.065965662125661708e-28,3.568031749662072695e-15,5.300946812605446707e-15,3.568031749662072695e-15,5.300946812605446707e-15,nan,nan,nan,nan
