time_s,V_rx_trusted_bandlimited_V,envelope_V
7.486683071261188287e-10,6.632590100960512400e-06,7.364773156864050492e-06
7.804259442685413405e-10,6.584817506830015014e-06,9.291768228911735325e-06
8.121835814109638522e-10,-2.930882380002072479e-06,8.231063203722657474e-06
8.439412185533863640e-10,-5.389263561291835532e-06,5.597244506687428057e-06
8.756988556958089792e-10,-4.035489313182133507e-06,4.105414357931394884e-06
9.074564928382314910e-10,-3.700504295919507196e-06,5.050079123765053621e-06
9.392141299806540027e-10,5.742969459056645510e-07,5.630953287825597527e-06
9.709717671230766179e-10,4.129804590884555411e-06,4.751599701348670140e-06
1.002729404265499026e-09,3.273308531418038915e-06,3.304225518793709347e-06
1.034487041407921641e-09,3.061817018635410831e-06,3.446340136365591542e-06
1.066244678550344050e-09,1.539556540897066706e-06,4.573261786819280744e-06
1.098002315692766665e-09,-2.715962599712184753e-06,4.761512546902242180e-06
1.129759952835189280e-09,-3.792094257102237196e-06,3.819535127142398593e-06
1.161517589977611689e-09,-2.998148535484964184e-06,3.175751013938271750e-06
1.193275227120034304e-09,-2.700363398485847100e-06,4.175903709322353548e-06
1.225032864262456919e-09,9.290007370838127924e-07,5.125086237395479905e-06
1.256790501404879327e-09,4.296321819816386773e-06,4.794631487817918930e-06
1.288548138547301736e-09,3.647331979533674659e-06,3.706817314809844541e-06
1.320305775689724351e-09,3.781666486808431028e-06,4.349941111378330025e-06
1.352063412832146966e-09,1.856917551910701229e-06,6.492232530371069378e-06
1.383821049974569374e-09,-4.811099173132693481e-06,7.629911545493498601e-06
1.415578687116991990e-09,-6.919210174595412095e-06,6.919897987118322054e-06
1.447336324259414605e-09,-5.959521620819458151e-06,6.609731660741106052e-06
1.479093961401837013e-09,-5.795814534939563725e-06,1.098693930850853706e-05
1.510851598544259421e-09,7.790629733930063105e-06,1.788778588157730970e-05
1.542609235686682243e-09,2.399036075814367717e-05,2.402852511019226486e-05
1.574366872829104652e-09,7.357296707787265320e-06,2.730278315704614162e-05
1.606124509971527060e-09,-2.235199680443429951e-05,2.659297267113384797e-05
1.637882147113949675e-09,-1.656838067801927344e-05,2.190199135696053800e-05
1.669639784256372291e-09,6.014362311455486610e-06,1.430653009879277442e-05
1.701397421398794699e-09,5.552163953220282744e-06,5.622435062910718046e-06
1.733155058541217107e-09,-3.435119480995646027e-07,2.140501217233972262e-06
