pathway,frequency_Hz,source_normalized_shape,receiver_normalized_shape,source_unit,receiver_unit,absolute_cross_path_comparison_permitted
POST_BREAKDOWN_G3,205992509.3633,1.0,0.032952853872069345,V,V,False
POST_BREAKDOWN_G3,212234706.6167,0.9950919028067542,0.04544522062854706,V,V,False
POST_BREAKDOWN_G3,218476903.8702,0.9901316125314898,0.05450948928576586,V,V,False
POST_BREAKDOWN_G3,224719101.1236,0.985270100180408,0.060365523322793165,V,V,False
POST_BREAKDOWN_G3,230961298.377,0.9806331944957859,0.06597611352816167,V,V,False
POST_BREAKDOWN_G3,237203495.6305,0.9763029403774989,0.07566465957314882,V,V,False
POST_BREAKDOWN_G3,243445692.8839,0.9723068027980863,0.09202631459271048,V,V,False
POST_BREAKDOWN_G3,249687890.1373,0.9686159811636774,0.11447071544631399,V,V,False
POST_BREAKDOWN_G3,255930087.3908,0.9651525834380117,0.14115440339465402,V,V,False
POST_BREAKDOWN_G3,262172284.6442,0.9618040020774813,0.17131103516559493,V,V,False
POST_BREAKDOWN_G3,268414481.8976,0.9584418018338635,0.20631161462235853,V,V,False
POST_BREAKDOWN_G3,274656679.1511,0.9549419372466846,0.24950780409711126,V,V,False
POST_BREAKDOWN_G3,280898876.4045,0.9512031882018263,0.3050457641320895,V,V,False
POST_BREAKDOWN_G3,287141073.6579,0.9471612363239803,0.37618058734883675,V,V,False
POST_BREAKDOWN_G3,293383270.9114,0.9427966399822418,0.46405316493351406,V,V,False
POST_BREAKDOWN_G3,299625468.1648,0.9381359344998896,0.5671377217052407,V,V,False
POST_BREAKDOWN_G3,305867665.4182,0.9332460530527986,0.6808706702909764,V,V,False
POST_BREAKDOWN_G3,312109862.6717,0.9282231380223515,0.7967171607786452,V,V,False
POST_BREAKDOWN_G3,318352059.9251,0.9231775219531135,0.9008197084088088,V,V,False
POST_BREAKDOWN_G3,324594257.1785,0.9182171380195073,0.9745650811332801,V,V,False
POST_BREAKDOWN_G3,330836454.432,0.9134318092141778,1.0,V,V,False
