x_m,y_m,potential_V,Ex_V_m,Ey_V_m,E_mag_V_m,domain_id,cell_area_m2
0.0,0.0,0.0,0.0,-7142857.149654629,7142857.149654629,gas_gap,1.9140624999999994e-13
0.0,4.3749999999999994e-07,3.1250000039859183,0.0,-7142857.154625773,7142857.154625773,gas_gap,1.9140624999999994e-13
0.0,8.749999999999999e-07,6.250000010660059,0.0,-7142857.1620924305,7142857.1620924305,gas_gap,1.9140624999999994e-13
0.0,1.3124999999999997e-06,9.375000021332948,0.0,-7142857.173111617,7142857.173111617,gas_gap,1.9140624999999994e-13
0.0,1.7499999999999998e-06,12.500000037860667,0.0,-7142857.189140184,7142857.189140184,gas_gap,1.9140624999999994e-13
0.0,2.1875e-06,15.625000062848564,0.0,-7142857.212172778,7142857.212172778,gas_gap,1.9140624999999994e-13
0.0,2.6249999999999994e-06,18.750000099924467,0.0,-7142857.244923544,7142857.244923544,gas_gap,1.9140624999999994e-13
0.0,3.0624999999999995e-06,21.875000154103258,0.0,-7142857.291064291,7142857.291064291,gas_gap,1.9140624999999994e-13
0.0,3.4999999999999995e-06,25.000000232270814,0.0,-7142857.3555352455,7142857.3555352455,gas_gap,1.9140624999999994e-13
0.0,3.937499999999999e-06,28.12500034382346,0.0,-7142857.444948681,7142857.444948681,gas_gap,1.9140624999999994e-13
0.0,4.375e-06,31.250000501508786,0.0,-7142857.568110874,7142857.568110874,gas_gap,1.9140624999999994e-13
0.0,4.812499999999999e-06,34.3750007225264,0.0,-7142857.736694163,7142857.736694163,gas_gap,1.9140624999999994e-13
0.0,5.249999999999999e-06,37.500001029962625,0.0,-7142857.966098578,7142857.966098578,gas_gap,1.9140624999999994e-13
0.0,5.687499999999999e-06,40.62500145465224,0.0,-7142858.276551916,7142858.276551916,gas_gap,1.9140624999999994e-13
0.0,6.124999999999999e-06,43.75000203758448,0.0,-7142858.694508404,7142858.694508404,gas_gap,1.9140624999999994e-13
0.0,6.5624999999999994e-06,46.875002832999435,0.0,-7142859.25441972,7142859.25441972,gas_gap,1.9140624999999994e-13
0.0,6.999999999999999e-06,50.00000391235672,0.0,-7142860.000968406,7142860.000968406,gas_gap,1.9140624999999994e-13
0.0,7.437499999999999e-06,53.125005369402096,0.0,-7142860.9918730175,7142860.9918730175,gas_gap,1.9140624999999994e-13
0.0,7.874999999999998e-06,56.2500073266099,0.0,-7142862.301397259,7142862.301397259,gas_gap,1.9140624999999994e-13
0.0,8.312499999999999e-06,59.37500994334332,0.0,-7142864.024722254,7142864.024722254,gas_gap,1.9140624999999994e-13
0.0,8.75e-06,62.500013426150375,0.0,-7142866.283372538,7142866.283372538,gas_gap,1.9140624999999994e-13
0.0,9.187499999999998e-06,65.62501804170499,0.0,-7142869.231922986,7142869.231922986,gas_gap,1.9140624999999994e-13
0.0,9.624999999999998e-06,68.75002413301088,0.0,-7142873.0662560845,7142873.0662560845,gas_gap,1.9140624999999994e-13
0.0,1.0062499999999999e-05,71.87503213961398,0.0,-7142878.033687498,7142878.033687498,gas_gap,1.9140624999999994e-13
0.0,1.0499999999999998e-05,75.00004262272058,0.0,-7142884.445333113,7142884.445333113,gas_gap,1.9140624999999994e-13
0.0,1.0937499999999998e-05,78.12505629629456,0.0,-7142892.691153307,7142892.691153307,gas_gap,1.9140624999999994e-13
0.0,1.1374999999999999e-05,81.25007406541285,0.0,-7142903.258180445,7142903.258180445,gas_gap,1.9140624999999994e-13
0.0,1.1812499999999999e-05,84.37509707339697,0.0,-7142916.752513789,7142916.752513789,gas_gap,1.9140624999999994e-13
0.0,1.2249999999999998e-05,87.50012675951186,0.0,-7142933.925752404,7142933.925752404,gas_gap,1.9140624999999994e-13
0.0,1.2687499999999998e-05,90.62516492933752,0.0,-7142955.706630973,7142955.706630973,gas_gap,1.9140624999999994e-13
0.0,1.3124999999999999e-05,93.75021384027575,0.0,-7142983.2387255775,7142983.2387255775,gas_gap,1.9140624999999994e-13
0.0,1.3562499999999998e-05,96.87527630505663,0.0,-7143017.925205465,7143017.925205465,gas_gap,1.9140624999999994e-13
0.0,1.3999999999999998e-05,100.00035581656212,0.0,-7143061.481721811,7143061.481721811,gas_gap,1.9140624999999994e-13
