step,time_s,dt_s,topology,topology_status,roi_definition,roi_cell_count,E_peak_V_m,eta_peak,ne_peak_m3,nu_i_at_E_peak_s_1,tau_i_at_E_peak_s,sigma_e_peak_S_m,tau_M_at_E_peak_s,Pi_RF_at_E_peak,K_ion_z_A_m_s,K_ion_abs_A_m_s,current_moment_z_A_m,dMdt_native_A_m_s
1,1e-15,1e-15,ELECTRODE_ATTACHMENT,PENDING_CONTIGUOUS_CONFIRMATION,ATTACHMENT_ROI,2,22358664.21390449,8.491368719666289,2786383867697307.0,165445996529.35922,6.044268347240092e-12,1.4921899120114275e-05,5.933686953334794e-07,98170.47510877323,0.0310433086599902,0.0310433086599902,-1.996285973338885e-13,-0.06433911674669446
2,2e-15,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358664.206941895,8.491368717022038,2786746622635662.0,165445996441.87637,6.044268350436118e-12,1.4923841779160089e-05,5.932914556333706e-07,98157.69605771429,0.0310466896958243,0.0310466896958243,-1.996929404542659e-13,-0.06434712400815101
3,3.0000000000000002e-15,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358664.199978735,8.491368714377572,2787109267473528.0,165445996354.3862,6.044268353632413e-12,1.4925783848585788e-05,5.93214259473477e-07,98144.92421021876,0.0310500695984358,0.0310500695984358,-1.9975729158190481e-13,-0.06435513046373842
4,4e-15,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358664.193015043,8.4913687117329,2787471802183506.5,165445996266.88937,6.04426835682895e-12,1.4927725328244642e-05,5.931371068334876e-07,98132.15956292675,0.0310534483675601,0.0310534483675601,-1.9982165071519338e-13,-0.06436313530669224
5,5.000000000000001e-15,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358664.186050765,8.491368709088006,2787834226738204.5,165445996179.3853,6.0442683600257525e-12,1.4929666217989966e-05,5.930599976931079e-07,98119.4021124802,0.0310568260029325,0.0310568260029325,-1.9988601785251817e-13,-0.06415703068452672
6,6.000000000000001e-15,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358664.179017536,8.491368706416932,2788196541110237.0,165445996091.0148,6.044268363254208e-12,1.4931606517679437e-05,5.929829320318879e-07,98106.65185498624,0.0310602025040076,0.0310602025040076,-1.9994996477656243e-13,-0.06416653022320418
7,7.000000000000002e-15,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358664.172052655,8.49136870377181,2788558745272221.0,165445996003.5032,6.044268366451284e-12,1.4933546227157698e-05,5.92905909829913e-07,98093.90878817321,0.031063577871085,0.031063577871085,-2.000143509129646e-13,-0.06439013589779563
8,8.000000000000002e-15,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358664.1650872,8.49136870112647,2788920839196788.0,165445995915.98413,6.0442683696486345e-12,1.4935485346282554e-05,5.928289310667639e-07,98081.17290814903,0.0310669521036164,0.0310669521036164,-2.0007874504835802e-13,-0.06439813407779127
9,9.000000000000003e-15,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358664.15812121,8.491368698480926,2789282822856570.5,165445995828.45853,6.044268372846223e-12,1.4937423874907451e-05,5.927519957222114e-07,98068.44421156745,0.0310703252013378,0.0310703252013378,-2.0014314718112018e-13,-0.0644061306342536
10,1.0000000000000003e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358664.15115469,8.491368695835185,2789644696224210.0,165445995740.92627,6.044268376044056e-12,1.4939361812885867e-05,5.926751037760439e-07,98055.7226950844,0.0310736971639849,0.0310736971639849,-2.0020755730962653e-13,-0.06441412556486625
11,1.1000000000000004e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358664.144187625,8.491368693189232,2790006459272353.0,165445995653.38702,6.044268379242142e-12,1.4941299160071317e-05,5.925982552080658e-07,98043.00835535838,0.0310770679912933,0.0310770679912933,-2.002719754322499e-13,-0.06442211886717075
12,1.2000000000000004e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358664.137219936,8.491368690543048,2790368111973653.0,165445995565.84018,6.044268382440506e-12,1.4943235916317366e-05,5.925214499980965e-07,98030.30118905027,0.0310804376829988,0.0310804376829988,-2.0033640154736086e-13,-0.06443011053941916
13,1.3000000000000003e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358664.130251803,8.49136868789669,2790729654300770.5,165445995478.2876,6.04426838563908e-12,1.4945172081477584e-05,5.924446881259741e-07,98017.6011928254,0.031083806238838,0.031083806238838,-2.0040083565332874e-13,-0.06443810057935195
14,1.4000000000000003e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358664.123283077,8.491368685250107,2791091086226372.5,165445995390.72754,6.044268388837928e-12,1.4947107655405606e-05,5.923679695715507e-07,98004.9083633494,0.0310871736585462,0.0310871736585462,-2.004652777485196e-13,-0.06444608898441118
15,1.5000000000000006e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358664.11631377,8.491368682603305,2791452407723132.0,165445995303.16025,6.04426839203704e-12,1.4949042637955084e-05,5.922912943146966e-07,97992.22269729197,0.0310905399418596,0.0310905399418596,-2.0052972783129757e-13,-0.06445407575277784
16,1.6000000000000004e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358664.10934395,8.49136867995631,2791813618763729.0,165445995215.5865,6.044268395236388e-12,1.4950977028979713e-05,5.922146623352969e-07,97979.54419132568,0.0310939050885147,0.0310939050885147,-2.0059418590002517e-13,-0.06446206088241979
17,1.7000000000000003e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358664.102373604,8.491368677309113,2792174719320851.0,165445995128.00607,6.044268398435979e-12,1.4952910828333222e-05,5.92138073613254e-07,97966.87284212532,0.0310972690982474,0.0310972690982474,-2.0065865195306241e-13,-0.06447004437087855
18,1.8000000000000002e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358664.09540273,8.491368674661718,2792535709367190.5,165445995040.41913,6.044268401635808e-12,1.4954844035869374e-05,5.920615281284863e-07,97954.20864636851,0.0311006319707942,0.0311006319707942,-2.0072312598876693e-13,-0.06447802621588039
19,1.9e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358664.088431288,8.491368672014104,2792896588875447.5,165445994952.825,6.0442684048359e-12,1.4956776651441972e-05,5.919850258609281e-07,97941.55160073507,0.0311039937058911,0.0311039937058911,-2.0078760800549418e-13,-0.06448600641539315
20,2e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358664.081459284,8.491368669366278,2793257357818328.5,165445994865.22382,6.044268408036251e-12,1.4958708674904854e-05,5.919085667905301e-07,97928.901701908,0.0311073543032746,0.0311073543032746,-2.0085209800159773e-13,-0.06449398496738468
21,2.1e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358664.07448675,8.49136866671825,2793618016168547.0,165445994777.61594,6.044268411236845e-12,1.4960640106111885e-05,5.918321508972595e-07,97916.2589465732,0.0311107137626812,0.0311107137626812,-2.0091659597542894e-13,-0.06450196186975177
22,2.2e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358664.067513715,8.491368664070032,2793978563898822.5,165445994690.00174,6.04426841443767e-12,1.4962570944916972e-05,5.917557781610994e-07,97903.6233314191,0.0311140720838476,0.0311140720838476,-2.0098110192533721e-13,-0.06450993711986541
23,2.3e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358664.060540102,8.491368661421596,2794339000981882.0,165445994602.3803,6.044268417638759e-12,1.4964501191174062e-05,5.916794485620495e-07,97890.99485313619,0.0311174292665101,0.0311174292665101,-2.010456158496687e-13,-0.06451791071586399
24,2.4e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358664.053565983,8.491368658772966,2794699327390458.0,165445994514.75262,6.0442684208400776e-12,1.4966430844737134e-05,5.916031620801249e-07,97878.37350841863,0.0311207853104056,0.0311207853104056,-2.0111013774676894e-13,-0.06452588265570114
25,2.4999999999999994e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358664.04659129,8.491368656124118,2795059543097291.0,165445994427.11752,6.0442684240416656e-12,1.4968359905460187e-05,5.915269186953576e-07,97865.75929396212,0.0311241402152704,0.0311241402152704,-2.011746676149801e-13,-0.06453385293706049
26,2.5999999999999996e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358664.03961609,8.491368653475075,2795419648075127.0,165445994339.4762,6.044268427243483e-12,1.4970288373197294e-05,5.914507183877954e-07,97853.15220646631,0.0311274939808418,0.0311274939808418,-2.0123920545264306e-13,-0.06454182155785304
27,2.6999999999999992e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358664.03264036,8.491368650825837,2795779642296719.5,165445994251.82822,6.0442684304455436e-12,1.497221624780252e-05,5.913745611375026e-07,97840.5522426327,0.0311308466068563,0.0311308466068563,-2.0130375125809577e-13,-0.06454978851593296
