step,time_s,K_ion_z_A_m_s,K_ion_abs_A_m_s,dMdt_native_A_m_s
1,1e-15,0.0310433086599902,0.0310433086599902,-0.06433911674669446
2,2e-15,0.0310466896958243,0.0310466896958243,-0.06434712400815101
3,3.0000000000000002e-15,0.0310500695984358,0.0310500695984358,-0.06435513046373842
4,4e-15,0.0310534483675601,0.0310534483675601,-0.06436313530669224
5,5.000000000000001e-15,0.0310568260029325,0.0310568260029325,-0.06415703068452672
6,6.000000000000001e-15,0.0310602025040076,0.0310602025040076,-0.06416653022320418
7,7.000000000000002e-15,0.031063577871085,0.031063577871085,-0.06439013589779563
8,8.000000000000002e-15,0.0310669521036164,0.0310669521036164,-0.06439813407779127
9,9.000000000000003e-15,0.0310703252013378,0.0310703252013378,-0.0644061306342536
10,1.0000000000000003e-14,0.0310736971639849,0.0310736971639849,-0.06441412556486625
11,1.1000000000000004e-14,0.0310770679912933,0.0310770679912933,-0.06442211886717075
12,1.2000000000000004e-14,0.0310804376829988,0.0310804376829988,-0.06443011053941916
13,1.3000000000000003e-14,0.031083806238838,0.031083806238838,-0.06443810057935195
14,1.4000000000000003e-14,0.0310871736585462,0.0310871736585462,-0.06444608898441118
15,1.5000000000000006e-14,0.0310905399418596,0.0310905399418596,-0.06445407575277784
16,1.6000000000000004e-14,0.0310939050885147,0.0310939050885147,-0.06446206088241979
17,1.7000000000000003e-14,0.0310972690982474,0.0310972690982474,-0.06447004437087855
18,1.8000000000000002e-14,0.0311006319707942,0.0311006319707942,-0.06447802621588039
19,1.9e-14,0.0311039937058911,0.0311039937058911,-0.06448600641539315
20,2e-14,0.0311073543032746,0.0311073543032746,-0.06449398496738468
21,2.1e-14,0.0311107137626812,0.0311107137626812,-0.06450196186975177
22,2.2e-14,0.0311140720838476,0.0311140720838476,-0.06450993711986541
23,2.3e-14,0.0311174292665101,0.0311174292665101,-0.06451791071586399
24,2.4e-14,0.0311207853104056,0.0311207853104056,-0.06452588265570114
25,2.4999999999999994e-14,0.0311241402152704,0.0311241402152704,-0.06453385293706049
26,2.5999999999999996e-14,0.0311274939808418,0.0311274939808418,-0.06454182155785304
27,2.6999999999999992e-14,0.0311308466068563,0.0311308466068563,-0.06454978851593296
28,2.799999999999999e-14,0.031134198093051,0.031134198093051,-0.06455775380905493
29,2.899999999999999e-14,0.0311375484391625,0.0311375484391625,-0.06456571743497364
30,2.999999999999999e-14,0.0311408976449283,0.0311408976449283,-0.06457367939192693
31,3.0999999999999994e-14,0.0311442457100852,0.0311442457100852,-0.06458163967761266
32,3.2e-14,0.0311475926343706,0.0311475926343706,-0.06458959828955813
33,3.3e-14,0.0311509384175213,0.0311509384175213,-0.0645975552260154
34,3.4e-14,0.031154283059275,0.031154283059275,-0.06460551048488128
35,3.5e-14,0.0311576265593691,0.0311576265593691,-0.06461346406365465
36,3.6000000000000004e-14,0.0311609689175408,0.0311609689175408,-0.06462141596040283
37,3.7000000000000006e-14,0.0311643101335274,0.0311643101335274,-0.06462936617307946
38,3.800000000000001e-14,0.0311676502070668,0.0311676502070668,-0.06463731469956713
39,3.9000000000000004e-14,0.0311709891378967,0.0311709891378967,-0.06464526153759209
40,4.0000000000000006e-14,0.0311743269257544,0.0311743269257544,-0.0646532066849943
41,4.1000000000000015e-14,0.0311776635703779,0.0311776635703779,-0.0646611501398553
42,4.2000000000000017e-14,0.0311809990715048,0.0311809990715048,-0.0646690918999866
43,4.300000000000001e-14,0.0311843334288735,0.0311843334288735,-0.0646770319631571
44,4.4000000000000014e-14,0.0311876666422212,0.0311876666422212,-0.06468497032727782
45,4.5000000000000017e-14,0.0311909987112864,0.0311909987112864,-0.06469290699041608
46,4.6000000000000025e-14,0.0311943296358071,0.0311943296358071,-0.06470084195034076
47,4.700000000000002e-14,0.0311976594155214,0.0311976594155214,-0.06470877520483498
48,4.800000000000002e-14,0.0312009880501675,0.0312009880501675,-0.0647167067517671
49,4.900000000000003e-14,0.0312043155394835,0.0312043155394835,-0.06472463658940342
50,5.000000000000003e-14,0.031207641883208,0.031207641883208,-0.06473256471551281
51,5.100000000000004e-14,0.0312109670810795,0.0312109670810795,-0.06474049112770786
52,5.200000000000004e-14,0.0312142911328361,0.0312142911328361,-0.06474841582399904
53,5.300000000000004e-14,0.0312176140382165,0.0312176140382165,-0.06475633880228315
