step,time_s,dt_s,topology,topology_confidence,topology_evidence,topology_status,head_count,head_position_m,head_velocity_m_s,bridge_status,roi_definition,roi_status,roi_cell_count,roi_volume_m3,roi_centroid_r_m,roi_centroid_z_m,roi_r_min_m,roi_r_max_m,roi_z_min_m,roi_z_max_m,electrode_distance_m,Ek_V_m,gas,pressure_Pa,temperature_K,Ek_semantics,E0_source,E0_max_V_m,E0_mean_V_m,E0_p95_V_m,eta_0_max,eta_0_mean,eta_0_p95,E_peak_V_m,E_peak_time_s,E_peak_r_m,E_peak_z_m,eta_peak,ne_at_E_peak_m3,ne_peak_m3,E_at_ne_peak_V_m,nu_i_at_E_peak_s_1,mu_e_at_E_peak_m2_V_s,nu_i_at_ne_peak_s_1,mu_e_at_ne_peak_m2_V_s,tau_i_at_E_peak_s,tau_i_at_ne_peak_s,tau_i_min_s,tau_i_median_s,tau_i_p95_s,sigma_e_at_E_peak_S_m,sigma_e_at_ne_peak_S_m,sigma_e_peak_S_m,sigma_e_median_S_m,sigma_e_p95_S_m,tau_M_at_E_peak_s,tau_M_at_ne_peak_s,tau_M_min_s,tau_M_median_s,tau_M_p95_s,Pi_RF_at_E_peak,Pi_RF_at_ne_peak,Pi_RF_min,Pi_RF_median,Pi_RF_p95,N_tau_i_at_E_peak,N_tau_M_at_E_peak,tau_i_resolution_status,tau_M_resolution_status,sigma_e_peak_r_m,sigma_e_peak_z_m,E_at_sigma_peak_V_m,ne_at_sigma_peak_m3,mu_e_at_sigma_peak_m2_V_s,nu_i_at_sigma_peak_s_1,tau_i_at_sigma_peak_s,tau_M_at_sigma_peak_s,Pi_RF_at_sigma_peak,E_roi_median_V_m,ne_roi_median_m3,mu_e_roi_median_m2_V_s,nu_i_roi_median_s_1,K_ion_z_A_m_s,K_ion_abs_A_m_s,signed_proxy_status,mechanism_proxy_role,current_moment_r_A_m,current_moment_z_A_m,dMdt_native_A_m_s
1926,1.3876558203340086e-11,5.865100067589531e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.766950522090891e-05,235602.4107154539,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.75e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.5625e-05,6.9375e-05,3.749999999999996e-06,2633104.856478684,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,41710533.85723665,32034599.039051607,40742940.37541815,15.840817639528863,12.166093180919605,15.47334519366794,41710330.62138467,1.3876558203340086e-11,3.3333333333333337e-06,6.9375e-05,15.840740454660407,6513981763533440.0,6513981763533440.0,41710330.62138467,426250183902.26605,0.0319518167803804,426250183902.26605,0.0319518167803804,2.3460400435376418e-12,2.3460400435376418e-12,2.3460400435376418e-12,4.19514816052092e-12,5.8593454658058704e-12,3.334667134760863e-05,3.334667134760863e-05,3.334667134760863e-05,1.8969952155385035e-05,3.190899942838627e-05,2.6551938934183774e-07,2.6551938934183774e-07,2.6551938934183774e-07,1.0965892983304976e-06,1.8445522164202916e-06,113177.6885365757,113177.6885365757,113177.6885365757,216050.91195837004,308636.8130379849,400.0000028135631,45271075.733062856,RESOLVED_PREFERRED,RESOLVED_PREFERRED,3.3333333333333337e-06,6.9375e-05,41710330.62138467,6513981763533440.0,0.0319518167803804,426250183902.26605,2.3460400435376418e-12,2.6551938934183774e-07,113177.6885365757,32034510.564705044,3685840841012045.0,0.0326884582008131,295848255404.8277,0.3193234112111298,0.3193234112111298,DEFINED_FROM_FROZEN_ELECTRON_DRIFT_CONVENTION,MECHANISM_DIAGNOSTIC_PROXY_NOT_CLOSURE_RELATION,-7.35813168573167e-16,-5.984489931026005e-13,0.0024437548717770596
1927,1.3882423303448932e-11,5.8651001088441056e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.767088584630378e-05,235396.73138461373,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.75e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.5625e-05,6.9375e-05,3.749999999999996e-06,2633104.856478684,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,41710533.85723665,32034599.039051607,40742940.37541815,15.840817639528863,12.166093180919605,15.47334519366794,41710330.40747582,1.3882423303448932e-11,3.3333333333333337e-06,6.9375e-05,15.84074037342215,6517524722411727.0,6517524722411727.0,41710330.40747582,426250180903.46826,0.0319518167891101,426250180903.46826,0.0319518167891101,2.3460400600427364e-12,2.3460400600427364e-12,2.3460400600427364e-12,4.195148140203493e-12,5.8593454123481754e-12,3.336480863275636e-05,3.336480863275636e-05,3.336480863275636e-05,1.8973185042042645e-05,3.192564627368499e-05,2.653750516077374e-07,2.653750516077374e-07,2.653750516077374e-07,1.098972482020242e-06,1.849210169391496e-06,113116.16375506532,113116.16375506532,113116.16375506532,216426.38014072925,309405.57488782675,400.0000028141198,45246465.82034855,RESOLVED_PREFERRED,RESOLVED_PREFERRED,3.3333333333333337e-06,6.9375e-05,41710330.40747582,6517524722411727.0,0.0319518167891101,426250180903.46826,2.3460400600427364e-12,2.653750516077374e-07,113116.16375506532,32034510.51999089,3686522602952727.0,0.0326884581963382,295848254687.4601,0.3194696427459327,0.3194696427459327,DEFINED_FROM_FROZEN_ELECTRON_DRIFT_CONVENTION,MECHANISM_DIAGNOSTIC_PROXY_NOT_CLOSURE_RELATION,-7.334283806938018e-16,-5.984344335387043e-13,0.0025210585588624213
1928,1.3888288403599038e-11,5.8651001501068415e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.76722652672235e-05,235191.3666291079,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.75e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.5625e-05,6.9375e-05,3.749999999999996e-06,2633104.856478684,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,41710533.85723665,32034599.039051607,40742940.37541815,15.840817639528863,12.166093180919605,15.47334519366794,41710330.19352473,1.3888288403599038e-11,3.3333333333333337e-06,6.9375e-05,15.840740292167856,6521063710022217.0,6521063710022217.0,41710330.19352473,426250177904.0783,0.0319518167978415,426250177904.0783,0.0319518167978415,2.346040076551091e-12,2.346040076551091e-12,2.346040076551091e-12,4.19514811985036e-12,5.859345358819703e-12,3.338292558802127e-05,3.338292558802127e-05,3.338292558802127e-05,1.897641253857998e-05,3.194227428307714e-05,2.6523103223694485e-07,2.6523103223694485e-07,2.6523103223694485e-07,1.1013663424598167e-06,1.8538881216604013e-06,113054.77467668008,113054.77467668008,113054.77467668008,216803.6562773675,310177.64971798623,400.0000028146756,45221910.18888455,RESOLVED_PREFERRED,RESOLVED_PREFERRED,3.3333333333333337e-06,6.9375e-05,41710330.19352473,6521063710022217.0,0.0319518167978415,426250177904.0783,2.346040076551091e-12,2.6523103223694485e-07,113054.77467668008,32034510.475336976,3687203270866751.0,0.0326884581918527,295848253970.8184,0.3196157035193305,0.3196157035193305,DEFINED_FROM_FROZEN_ELECTRON_DRIFT_CONVENTION,MECHANISM_DIAGNOSTIC_PROXY_NOT_CLOSURE_RELATION,-7.310426658280498e-16,-5.984194205808372e-13,0.00259832852236741
1929,1.3894153503790416e-11,5.865100191377728e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.767364348550723e-05,234986.315452951,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.75e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.5625e-05,6.9375e-05,3.749999999999996e-06,2633104.856478684,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,41710533.85723665,32034599.039051607,40742940.37541815,15.840817639528863,12.166093180919605,15.47334519366794,41710329.97953156,1.3894153503790416e-11,3.3333333333333337e-06,6.9375e-05,15.840740210897568,6524598721902113.0,6524598721902113.0,41710329.97953156,426250174904.0981,0.0319518168065747,426250174904.0981,0.0319518168065747,2.3460400930626935e-12,2.3460400930626935e-12,2.3460400930626935e-12,4.195148099461542e-12,5.859345305220505e-12,3.340102219055719e-05,3.340102219055719e-05,3.340102219055719e-05,1.8979634651011705e-05,3.195888343660264e-05,2.650873306297545e-07,2.650873306297545e-07,2.650873306297545e-07,1.1037709371456878e-06,1.858586183010028e-06,112993.52104579334,112993.52104579334,112993.52104579334,217182.74980272356,310953.0556839607,400.00000281522944,45197408.73642002,RESOLVED_PREFERRED,RESOLVED_PREFERRED,3.3333333333333337e-06,6.9375e-05,41710329.97953156,6524598721902113.0,0.0319518168065747,426250174904.0981,2.3460400930626935e-12,2.650873306297545e-07,112993.52104579334,32034510.43074328,3687882845778885.0,0.0326884581873565,295848253254.90283,0.3197615933862034,0.3197615933862034,DEFINED_FROM_FROZEN_ELECTRON_DRIFT_CONVENTION,MECHANISM_DIAGNOSTIC_PROXY_NOT_CLOSURE_RELATION,-7.286560294239453e-16,-5.984039546245808e-13,0.002675530863669451
1930,1.3900018604023072e-11,5.8651002326567366e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.76750205029883e-05,234781.576860158,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.75e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.5625e-05,6.9375e-05,3.749999999999996e-06,2633104.856478684,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,41710533.85723665,32034599.039051607,40742940.37541815,15.840817639528863,12.166093180919605,15.47334519366794,41710329.76549643,1.3900018604023072e-11,3.3333333333333337e-06,6.9375e-05,15.840740129611357,6528129753601684.0,6528129753601684.0,41710329.76549643,426250171903.53,0.0319518168153096,426250171903.53,0.0319518168153096,2.3460401095775338e-12,2.3460401095775338e-12,2.3460401095775338e-12,4.195148079037019e-12,5.859345251550556e-12,3.3419098417584866e-05,3.3419098417584866e-05,3.3419098417584866e-05,1.898285138536519e-05,3.19754737143629e-05,2.649439461879976e-07,2.649439461879976e-07,2.649439461879976e-07,1.1061863239671222e-06,1.8633044639683344e-06,112932.40260743356,112932.40260743356,112932.40260743356,217563.67021642652,311731.8110645202,400.0000028157813,45172961.36096637,RESOLVED_PREFERRED,RESOLVED_PREFERRED,3.3333333333333337e-06,6.9375e-05,41710329.76549643,6528129753601684.0,0.0319518168153096,426250171903.53,2.3460401095775338e-12,2.649439461879976e-07,112932.40260743356,32034510.386209927,3688561328716565.5,0.0326884581828496,295848252539.71484,0.3199073122019746,0.3199073122019746,DEFINED_FROM_FROZEN_ELECTRON_DRIFT_CONVENTION,MECHANISM_DIAGNOSTIC_PROXY_NOT_CLOSURE_RELATION,-7.262684769389104e-16,-5.983880360675626e-13,0.0027526652341691715
1931,1.3905883704297017e-11,5.865100273943835e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.767639632149429e-05,234577.1498757342,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.75e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.5625e-05,6.9375e-05,3.749999999999996e-06,2633104.856478684,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,41710533.85723665,32034599.039051607,40742940.37541815,15.840817639528863,12.166093180919605,15.47334519366794,41710329.55141954,1.3905883704297017e-11,3.3333333333333337e-06,6.9375e-05,15.840740048309282,6531656800684290.0,6531656800684290.0,41710329.55141954,426250168902.3764,0.0319518168240461,426250168902.3764,0.0319518168240461,2.3460401260955955e-12,2.3460401260955955e-12,2.3460401260955955e-12,4.1951480585768246e-12,5.859345197809928e-12,3.3437154246392004e-05,3.3437154246392004e-05,3.3437154246392004e-05,1.8986062747680526e-05,3.199204509652086e-05,2.6480087831503786e-07,2.6480087831503786e-07,2.6480087831503786e-07,1.108612561209324e-06,1.8680430758141808e-06,112871.41910728252,112871.41910728252,112871.41910728252,217946.42708380963,312513.9342626841,400.00000281633055,45148567.96079624,RESOLVED_PREFERRED,RESOLVED_PREFERRED,3.3333333333333337e-06,6.9375e-05,41710329.55141954,6531656800684290.0,0.0319518168240461,426250168902.3764,2.3460401260955955e-12,2.6480087831503786e-07,112871.41910728252,32034510.34173692,3689238720709889.0,0.032688458178332,295848251825.2548,0.3200528598226106,0.3200528598226106,DEFINED_FROM_FROZEN_ELECTRON_DRIFT_CONVENTION,MECHANISM_DIAGNOSTIC_PROXY_NOT_CLOSURE_RELATION,-7.23880013840024e-16,-5.983716653094534e-13,0.002829731285075354
1932,1.3911748804612254e-11,5.865100315238989e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.767777094284699e-05,234373.03350594072,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.75e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.5625e-05,6.9375e-05,3.749999999999996e-06,2633104.856478684,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,41710533.85723665,32034599.039051607,40742940.37541815,15.840817639528863,12.166093180919605,15.47334519366794,41710329.337301135,1.3911748804612254e-11,3.3333333333333337e-06,6.9375e-05,15.840739966991435,6535179858726407.0,6535179858726407.0,41710329.337301135,426250165900.6408,0.0319518168327844,426250165900.6408,0.0319518168327844,2.3460401426168614e-12,2.3460401426168614e-12,2.3460401426168614e-12,4.19514803808093e-12,5.85934514399859e-12,3.345518965433348e-05,3.345518965433348e-05,3.345518965433348e-05,1.898926874401048e-05,3.200859756330118e-05,2.6465812641576556e-07,2.6465812641576556e-07,2.6465812641576556e-07,1.1110497075566036e-06,1.8728021305833575e-06,112810.5702916728,112810.5702916728,112810.5702916728,218331.03003643945,313299.4438067294,400.0000028168769,45124228.43444261,RESOLVED_PREFERRED,RESOLVED_PREFERRED,3.3333333333333337e-06,6.9375e-05,41710329.337301135,6535179858726407.0,0.0319518168327844,426250165900.6408,2.3460401426168614e-12,2.6465812641576556e-07,112810.5702916728,32034510.297324408,3689915022791609.0,0.0326884581738037,295848251111.5247,0.3201982361046237,0.3201982361046237,DEFINED_FROM_FROZEN_ELECTRON_DRIFT_CONVENTION,MECHANISM_DIAGNOSTIC_PROXY_NOT_CLOSURE_RELATION,-7.214906456040515e-16,-5.98354842751972e-13,0.0029067286671917714
1933,1.3917613904968796e-11,5.865100356542154e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.767914436886239e-05,234169.2267665399,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.75e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.5625e-05,6.9375e-05,3.749999999999996e-06,2633104.856478684,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,41710533.85723665,32034599.039051607,40742940.37541815,15.840817639528863,12.166093180919605,15.47334519366794,41710329.123141326,1.3917613904968796e-11,3.3333333333333337e-06,6.9375e-05,15.84073988565787,6538698923317651.0,6538698923317651.0,41710329.123141326,426250162898.3248,0.0319518168415243,426250162898.3248,0.0319518168415243,2.346040159141321e-12,2.346040159141321e-12,2.346040159141321e-12,4.195148017549371e-12,5.859345090116616e-12,3.347320461883144e-05,3.347320461883144e-05,3.347320461883144e-05,1.899246938042048e-05,3.2025131094990345e-05,2.6451568989659244e-07,2.6451568989659244e-07,2.6451568989659244e-07,1.1134978220955702e-06,1.8775817410746505e-06,112749.85590758528,112749.85590758528,112749.85590758528,218717.4887726369,314088.35835118324,400.00000281742155,45099942.68069798,RESOLVED_PREFERRED,RESOLVED_PREFERRED,3.3333333333333337e-06,6.9375e-05,41710329.123141326,6538698923317651.0,0.0319518168415243,426250162898.3248,2.346040159141321e-12,2.6451568989659244e-07,112749.85590758528,32034510.25297237,3690590235997132.0,0.0326884581692648,295848250398.5244,0.3203434409050682,0.3203434409050682,DEFINED_FROM_FROZEN_ELECTRON_DRIFT_CONVENTION,MECHANISM_DIAGNOSTIC_PROXY_NOT_CLOSURE_RELATION,-7.191003777174471e-16,-5.983375687988856e-13,0.0029836570311090327
1934,1.392347900536665e-11,5.865100397853304e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.768051660135082e-05,233965.7286915216,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.75e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.5625e-05,6.9375e-05,3.749999999999996e-06,2633104.856478684,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,41710533.85723665,32034599.039051607,40742940.37541815,15.840817639528863,12.166093180919605,15.47334519366794,41710328.908940256,1.392347900536665e-11,3.3333333333333337e-06,6.9375e-05,15.840739804308631,6542213990060800.0,6542213990060800.0,41710328.908940256,426250159895.4302,0.031951816850266,426250159895.4302,0.031951816850266,2.3460401756689666e-12,2.3460401756689666e-12,2.3460401756689666e-12,4.195147996982138e-12,5.859345036163993e-12,3.3491199117375395e-05,3.3491199117375395e-05,3.3491199117375395e-05,1.8995664662988575e-05,3.2041645671936714e-05,2.643735681654469e-07,2.643735681654469e-07,2.643735681654469e-07,1.1159569643183615e-06,1.882382020855985e-06,112689.27570264717,112689.27570264717,112689.27570264717,219105.81305801688,314880.6966778496,400.00000281796446,45075710.59861324,RESOLVED_PREFERRED,RESOLVED_PREFERRED,3.3333333333333337e-06,6.9375e-05,41710328.908940256,6542213990060800.0,0.031951816850266,426250159895.4302,2.3460401756689666e-12,2.643735681654469e-07,112689.27570264717,32034510.208680894,3691264361364515.0,0.0326884581647151,295848249686.25494,0.3204884740815451,0.3204884740815451,DEFINED_FROM_FROZEN_ELECTRON_DRIFT_CONVENTION,MECHANISM_DIAGNOSTIC_PROXY_NOT_CLOSURE_RELATION,-7.167092156759824e-16,-5.983198438560116e-13,0.003060516026984317
1935,1.3929344105805822e-11,5.865100439172416e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.768188764211681e-05,233762.5382897158,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.75e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.5625e-05,6.9375e-05,3.749999999999996e-06,2633104.856478684,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,41710533.85723665,32034599.039051607,40742940.37541815,15.840817639528863,12.166093180919605,15.47334519366794,41710328.694698125,1.3929344105805822e-11,3.3333333333333337e-06,6.9375e-05,15.840739722943804,6545725054571821.0,6545725054571821.0,41710328.694698125,426250156891.9601,0.0319518168590093,426250156891.9601,0.0319518168590093,2.346040192199779e-12,2.346040192199779e-12,2.346040192199779e-12,4.195147976379235e-12,5.859344982140745e-12,3.350917312752239e-05,3.350917312752239e-05,3.350917312752239e-05,1.899885459780545e-05,3.2058141274550696e-05,2.6423176063176896e-07,2.6423176063176896e-07,2.6423176063176896e-07,1.118427194125896e-06,1.8872030842706104e-06,112628.82942513036,112628.82942513036,112628.82942513036,219496.01272602245,315676.4776968253,400.0000028185046,45051532.08749702,RESOLVED_PREFERRED,RESOLVED_PREFERRED,3.3333333333333337e-06,6.9375e-05,41710328.694698125,6545725054571821.0,0.0319518168590093,426250156891.9601,2.346040192199779e-12,2.6423176063176896e-07,112628.82942513036,32034510.164450053,3691937399934457.5,0.0326884581601548,295848248974.71747,0.3206333354922032,0.3206333354922032,DEFINED_FROM_FROZEN_ELECTRON_DRIFT_CONVENTION,MECHANISM_DIAGNOSTIC_PROXY_NOT_CLOSURE_RELATION,-7.143171649853616e-16,-5.98301668331221e-13,0.003137305304655058
