step,time_s,dt_s,topology,topology_status,head_position_m,E_peak_V_m,eta_peak,ne_peak_m3,sigma_e_peak_S_m,tau_i_at_E_peak_s,tau_M_at_E_peak_s,Pi_RF_at_E_peak,K_ion_z_A_m_s,current_moment_z_A_m
1,1e-14,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
2,2e-14,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
3,3e-14,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
4,4e-14,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
5,5e-14,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
6,6e-14,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
7,6.999999999999999e-14,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
8,7.999999999999999e-14,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
9,8.999999999999998e-14,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
10,9.999999999999997e-14,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
11,1.0999999999999997e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
12,1.1999999999999997e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
13,1.3e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
14,1.3999999999999998e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
15,1.5000000000000002e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
16,1.6e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
17,1.7e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
18,1.8000000000000004e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
19,1.9000000000000002e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
20,2.0000000000000006e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
21,2.1000000000000006e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
22,2.2000000000000005e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
23,2.300000000000001e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
24,2.4000000000000004e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
25,2.5000000000000005e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
26,2.6000000000000005e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
27,2.700000000000001e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
28,2.800000000000001e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
29,2.9000000000000013e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
30,3.000000000000001e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
31,3.100000000000001e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
32,3.200000000000001e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
33,3.300000000000001e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
34,3.400000000000001e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
35,3.500000000000001e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
36,3.6000000000000013e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
37,3.700000000000002e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
38,3.800000000000002e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
39,3.900000000000002e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
40,4.000000000000002e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
41,4.1000000000000017e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
42,4.200000000000002e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
43,4.300000000000002e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
44,4.400000000000002e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
45,4.500000000000002e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
46,4.600000000000002e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
47,4.700000000000001e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
48,4.800000000000001e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
49,4.9e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
50,5.000000000000001e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
51,5.1e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
52,5.199999999999999e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
53,5.3e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
54,5.399999999999999e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
55,5.499999999999998e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
56,5.599999999999997e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
57,5.699999999999997e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
58,5.799999999999998e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
59,5.899999999999996e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
60,5.999999999999997e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
61,6.099999999999996e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
62,6.199999999999995e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
63,6.299999999999994e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
64,6.399999999999994e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
65,6.499999999999995e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
66,6.599999999999993e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
67,6.699999999999994e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
68,6.799999999999992e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
69,6.899999999999993e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
70,6.999999999999992e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
71,7.099999999999991e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
72,7.199999999999992e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
73,7.299999999999991e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
74,7.39999999999999e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
75,7.499999999999989e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
76,7.599999999999988e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
77,7.699999999999987e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
78,7.799999999999988e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
79,7.899999999999988e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
80,7.999999999999988e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
81,8.099999999999987e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
82,8.199999999999986e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
83,8.299999999999988e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
84,8.399999999999986e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
85,8.499999999999985e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
86,8.599999999999985e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
87,8.699999999999985e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
88,8.799999999999983e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
89,8.899999999999983e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
90,8.999999999999985e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
91,9.099999999999985e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
92,9.199999999999985e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
93,9.299999999999983e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
94,9.399999999999984e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
95,9.499999999999982e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
96,9.599999999999981e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
97,9.699999999999983e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
98,9.799999999999982e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
99,9.89999999999998e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
100,9.999999999999982e-13,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
101,1.0099999999999981e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
102,1.019999999999998e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
103,1.0299999999999978e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
104,1.0399999999999978e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
105,1.0499999999999975e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
106,1.0599999999999977e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
107,1.0699999999999977e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
108,1.0799999999999976e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
109,1.0899999999999976e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
110,1.0999999999999977e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
111,1.1099999999999977e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
112,1.1199999999999974e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
113,1.1299999999999974e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
114,1.1399999999999974e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
115,1.1499999999999973e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
116,1.1599999999999973e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
117,1.1699999999999972e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
118,1.1799999999999972e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
119,1.1899999999999972e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
120,1.1999999999999973e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
121,1.2099999999999973e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
122,1.219999999999997e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
123,1.229999999999997e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
124,1.239999999999997e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
125,1.2499999999999969e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
126,1.2599999999999969e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
127,1.2699999999999968e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
128,1.2799999999999968e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
129,1.289999999999997e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
130,1.2999999999999969e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
131,1.3099999999999966e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
132,1.3199999999999966e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
133,1.3299999999999968e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
134,1.3399999999999965e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
135,1.3499999999999965e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
