step,time_s,dt_s,topology,topology_status,head_position_m,E_peak_V_m,eta_peak,ne_peak_m3,sigma_e_peak_S_m,tau_i_at_E_peak_s,tau_M_at_E_peak_s,Pi_RF_at_E_peak,K_ion_z_A_m_s,current_moment_z_A_m
1,5e-15,5e-15,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
2,1e-14,5e-15,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
3,1.4999999999999999e-14,5e-15,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
4,2e-14,5e-15,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
5,2.5000000000000001e-14,5e-15,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
6,2.9999999999999998e-14,5e-15,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
7,3.4999999999999996e-14,5e-15,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
8,3.9999999999999994e-14,5e-15,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
9,4.4999999999999991e-14,5e-15,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
10,4.9999999999999989e-14,5e-15,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
11,5.4999999999999987e-14,5e-15,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
12,5.9999999999999984e-14,5e-15,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
13,6.4999999999999988e-14,5e-15,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
14,6.9999999999999992e-14,5e-15,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
15,7.4999999999999996e-14,5e-15,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
16,8e-14,5e-15,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
17,8.5000000000000004e-14,5e-15,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
18,9.0000000000000008e-14,5e-15,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
19,9.5000000000000012e-14,5e-15,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
20,1.0000000000000002e-13,5e-15,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
21,1.0500000000000002e-13,5e-15,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
22,1.1000000000000002e-13,5e-15,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
23,1.1500000000000001e-13,5e-15,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
24,1.2000000000000002e-13,5e-15,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
25,1.2500000000000002e-13,5e-15,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
26,1.3000000000000003e-13,5e-15,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
27,1.3500000000000003e-13,5e-15,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
28,1.4000000000000003e-13,5e-15,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
29,1.4500000000000004e-13,5e-15,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
30,1.5000000000000004e-13,5e-15,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
31,1.5500000000000005e-13,5e-15,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
32,1.6000000000000005e-13,5e-15,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
