step,time_s,dt_s,topology,topology_status,head_position_m,E_peak_V_m,eta_peak,ne_peak_m3,sigma_e_peak_S_m,tau_i_at_E_peak_s,tau_M_at_E_peak_s,Pi_RF_at_E_peak,K_ion_z_A_m_s,current_moment_z_A_m
1,1e-14,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
2,2e-14,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
3,2.9999999999999998e-14,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
4,4e-14,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
5,5.0000000000000002e-14,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
6,5.9999999999999997e-14,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
7,6.9999999999999992e-14,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
8,7.9999999999999987e-14,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
9,8.9999999999999983e-14,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
10,9.9999999999999978e-14,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
11,1.0999999999999997e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
12,1.1999999999999997e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
13,1.2999999999999998e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
14,1.3999999999999998e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
15,1.4999999999999999e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
16,1.6e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
17,1.7000000000000001e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
18,1.8000000000000002e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
19,1.9000000000000002e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
20,2.0000000000000003e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
21,2.1000000000000004e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
22,2.2000000000000005e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
23,2.3000000000000003e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
