case_id,design_level,scan_family,voltage_V,gas_gap_m,rise_time_s,geometry_id,gas,pressure_Pa,temperature_K,dt_variant,result_directory,runtime_s,trace_size_bytes,peak_RSS_kB,gas_gap_cells,event_complete,case_status,event_start_s,reported_to_central_peak_index_offset,peak_alignment_interpolation_used,event_peak_s,event_end_s,event_time_after_ramp_end_s,topology,E0_max_V_m,E0_p95_V_m,eta_0_max,eta_0_p95,eta_peak,field_amplification_dynamic,eta_0_representative_statistic,nu_i_characteristic_s_1,tau_i_characteristic_s,ne_peak_m_3,sigma_peak_S_m,tau_M_characteristic_s,Pi_RF,Pi_RF_role,delta_M_A_m,abs_dMdt_peak_A_m_s,PW_FWHM_s,PW_FW1E_s,N_PW,pulse_trust,f_time_proxy_Hz,frequency_proxy_role,physical_record_duration_s,physical_frequency_resolution_Hz,f3dB_numeric_Hz,f3dB_status,f10dB_numeric_Hz,f10dB_status,spectrum_status
l0_baseline_repeat_1,LEVEL_0,BASELINE_REPEATABILITY,500.0,7e-05,5e-12,canonical-2d-needle-plane-gap-70um,air,101325.0,300.0,reference,rf/f_r6a/development/l0_baseline_repeat_1/reference,4.613648483,4684132,168056,18.666666666666664,True,PASS,1.3876558203340086e-11,0,False,1.6603834282977127e-11,1.858624711068677e-11,9.603834282977127e-12,ELECTRODE_ATTACHMENT,41710533.85723665,40742940.37541815,15.840817639528863,15.47334519366794,15.840740454660407,1.0237437513604242,EVENT_ROI_E0_P95,426248761145.9027,2.3460478742780564e-12,7996635187204358.0,4.093674721635847e-05,2.2496307224630085e-07,95890.23084856194,DIAGNOSTIC_CANDIDATE,7.905758970111296e-14,0.024461673123177263,3.4161295798317902e-12,3.868076560977819e-12,582.4486683477128,RESOLVED_AT_10_SAMPLE_TARGET,292728942691.11414,DIAGNOSTIC_PROXY,4.639307538144363e-12,215549409427.59344,139414828699.3202,NOT_RESOLVED_REFERENCE_FREQUENCY,237858034715.90045,NOT_RESOLVED_REFERENCE_FREQUENCY,NUMERIC_DIAGNOSTIC_ONLY
l0_baseline_repeat_2,LEVEL_0,BASELINE_REPEATABILITY,500.0,7e-05,5e-12,canonical-2d-needle-plane-gap-70um,air,101325.0,300.0,reference,rf/f_r6a/development/l0_baseline_repeat_2/reference,4.602441986,4684132,168056,18.666666666666664,True,PASS,1.3876558203340086e-11,0,False,1.6603834282977127e-11,1.858624711068677e-11,9.603834282977127e-12,ELECTRODE_ATTACHMENT,41710533.85723665,40742940.37541815,15.840817639528863,15.47334519366794,15.840740454660407,1.0237437513604242,EVENT_ROI_E0_P95,426248761145.9027,2.3460478742780564e-12,7996635187204358.0,4.093674721635847e-05,2.2496307224630085e-07,95890.23084856194,DIAGNOSTIC_CANDIDATE,7.905758970111296e-14,0.024461673123177263,3.4161295798317902e-12,3.868076560977819e-12,582.4486683477128,RESOLVED_AT_10_SAMPLE_TARGET,292728942691.11414,DIAGNOSTIC_PROXY,4.639307538144363e-12,215549409427.59344,139414828699.3202,NOT_RESOLVED_REFERENCE_FREQUENCY,237858034715.90045,NOT_RESOLVED_REFERENCE_FREQUENCY,NUMERIC_DIAGNOSTIC_ONLY
l0_baseline_repeat_3,LEVEL_0,BASELINE_REPEATABILITY,500.0,7e-05,5e-12,canonical-2d-needle-plane-gap-70um,air,101325.0,300.0,reference,rf/f_r6a/development/l0_baseline_repeat_3/reference,4.565013049,4684132,168056,18.666666666666664,True,PASS,1.3876558203340086e-11,0,False,1.6603834282977127e-11,1.858624711068677e-11,9.603834282977127e-12,ELECTRODE_ATTACHMENT,41710533.85723665,40742940.37541815,15.840817639528863,15.47334519366794,15.840740454660407,1.0237437513604242,EVENT_ROI_E0_P95,426248761145.9027,2.3460478742780564e-12,7996635187204358.0,4.093674721635847e-05,2.2496307224630085e-07,95890.23084856194,DIAGNOSTIC_CANDIDATE,7.905758970111296e-14,0.024461673123177263,3.4161295798317902e-12,3.868076560977819e-12,582.4486683477128,RESOLVED_AT_10_SAMPLE_TARGET,292728942691.11414,DIAGNOSTIC_PROXY,4.639307538144363e-12,215549409427.59344,139414828699.3202,NOT_RESOLVED_REFERENCE_FREQUENCY,237858034715.90045,NOT_RESOLVED_REFERENCE_FREQUENCY,NUMERIC_DIAGNOSTIC_ONLY
l1_voltage_400V,LEVEL_1,VOLTAGE,400.0,7e-05,5e-12,canonical-2d-needle-plane-gap-70um,air,101325.0,300.0,reference,rf/f_r6a/development/l1_voltage_400V/reference,23.454003412,13422287,60696,18.666666666666664,True,PASS,1.4418274773937724e-11,-1,False,1.9559835860141278e-11,6.08176466259647e-11,1.2559835860141278e-11,UNRESOLVED,33368427.08578928,32594352.30033448,12.672654111623077,12.378676154934334,12.67260258809368,1.0237445773264036,EVENT_ROI_E0_P95,310702553009.5484,3.218512337004416e-12,4996461470424062.0,2.5918781427879972e-05,3.4206213225407763e-07,106279.5777792317,DIAGNOSTIC_CANDIDATE,2.8491432275921903e-13,0.020383555894447625,7.03870940785125e-12,7.850699674433544e-12,1749.5297928032992,RESOLVED_AT_10_SAMPLE_TARGET,142071499483.2094,DIAGNOSTIC_PROXY,4.635129474296356e-11,21574370371.861225,12412975417.228994,NOT_RESOLVED_REFERENCE_FREQUENCY,21894488982.6652,NOT_RESOLVED_REFERENCE_FREQUENCY,NUMERIC_DIAGNOSTIC_ONLY
l1_voltage_450V,LEVEL_1,VOLTAGE,450.0,7e-05,5e-12,canonical-2d-needle-plane-gap-70um,air,101325.0,300.0,reference,rf/f_r6a/development/l1_voltage_450V/reference,15.706229931,10122044,168056,18.666666666666664,True,PASS,1.4165951940464343e-11,0,False,1.7969346540363184e-11,3.951652025659752e-11,1.0969346540363184e-11,UNRESOLVED,37539480.471513,36668646.337876335,14.256735875575982,13.926010674301148,14.256672020157014,1.0237441542728432,EVENT_ROI_E0_P95,368091474007.93005,2.716716008419299e-12,6350568823343557.0,3.27025666471117e-05,2.72411186900243e-07,100272.23532236018,DIAGNOSTIC_CANDIDATE,1.6267875270701828e-13,0.02352552801419705,4.8819438499096656e-12,5.575658507055815e-12,1437.582834754266,RESOLVED_AT_10_SAMPLE_TARGET,204836440308.1989,DIAGNOSTIC_PROXY,2.530993458864828e-11,39510177179.537575,23012311910.920544,NOT_RESOLVED_REFERENCE_FREQUENCY,128926700043.21516,NOT_RESOLVED_REFERENCE_FREQUENCY,NUMERIC_DIAGNOSTIC_ONLY
l1_voltage_550V,LEVEL_1,VOLTAGE,550.0,7e-05,5e-12,canonical-2d-needle-plane-gap-70um,air,101325.0,300.0,reference,rf/f_r6a/development/l1_voltage_550V/reference,4.455623377,4602880,168056,18.666666666666664,True,PASS,1.357762630570632e-11,0,False,1.5453959761612002e-11,1.6783891366101544e-11,8.453959761612002e-12,ELECTRODE_ATTACHMENT,45881587.24296031,44817234.41295996,17.42489940348175,17.02067971303473,17.42480792093358,1.0237433648192886,EVENT_ROI_E0_P95,484987792474.0224,2.0619075686396038e-12,9606153015727646.0,4.8938096465912154e-05,1.9165666918101867e-07,92951.14489902623,DIAGNOSTIC_CANDIDATE,4.9438893190196844e-14,0.022285727195892946,2.3529445326105363e-12,2.6566927027255593e-12,456.4599242348593,RESOLVED_AT_10_SAMPLE_TARGET,424999393798.08655,DIAGNOSTIC_PROXY,3.1495626080096654e-12,317504404407.4234,204446169115.2533,NOT_RESOLVED_REFERENCE_FREQUENCY,348738182186.30475,NOT_RESOLVED_REFERENCE_FREQUENCY,NUMERIC_DIAGNOSTIC_ONLY
l1_voltage_600V,LEVEL_1,VOLTAGE,600.0,7e-05,5e-12,canonical-2d-needle-plane-gap-70um,air,101325.0,300.0,reference,rf/f_r6a/development/l1_voltage_600V/reference,4.392261332,4532607,168056,18.666666666666664,True,PASS,1.3313123045813823e-11,0,False,1.4489208511859064e-11,1.5357491724117374e-11,7.489208511859064e-12,ELECTRODE_ATTACHMENT,50052640.628683954,48891528.450501755,19.008981167434627,18.56801423240152,19.008873807212865,1.0237429576094377,EVENT_ROI_E0_P95,544177648249.9761,1.837635197285125e-12,1.105729451119411e+16,5.610241202453272e-05,1.6742024425638945e-07,91106.35478887857,DIAGNOSTIC_CANDIDATE,2.3109639018362294e-14,0.016278841723760706,1.5086790248799609e-12,1.7003847518111382e-12,328.3958404511425,RESOLVED_AT_10_SAMPLE_TARGET,662831512540.9567,DIAGNOSTIC_PROXY,1.9938337096426067e-12,501546340180.62085,322029225900.3441,NOT_RESOLVED_REFERENCE_FREQUENCY,548920504945.6563,NOT_RESOLVED_REFERENCE_FREQUENCY,NUMERIC_DIAGNOSTIC_ONLY
l1_gap_60um,LEVEL_1,GAP,500.0,5.9999999999999995e-05,5e-12,canonical-2d-needle-plane-gap-60um,air,101325.0,300.0,reference,rf/f_r6a/development/l1_gap_60um/reference,2.468322287,1850296,168056,15.999999999999998,True,NOT_RESOLVED_PULSE,1.9899999999999974e-12,0,False,1.0786063578082371e-11,1.1752302345747656e-11,3.786063578082371e-12,ELECTRODE_ATTACHMENT,,,,,15.367368676650388,,,,,4801375789122141.0,2.4619760273652735e-05,,,,-4.493481878614213e-13,0.3709422600371478,,,,NOT_RESOLVED_PULSE_WIDTH,,DIAGNOSTIC_PROXY,9.692962925453417e-12,103167628690.09137,72579539630.89156,NOT_RESOLVED_REFERENCE_FREQUENCY,129366364405.37006,NOT_RESOLVED_REFERENCE_FREQUENCY,NUMERIC_DIAGNOSTIC_ONLY
l1_gap_80um,LEVEL_1,GAP,500.0,7.999999999999999e-05,5e-12,canonical-2d-needle-plane-gap-80um,air,101325.0,300.0,reference,rf/f_r6a/development/l1_gap_80um/reference,5.051958789,4541672,168056,21.333333333333332,True,PASS,1.5200883008467172e-11,-1,False,1.7023274810051786e-11,1.844126297942257e-11,1.0023274810051786e-11,ELECTRODE_ATTACHMENT,46120640.244974874,44962190.96417999,17.51568690152854,17.075731281096434,17.515585170429905,1.0257590074528995,EVENT_ROI_E0_P95,488368505217.8596,2.047634090478261e-12,9945567911593312.0,5.065445121732269e-05,1.8632536194692953e-07,90995.43849819865,DIAGNOSTIC_CANDIDATE,3.877381937632994e-14,0.01729429298322316,2.3784680229712775e-12,2.685832860669327e-12,464.6276960926046,RESOLVED_AT_10_SAMPLE_TARGET,420438698499.1961,DIAGNOSTIC_PROXY,3.184070004284194e-12,314063446675.00757,202554668363.6096,NOT_RESOLVED_REFERENCE_FREQUENCY,345257535752.9881,NOT_RESOLVED_REFERENCE_FREQUENCY,NUMERIC_DIAGNOSTIC_ONLY
l1_rise_2p5ps,LEVEL_1,RISE_TIME,500.0,7e-05,2.5e-12,canonical-2d-needle-plane-gap-70um,air,101325.0,300.0,reference,rf/f_r6a/development/l1_rise_2p5ps/reference,4.523710526,4562458,168056,18.666666666666664,True,PASS,1.2590071739080212e-11,0,False,1.5317349448645338e-11,1.7293898773668377e-11,1.0817349448645338e-11,ELECTRODE_ATTACHMENT,41710533.85723665,40742940.37541815,15.840817639528863,15.47334519366794,15.840735082496977,1.0237434041721878,EVENT_ROI_E0_P95,426248449583.7487,2.3460495890989077e-12,8624953550159826.0,4.415326540168119e-05,2.085231850568975e-07,88882.68433276768,DIAGNOSTIC_CANDIDATE,8.553936812924467e-14,0.026525451609458628,3.4077793155710743e-12,3.857799077082484e-12,581.0245505021512,RESOLVED_AT_10_SAMPLE_TARGET,293446232105.0917,DIAGNOSTIC_PROXY,4.633445621143647e-12,215822107728.36816,139632121189.18137,NOT_RESOLVED_REFERENCE_FREQUENCY,238240470532.88052,NOT_RESOLVED_REFERENCE_FREQUENCY,NUMERIC_DIAGNOSTIC_ONLY
