,voltage_V,gas_gap_m,rise_time_s,eta_0_p95,eta_peak,nu_i_characteristic_s_1,tau_i_characteristic_s,ne_peak_m_3,sigma_peak_S_m,tau_M_characteristic_s,Pi_RF,delta_M_A_m,abs_dMdt_peak_A_m_s,PW_FWHM_s,PW_FW1E_s
voltage_V,1.0,0.0,0.0,0.9179059477871194,0.8931488647614542,0.8931488647614542,-0.8931488647614542,0.8931488647614542,0.872270060130667,-0.8096336462383052,-0.4616535690585179,-0.8931488647614542,-0.24590592120704974,-0.9557852786538159,-0.9557852786538159
gas_gap_m,0.0,1.0,0.0,0.3906214533256392,0.38008589924746516,0.38008589924746516,-0.38008589924746516,0.3109793721115624,0.3109793721115624,-0.3109793721115624,-0.3109793721115624,-0.38008589924746516,-0.38008589924746516,-0.17276631783975688,-0.17276631783975688
rise_time_s,0.0,0.0,1.0,0.0,0.2174908991308147,0.2174908991308147,-0.2174908991308147,-0.29904998630487023,-0.35342271108757395,0.4349817982616294,0.8155908717405552,-0.2174908991308147,-0.6252863350010923,0.2174908991308147,0.2174908991308147
eta_0_p95,0.9179059477871194,0.3906214533256392,0.0,1.0,0.9730287366746567,0.9730287366746567,-0.9730287366746567,0.9456836667915282,0.9274536202027759,-0.8727634804365187,-0.5491801534861646,-0.9730287366746567,-0.3987822691289577,-0.9456836667915282,-0.9456836667915282
eta_peak,0.8931488647614542,0.38008589924746516,0.2174908991308147,0.9730287366746567,1.0,1.0,-1.0,0.8492239467849224,0.8181818181818182,-0.7516629711751663,-0.352549889135255,-1.0,-0.5254988913525499,-0.8669623059866962,-0.8669623059866962
nu_i_characteristic_s_1,0.8931488647614542,0.38008589924746516,0.2174908991308147,0.9730287366746567,1.0,1.0,-1.0,0.8492239467849224,0.8181818181818182,-0.7516629711751663,-0.352549889135255,-1.0,-0.5254988913525499,-0.8669623059866962,-0.8669623059866962
tau_i_characteristic_s,-0.8931488647614542,-0.38008589924746516,-0.2174908991308147,-0.9730287366746567,-1.0,-1.0,1.0,-0.8492239467849224,-0.8181818181818182,0.7516629711751663,0.352549889135255,1.0,0.5254988913525499,0.8669623059866962,0.8669623059866962
ne_peak_m_3,0.8931488647614542,0.3109793721115624,-0.29904998630487023,0.9456836667915282,0.8492239467849224,0.8492239467849224,-0.8492239467849224,1.0,0.9955654101995566,-0.9689578713968958,-0.7694013303769401,-0.8492239467849224,-0.17073170731707318,-0.9778270509977827,-0.9778270509977827
sigma_peak_S_m,0.872270060130667,0.3109793721115624,-0.35342271108757395,0.9274536202027759,0.8181818181818182,0.8181818181818182,-0.8181818181818182,0.9955654101995566,1.0,-0.9733924611973392,-0.8004434589800443,-0.8181818181818182,-0.13968957871396895,-0.9733924611973392,-0.9733924611973392
tau_M_characteristic_s,-0.8096336462383052,-0.3109793721115624,0.4349817982616294,-0.8727634804365187,-0.7516629711751663,-0.7516629711751663,0.7516629711751663,-0.9689578713968958,-0.9733924611973392,1.0,0.8536585365853658,0.7516629711751663,0.03325942350332594,0.9201773835920177,0.9201773835920177
Pi_RF,-0.4616535690585179,-0.3109793721115624,0.8155908717405552,-0.5491801534861646,-0.352549889135255,-0.352549889135255,0.352549889135255,-0.7694013303769401,-0.8004434589800443,0.8536585365853658,1.0,0.352549889135255,-0.25942350332594233,0.6762749445676275,0.6762749445676275
delta_M_A_m,-0.8931488647614542,-0.38008589924746516,-0.2174908991308147,-0.9730287366746567,-1.0,-1.0,1.0,-0.8492239467849224,-0.8181818181818182,0.7516629711751663,0.352549889135255,1.0,0.5254988913525499,0.8669623059866962,0.8669623059866962
abs_dMdt_peak_A_m_s,-0.24590592120704974,-0.38008589924746516,-0.6252863350010923,-0.3987822691289577,-0.5254988913525499,-0.5254988913525499,0.5254988913525499,-0.17073170731707318,-0.13968957871396895,0.03325942350332594,-0.25942350332594233,0.5254988913525499,1.0,0.19290465631929046,0.19290465631929046
PW_FWHM_s,-0.9557852786538159,-0.17276631783975688,0.2174908991308147,-0.9456836667915282,-0.8669623059866962,-0.8669623059866962,0.8669623059866962,-0.9778270509977827,-0.9733924611973392,0.9201773835920177,0.6762749445676275,0.8669623059866962,0.19290465631929046,1.0,1.0
PW_FW1E_s,-0.9557852786538159,-0.17276631783975688,0.2174908991308147,-0.9456836667915282,-0.8669623059866962,-0.8669623059866962,0.8669623059866962,-0.9778270509977827,-0.9733924611973392,0.9201773835920177,0.6762749445676275,0.8669623059866962,0.19290465631929046,1.0,1.0
