case_id,topology,eta_0_p95,eta_peak,tau_i_characteristic_s,ne_peak_m_3,sigma_peak_S_m,tau_M_characteristic_s,Pi_RF,PW_FWHM_s,PW_FW1E_s,N_PW
l0_baseline_repeat_1,ELECTRODE_ATTACHMENT,15.47334519366794,15.840740454660407,2.3460478742780564e-12,7996635187204358.0,4.093674721635847e-05,2.2496307224630085e-07,95890.23084856194,3.4161295798317902e-12,3.868076560977819e-12,582.4486683477128
l0_baseline_repeat_2,ELECTRODE_ATTACHMENT,15.47334519366794,15.840740454660407,2.3460478742780564e-12,7996635187204358.0,4.093674721635847e-05,2.2496307224630085e-07,95890.23084856194,3.4161295798317902e-12,3.868076560977819e-12,582.4486683477128
l0_baseline_repeat_3,ELECTRODE_ATTACHMENT,15.47334519366794,15.840740454660407,2.3460478742780564e-12,7996635187204358.0,4.093674721635847e-05,2.2496307224630085e-07,95890.23084856194,3.4161295798317902e-12,3.868076560977819e-12,582.4486683477128
l1_voltage_400V,UNRESOLVED,12.378676154934334,12.67260258809368,3.218512337004416e-12,4996461470424062.0,2.5918781427879972e-05,3.4206213225407763e-07,106279.5777792317,7.03870940785125e-12,7.850699674433544e-12,1749.5297928032992
l1_voltage_450V,UNRESOLVED,13.926010674301148,14.256672020157014,2.716716008419299e-12,6350568823343557.0,3.27025666471117e-05,2.72411186900243e-07,100272.23532236018,4.8819438499096656e-12,5.575658507055815e-12,1437.582834754266
l1_voltage_550V,ELECTRODE_ATTACHMENT,17.02067971303473,17.42480792093358,2.0619075686396038e-12,9606153015727646.0,4.8938096465912154e-05,1.9165666918101867e-07,92951.14489902623,2.3529445326105363e-12,2.6566927027255593e-12,456.4599242348593
l1_voltage_600V,ELECTRODE_ATTACHMENT,18.56801423240152,19.008873807212865,1.837635197285125e-12,1.105729451119411e+16,5.610241202453272e-05,1.6742024425638945e-07,91106.35478887857,1.5086790248799609e-12,1.7003847518111382e-12,328.3958404511425
l1_gap_80um,ELECTRODE_ATTACHMENT,17.075731281096434,17.515585170429905,2.047634090478261e-12,9945567911593312.0,5.065445121732269e-05,1.8632536194692953e-07,90995.43849819865,2.3784680229712775e-12,2.685832860669327e-12,464.6276960926046
l1_rise_2p5ps,ELECTRODE_ATTACHMENT,15.47334519366794,15.840735082496977,2.3460495890989077e-12,8624953550159826.0,4.415326540168119e-05,2.085231850568975e-07,88882.68433276768,3.4077793155710743e-12,3.857799077082484e-12,581.0245505021512
l1_rise_10p0ps,ELECTRODE_ATTACHMENT,15.47334519366794,15.840749586039712,2.346044875081213e-12,6829007210930506.0,3.4959369538271675e-05,2.6366704497097536e-07,112387.89495100685,3.4322846570804466e-12,3.887003816324598e-12,585.2038036053862
l2_voltage_450V_rise_2p5ps,UNRESOLVED,13.926010674301148,14.256667989816195,2.716717852902761e-12,6800246405115542.0,3.501820457155327e-05,2.5437558513058284e-07,93633.4205109991,4.863287135770444e-12,5.552444163749416e-12,1432.0863387845634
l2_voltage_450V_rise_10p0ps,UNRESOLVED,13.926010674301148,14.256678637131976,2.7167127348878804e-12,5502635563202413.0,2.8336091044792708e-05,3.144791936297711e-07,115757.24941074778,4.916673222690142e-12,5.618890939152725e-12,1447.8145820378516
l2_voltage_550V_rise_2p5ps,ELECTRODE_ATTACHMENT,17.02067971303473,17.424800748056157,2.0619091658140066e-12,1.0433725543124706e+16,5.3154127724585255e-05,1.7639849183360279e-07,85551.04888142037,2.350444362049254e-12,2.653808901964404e-12,455.97456685588554
l2_voltage_550V_rise_10p0ps,ELECTRODE_ATTACHMENT,17.02067971303473,17.42481979322823,2.0619048303591597e-12,8086116201681992.0,4.1194337722759046e-05,2.2784857548338893e-07,110503.9243948521,2.3549090203131296e-12,2.6592895373135623e-12,456.84160019935854
