case_id,topology,voltage_V,gas_gap_m,rise_time_s
l0_baseline_repeat_1,ELECTRODE_ATTACHMENT,500.0,7e-05,5e-12
l0_baseline_repeat_2,ELECTRODE_ATTACHMENT,500.0,7e-05,5e-12
l0_baseline_repeat_3,ELECTRODE_ATTACHMENT,500.0,7e-05,5e-12
l1_voltage_400V,UNRESOLVED,400.0,7e-05,5e-12
l1_voltage_450V,UNRESOLVED,450.0,7e-05,5e-12
l1_voltage_550V,ELECTRODE_ATTACHMENT,550.0,7e-05,5e-12
l1_voltage_600V,ELECTRODE_ATTACHMENT,600.0,7e-05,5e-12
l1_gap_80um,ELECTRODE_ATTACHMENT,500.0,7.999999999999999e-05,5e-12
l1_rise_2p5ps,ELECTRODE_ATTACHMENT,500.0,7e-05,2.5e-12
l1_rise_10p0ps,ELECTRODE_ATTACHMENT,500.0,7e-05,1e-11
l2_voltage_450V_rise_2p5ps,UNRESOLVED,450.0,7e-05,2.5e-12
l2_voltage_450V_rise_10p0ps,UNRESOLVED,450.0,7e-05,1e-11
l2_voltage_550V_rise_2p5ps,ELECTRODE_ATTACHMENT,550.0,7e-05,2.5e-12
l2_voltage_550V_rise_10p0ps,ELECTRODE_ATTACHMENT,550.0,7e-05,1e-11
