time_s,observer_id,retarded_time_valid,retarded_time_valid_fraction,source_manifest_id,Ex_total,Ey_total,Ez_total,Ex_rho,Ey_rho,Ez_rho,Ex_drho,Ey_drho,Ez_drho,Ex_dJ,Ey_dJ,Ez_dJ,Bx_total,By_total,Bz_total,Bx_J,By_J,Bz_J,Bx_dJ,By_dJ,Bz_dJ
7.486683071261188e-10,F4_far_field_reference,False,0.99996,F4-C-stage5-highfield-collision,0.00021401909747961983,1.3670859849225602e-18,-0.046864176601209916,1.085417110987952e-05,-1.3867233257788616e-19,-0.004153858763431574,0.00019083880121160068,-7.306253165405189e-18,-0.03404118607082413,1.2326125158139625e-05,8.812011482905636e-18,-0.00866913176695421,1.125744317791451e-28,1.3734966560595444e-10,-4.0068513546861294e-26,1.363858244539068e-28,1.0843348131005906e-10,9.152266963917908e-27,-2.3811392674761692e-29,2.8916184295895378e-11,-4.92207805107792e-26
7.804259442685413e-10,F4_far_field_reference,True,1.0,F4-C-stage5-highfield-collision,0.0003704539565165015,2.1178479375702973e-17,-0.0782342392504185,2.1000059079261478e-05,-3.870494342508238e-20,-0.0057626369881456745,0.0003366477340905555,-5.8376137357380376e-18,-0.03575880700656788,1.2806163346684519e-05,2.7054798054866092e-17,-0.03671279525570495,2.559515134479571e-28,2.369983459202983e-10,-1.5240090725158114e-26,9.576503162167002e-30,1.1454131125406271e-10,4.142406161189578e-27,2.4637501028579012e-28,1.2245703466623558e-10,-1.938249688634769e-26
8.121835814109639e-10,F4_far_field_reference,True,1.0,F4-C-stage5-highfield-collision,0.0005266176786812893,-1.3305815551093801e-17,-0.10960429358987107,3.112665806258527e-05,3.365049186531634e-20,-0.007371414697432337,0.0004822048187855175,1.0618533146330923e-17,-0.03747642090250837,1.3286201833186494e-05,-2.395799918929004e-17,-0.06475645798993036,-1.444666751167252e-28,3.3664702349268497e-10,4.103217312375994e-27,-1.574146423294414e-28,1.2064914097213206e-10,-9.914630727256636e-27,1.2947967212716187e-29,2.1599788252055294e-10,1.401784803963263e-26
8.439412185533864e-10,F4_far_field_reference,True,1.0,F4-C-stage5-highfield-collision,0.0009414830263564242,1.8745315103142234e-17,-0.1482459895548877,6.623829870091512e-05,4.13834127494495e-19,-0.00924806233206921,0.0008664865306498395,-2.8512156813107697e-18,-0.041636868288168434,8.758197005669646e-06,2.1182696656958508e-17,-0.09736105893465008,1.0346171373664295e-27,4.590260068393062e-10,6.435472194503726e-26,3.191867229798306e-29,1.3427395077841393e-10,-2.08122657432179e-26,1.0026984650684463e-27,3.2475205606089227e-10,8.516698768825516e-26
8.75698855695809e-10,F4_far_field_reference,True,1.0,F4-C-stage5-highfield-collision,0.0014169181571005848,7.383103414572779e-20,-0.19062278211591127,0.00010223227387270256,-3.357944220752057e-19,-0.011262734225790357,0.0013056787672839373,-6.495186080819799e-19,-0.04705613457912891,9.007115943944833e-06,1.0591440643029133e-18,-0.132303913310992,2.973731150266023e-28,5.930563552313808e-10,3.2204753605522273e-26,5.51147014606822e-29,1.5175100374733598e-10,2.2723107105903936e-26,2.422584135659201e-28,4.4130535148404486e-10,9.481646499618338e-27
9.074564928382315e-10,F4_far_field_reference,True,1.0,F4-C-stage5-highfield-collision,0.002195596483135561,-2.4350500921547944e-17,-0.238298730782649,0.00017049142741124246,-2.56987158575097e-18,-0.01348015685806588,0.0020144909564957974,-4.851059459674921e-18,-0.05364096057178234,1.0614099228521325e-05,-1.6929569876122052e-17,-0.17117761335280077,-1.3065042292832167e-27,7.439429498431195e-10,-3.646378415384393e-26,-2.2146514998082547e-28,1.7297249235508148e-10,6.932858405484076e-27,-1.0850390793023914e-27,5.70970457488038e-10,-4.339664255932801e-26
9.39214129980654e-10,F4_far_field_reference,True,1.0,F4-C-stage5-highfield-collision,0.003593563017294854,-9.734085086393033e-18,-0.3026714741460353,0.0002830146784031381,-2.6011294323834884e-18,-0.01633935862267352,0.003299621408096534,1.9228550507340847e-17,-0.06391635584186413,1.0926930795181823e-05,-2.6361506161350392e-17,-0.22241575968149763,1.016852536944827e-27,9.478447630757843e-10,-1.794844970563219e-26,9.173868787848119e-28,2.0596757161260483e-10,-2.453016683980525e-27,9.946565816001514e-29,7.418771914631794e-10,-1.5495433021651665e-26
9.709717671230766e-10,F4_far_field_reference,True,1.0,F4-C-stage5-highfield-collision,0.004991529551477749,-6.532747309242475e-17,-0.36704421750942495,0.000395537929383223,-7.342768199887857e-19,-0.019198560387280825,0.00458475185973272,-1.7263174711118576e-17,-0.07419175111194506,1.1239762361806e-05,-4.7330021561317386e-17,-0.27365390601019907,2.6613213670463516e-28,1.1517465763084606e-09,-8.371428543185586e-26,-4.318145308726498e-28,2.3896265087013335e-10,-4.661743036557566e-26,6.979466675772849e-28,9.127839254383273e-10,-3.70968550662802e-26
1.002729404265499e-09,F4_far_field_reference,True,1.0,F4-C-stage5-highfield-collision,0.008666956158533927,9.372775176423224e-19,-0.4575176060819252,0.000710476507777003,6.077978162894235e-18,-0.023292409841259333,0.007937531782172023,-4.727226099654831e-19,-0.09027365961208658,1.8947868584902008e-05,-4.667978035286429e-18,-0.3439515366285793,5.5379571179611315e-27,1.4386008509673292e-09,5.871970329761578e-26,1.1569756702157107e-27,2.913360641632922e-10,-4.142478475386434e-26,4.380981447745421e-27,1.147264786804037e-09,1.0014448805148012e-25
1.0344870414079216e-09,F4_far_field_reference,True,1.0,F4-C-stage5-highfield-collision,0.01269666604642064,3.9469152338980617e-17,-0.554160832226738,0.001044952423043625,7.728012047859867e-19,-0.027679637333331654,0.01163211395029199,-1.3447135076566385e-17,-0.10773613881205096,1.9599673085024958e-05,5.2143486210761013e-17,-0.4187450560813553,3.745202024698065e-28,1.7450187706040103e-09,9.19228749310768e-26,4.868826752615162e-28,3.482777400479577e-10,4.5147330761135e-26,-1.123624727917097e-28,1.3967410305560526e-09,4.6775544169941805e-26
