time_s,observer_id,retarded_time_valid,retarded_time_valid_fraction,source_manifest_id,Ex_total,Ey_total,Ez_total,Ex_rho,Ey_rho,Ez_rho,Ex_drho,Ey_drho,Ez_drho,Ex_dJ,Ey_dJ,Ez_dJ,Bx_total,By_total,Bz_total,Bx_J,By_J,Bz_J,Bx_dJ,By_dJ,Bz_dJ
7.216370939056355e-10,F4_far_field_reference,False,0.99996,F4-P-stage4-left-isolated,5.0235987775212294e-05,-4.481715736785851e-18,0.02205964618052892,9.86101858591992e-05,8.02581500429424e-20,-0.0009978515151595586,-5.262647113878895e-05,-8.822144111502598e-19,-0.010687850531953997,4.252273054802046e-06,-3.679759475678534e-18,0.033745348227642476,-2.45358970728306e-28,-7.768610523755442e-11,2.474333991135169e-27,-9.016775374260399e-30,3.4873122253280756e-11,1.9598289490495325e-27,-2.363421953540456e-28,-1.1255922749083518e-10,5.145050420856365e-28
7.624338753239709e-10,F4_far_field_reference,True,1.0,F4-P-stage4-left-isolated,0.00013657235153386002,2.9595759785687356e-18,0.008657056291816763,0.00010358990912704914,-1.235436115059899e-19,-0.0015798669473297857,3.154909122952665e-05,1.9497738767879233e-18,-0.009185043120684185,1.433351177284242e-06,1.1333457132868023e-18,0.019421966359830733,-1.8542813076554486e-28,-3.4517559139547754e-11,-1.6380169154551032e-26,-1.6230265564333692e-29,3.026545196032015e-11,-3.2236992087921434e-27,-1.6919786520121117e-28,-6.47830110998679e-11,-1.3156469945758888e-26
8.032306567423062e-10,F4_far_field_reference,True,1.0,F4-P-stage4-left-isolated,0.00019295625252598386,1.9153831951030124e-18,-0.00011631083137785686,0.00011141262731915986,1.0522848410975131e-19,-0.002111479364285537,8.082343021181171e-05,-4.886238238858137e-19,-0.008228418715147342,7.201949950123096e-07,2.298778534879075e-18,0.010223587248055022,1.939158435406243e-29,-6.871967079325292e-12,7.013543930003263e-27,1.9161140232346902e-29,2.722944108957098e-11,-7.156804668567793e-27,2.3044412171553008e-31,-3.410140816889627e-11,1.4170348598571057e-26
8.440274381606415e-10,F4_far_field_reference,True,1.0,F4-P-stage4-left-isolated,0.00024917395589750833,2.123146143619369e-18,-0.0054687118183198635,0.0001217585055015264,-2.475565265228202e-19,-0.002593967038639452,0.00012708947068889223,3.3300219281559433e-18,-0.007833591790101749,3.259797070897032e-07,-9.59319258013754e-19,0.004958847010421337,-3.6494815758054713e-29,9.413793802032524e-12,-1.3788999374194188e-26,-3.256503485006064e-30,2.5954451925059937e-11,3.158959745440173e-28,-3.323831227304865e-29,-1.6540658123027413e-11,-1.4104895348738206e-26
8.848242195789769e-10,F4_far_field_reference,True,1.0,F4-P-stage4-left-isolated,0.00030027264645015147,-2.2490859559825003e-18,-0.009645226518436049,0.00013416447204604476,1.572918397816382e-19,-0.0030642346571613088,0.00016530841720702598,-5.006350322762649e-19,-0.0076552123924338,7.997571970807128e-07,-1.9057427634878738e-18,0.0010742205311590595,3.160567034921865e-29,2.179980605980269e-11,-1.2067804717224882e-26,1.8589138750587464e-29,2.5383130031995838e-11,3.238756312278657e-27,1.3016531598631183e-29,-3.583323972193148e-12,-1.530656102950354e-26
9.256210009973123e-10,F4_far_field_reference,True,1.0,F4-P-stage4-left-isolated,0.00034936301543458395,9.220309742619141e-18,-0.012901729860908498,0.00014854227056752034,-1.864780134555569e-19,-0.003528472804577782,0.0002002649867370879,1.1382073324798756e-18,-0.007640840294313097,5.557581299757555e-07,8.268580423594822e-18,-0.0017324167620176194,-6.637159081517715e-29,3.122495947757204e-11,-7.401162357499397e-27,-7.46853012461482e-30,2.544665104197176e-11,4.272760643377466e-27,-5.890306069056233e-29,5.778308435600281e-12,-1.1673923000876863e-26
9.664177824156475e-10,F4_far_field_reference,True,1.0,F4-P-stage4-left-isolated,0.0004064273266276383,2.0045956757087094e-18,-0.015509710372960245,0.00016597166149764944,3.259680388375372e-20,-0.00400168840824499,0.00024039313530470346,2.4178830714818292e-18,-0.00783034645043918,6.252982528536387e-08,-4.458841996568734e-19,-0.0036776755142760775,4.3696290991330727e-29,3.8348389244690794e-11,1.5657311873175331e-27,8.533761527769163e-31,2.6081630544399094e-11,3.781847747989178e-27,4.284291483855381e-29,1.2266758700291702e-11,-2.2161165606716446e-27
1.0072145638339829e-09,F4_far_field_reference,True,1.0,F4-P-stage4-left-isolated,0.0004690962573080288,-8.329866292918807e-18,-0.01794994998521851,0.00018623473665142263,-1.7341110869082354e-18,-0.004485149747191069,0.00028200479514711875,1.7919814488027685e-18,-0.008105134190706305,8.567255094874065e-07,-8.38773665481334e-18,-0.0053596660473211365,1.6711012755379938e-28,4.48671786340132e-11,-3.461826136398552e-26,-3.9387023620802486e-30,2.6990078433366442e-11,-1.1849117426864716e-26,1.7104882991587964e-28,1.7877100200646755e-11,-2.27691439371208e-26
1.0480113452523183e-09,F4_far_field_reference,True,1.0,F4-P-stage4-left-isolated,0.0005227357043303627,-5.56954427821902e-18,-0.020316975537445398,0.00020499644615913488,-8.94037887825114e-19,-0.004990808471422457,0.00031686036275999557,-2.117139977180834e-18,-0.0084689412433096,8.78895411232147e-07,-2.558366413213072e-18,-0.006857225822713341,-4.101318974324161e-29,5.111537774528768e-11,-2.873411157362987e-26,2.091649060299838e-29,2.8243134979746106e-11,-2.1928668638794853e-26,-6.192968034623999e-29,2.287224276554157e-11,-6.805442934835017e-27
1.0888081266706537e-09,F4_far_field_reference,True,1.0,F4-P-stage4-left-isolated,0.0006217345656500052,5.081073479288857e-19,-0.022905266292536586,0.00023451443568442364,-9.430423640144528e-20,-0.0055226881223213314,0.0003870875420956545,-5.323215340562542e-18,-0.008934932005475859,1.3258786992712954e-07,5.925626924892873e-18,-0.008447646164739397,4.9844787146573224e-29,5.798552851386979e-11,7.408727773897509e-27,-4.8941447357084205e-30,2.980842012830193e-11,-2.0729846040696708e-27,5.473893188228165e-29,2.8177108385567858e-11,9.48171237796718e-27
