case,time_s,source_file,head_x_m,head_y_m,head_z_m,Ehead_x_V_m,Ehead_y_V_m,Ehead_z_V_m,Ehead_mag_V_m,Eprop_dir_x,Eprop_dir_y,Eprop_dir_z,head_dir_x,head_dir_y,head_dir_z,theta_E_deg,theta_head_deg,delta_theta_deg,head_valid,head_status,field_direction_valid,field_status,trajectory_valid,trajectory_status,trajectory_displacement_m,trajectory_dx_ref_m,trajectory_displacement_over_dx,trajectory_min_displacement_dx,trajectory_start_time_s,trajectory_end_time_s,trajectory_lag_s,head_definition,legacy_head_definition,field_sampling_method,case_polarity,reference_axis_vector,polarity_sign,head_threshold_m3,field_sampling_radius_m,min_dx_m,active_component_count,primary_component_cells,legacy_min_z_m,legacy_min_z_in_primary_component,primary_component_min_z_m,field_sample_x_m,field_sample_y_m,field_sample_z_m,input_prefix,input_kind
misaligned_needle,0.0,results_raw/e3_misaligned_needle_pair_500V_er_headlocal_head_local_000000.csv,-1.4469368838363497e-06,1.446936883836349e-06,5.175842116728894e-05,59341.961050176906,49022.35748716824,-4466109.684764996,4466772.926423121,0.013285197619771651,0.010974893574100733,-0.9998515165939594,-0.00013602772037377852,-0.9999999907413037,-3.7218339794025607e-06,0.9873746315832131,89.99978675462093,90.62871802258945,True,VALID,True,VALID,True,VALID,2.894191116563767e-06,7.8125e-07,3.7045646292016214,1.0,0.0,1e-13,1e-13,primary_connected_active_component_leading_edge_ne_ge_e2_head_threshold,existing_stage_e_min_z_ne_ge_e2_head_threshold,local_peak_Eabs_within_4_min_dx_of_primary_connected_leading_edge_head,positive_hv_needle,"0,0,-1",1.0,100000000000000.0,3.125e-06,7.8125e-07,496,1029,5.101562500000003e-05,True,5.101562500000003e-05,-4.687500000000004e-07,4.6875e-07,5.414062500000003e-05,e3_misaligned_needle_pair_500V_er_headlocal,head_local
misaligned_needle,1e-13,results_raw/e3_misaligned_needle_pair_500V_er_headlocal_head_local_000001.csv,-1.4473305740562619e-06,-1.4472542059309814e-06,5.17584103955901e-05,59336.84931560493,-49022.19900723139,-4466147.971333193,4466811.137660266,0.013283939590668661,-0.010974764210180918,-0.9998515347287729,nan,nan,nan,0.9873143324390765,nan,nan,True,VALID,True,VALID,False,INSUFFICIENT_SPATIAL_DISPLACEMENT,7.238746874011616e-07,7.8125e-07,0.9265595998734868,1.0,1e-13,nan,nan,primary_connected_active_component_leading_edge_ne_ge_e2_head_threshold,existing_stage_e_min_z_ne_ge_e2_head_threshold,local_peak_Eabs_within_4_min_dx_of_primary_connected_leading_edge_head,positive_hv_needle,"0,0,-1",1.0,100000000000000.0,3.125e-06,7.8125e-07,496,1036,5.101562500000003e-05,True,5.101562500000003e-05,-4.687500000000004e-07,-4.687500000000004e-07,5.414062500000003e-05,e3_misaligned_needle_pair_500V_er_headlocal,head_local
misaligned_needle,2e-13,results_raw/e3_misaligned_needle_pair_500V_er_headlocal_head_local_000002.csv,-1.4477217955893618e-06,-1.4475696779524681e-06,5.1758399707062846e-05,59336.758563191936,-49022.28060682319,-4466148.646731526,4466811.812648314,0.013283917266264223,-0.010974780819736062,-0.9998515348430596,nan,nan,nan,0.9873139524185462,nan,nan,True,VALID,True,VALID,False,INSUFFICIENT_SPATIAL_DISPLACEMENT,7.236605167933971e-07,7.8125e-07,0.9262854614955482,1.0,2e-13,nan,nan,primary_connected_active_component_leading_edge_ne_ge_e2_head_threshold,existing_stage_e_min_z_ne_ge_e2_head_threshold,local_peak_Eabs_within_4_min_dx_of_primary_connected_leading_edge_head,positive_hv_needle,"0,0,-1",1.0,100000000000000.0,3.125e-06,7.8125e-07,512,1038,5.101562500000003e-05,True,5.101562500000003e-05,-4.687500000000004e-07,-4.687500000000004e-07,5.414062500000003e-05,e3_misaligned_needle_pair_500V_er_headlocal,head_local
misaligned_needle,3.0000000000000003e-13,results_raw/e3_misaligned_needle_pair_500V_er_headlocal_head_local_000003.csv,-1.4481105813549618e-06,-1.447883316452353e-06,5.175838910167297e-05,50269.52608371479,-55060.158853757464,-4640044.848049255,4640643.795666084,0.010832446595160288,-0.011864767320684767,-0.999870934369626,nan,nan,nan,0.92055047162423,nan,nan,True,VALID,True,VALID,False,INSUFFICIENT_SPATIAL_DISPLACEMENT,7.234479071062516e-07,8.82221277075965e-07,0.8200299923665954,1.0,3.0000000000000003e-13,nan,nan,primary_connected_active_component_leading_edge_ne_ge_e2_head_threshold,existing_stage_e_min_z_ne_ge_e2_head_threshold,local_peak_Eabs_within_4_min_dx_of_primary_connected_leading_edge_head,positive_hv_needle,"0,0,-1",1.0,100000000000000.0,3.52888510830386e-06,8.82221277075965e-07,512,1046,5.101562500000003e-05,True,5.101562500000003e-05,-4.687500000000004e-07,-4.687500000000004e-07,5.492187500000003e-05,e3_misaligned_needle_pair_500V_er_headlocal,head_local
misaligned_needle,4e-13,results_raw/e3_misaligned_needle_pair_500V_er_headlocal_head_local_000004.csv,-1.4484969632818486e-06,-1.4481951378152552e-06,5.175837857940113e-05,59336.579901021956,-49022.44143859207,-4466149.9865090065,4466813.151618651,0.013283873286600315,-0.010974813535871245,-0.9998515350682613,nan,nan,nan,0.9873132035882584,nan,nan,True,VALID,True,VALID,False,INSUFFICIENT_SPATIAL_DISPLACEMENT,7.232368381421257e-07,7.8125e-07,0.9257431528219209,1.0,4e-13,nan,nan,primary_connected_active_component_leading_edge_ne_ge_e2_head_threshold,existing_stage_e_min_z_ne_ge_e2_head_threshold,local_peak_Eabs_within_4_min_dx_of_primary_connected_leading_edge_head,positive_hv_needle,"0,0,-1",1.0,100000000000000.0,3.125e-06,7.8125e-07,512,1050,5.101562500000003e-05,True,5.101562500000003e-05,-4.687500000000004e-07,-4.687500000000004e-07,5.414062500000003e-05,e3_misaligned_needle_pair_500V_er_headlocal,head_local
misaligned_needle,5e-13,results_raw/e3_misaligned_needle_pair_500V_er_headlocal_head_local_000005.csv,-1.4488809723625568e-06,-1.4485051582549155e-06,5.175836814022654e-05,59336.491908319054,-49022.520744529174,-4466150.651189309,4466813.815901757,0.013283851611876563,-0.01097482965822531,-0.9998515351792618,nan,nan,nan,0.987312834494251,nan,nan,True,VALID,True,VALID,False,INSUFFICIENT_SPATIAL_DISPLACEMENT,7.230272901563432e-07,7.8125e-07,0.9254749314001193,1.0,5e-13,nan,nan,primary_connected_active_component_leading_edge_ne_ge_e2_head_threshold,existing_stage_e_min_z_ne_ge_e2_head_threshold,local_peak_Eabs_within_4_min_dx_of_primary_connected_leading_edge_head,positive_hv_needle,"0,0,-1",1.0,100000000000000.0,3.125e-06,7.8125e-07,512,1052,5.101562500000003e-05,True,5.101562500000003e-05,-4.687500000000004e-07,-4.687500000000004e-07,5.414062500000003e-05,e3_misaligned_needle_pair_500V_er_headlocal,head_local
misaligned_needle,6e-13,results_raw/e3_misaligned_needle_pair_500V_er_headlocal_head_local_000006.csv,-1.4492626386845725e-06,-1.4488133937988401e-06,5.175835778411466e-05,59336.40479133828,-49022.5993242954,-4466151.312470719,4466814.476790143,0.013283830143305498,-0.010974845626345127,-0.9998515352892157,nan,nan,nan,0.9873124688806081,nan,nan,True,VALID,True,VALID,False,INSUFFICIENT_SPATIAL_DISPLACEMENT,7.228192438598253e-07,7.8125e-07,0.9252086321405764,1.0,6e-13,nan,nan,primary_connected_active_component_leading_edge_ne_ge_e2_head_threshold,existing_stage_e_min_z_ne_ge_e2_head_threshold,local_peak_Eabs_within_4_min_dx_of_primary_connected_leading_edge_head,positive_hv_needle,"0,0,-1",1.0,100000000000000.0,3.125e-06,7.8125e-07,512,1054,5.101562500000003e-05,True,5.101562500000003e-05,-4.687500000000004e-07,-4.687500000000004e-07,5.414062500000003e-05,e3_misaligned_needle_pair_500V_er_headlocal,head_local
misaligned_needle,6.999999999999999e-13,results_raw/e3_misaligned_needle_pair_500V_er_headlocal_head_local_000007.csv,-1.4496419914620849e-06,-1.4491198602765989e-06,5.175834751100763e-05,50269.07945757557,-55060.56287182825,-4640047.55276157,4640646.499984879,0.0108323440403701,-0.011864847467267257,-0.9998709345296369,nan,nan,nan,0.9205499009792129,nan,nan,True,VALID,True,VALID,False,INSUFFICIENT_SPATIAL_DISPLACEMENT,7.226126804181446e-07,8.82221277075965e-07,0.8190832608494467,1.0,6.999999999999999e-13,nan,nan,primary_connected_active_component_leading_edge_ne_ge_e2_head_threshold,existing_stage_e_min_z_ne_ge_e2_head_threshold,local_peak_Eabs_within_4_min_dx_of_primary_connected_leading_edge_head,positive_hv_needle,"0,0,-1",1.0,100000000000000.0,3.52888510830386e-06,8.82221277075965e-07,520,1059,5.101562500000003e-05,True,5.101562500000003e-05,-4.687500000000004e-07,-4.687500000000004e-07,5.492187500000003e-05,e3_misaligned_needle_pair_500V_er_headlocal,head_local
misaligned_needle,7.999999999999999e-13,results_raw/e3_misaligned_needle_pair_500V_er_headlocal_head_local_000008.csv,-1.450019059067941e-06,-1.4494245733112083e-06,5.175833732081692e-05,50268.970570778045,-55060.661562189736,-4640048.222718395,4640647.169846686,0.010832319013048087,-0.011864867021124726,-0.9998709345687424,nan,nan,nan,0.9205497615176741,nan,nan,True,VALID,True,VALID,False,INSUFFICIENT_SPATIAL_DISPLACEMENT,7.224075814476848e-07,8.82221277075965e-07,0.8188507806590577,1.0,7.999999999999999e-13,nan,nan,primary_connected_active_component_leading_edge_ne_ge_e2_head_threshold,existing_stage_e_min_z_ne_ge_e2_head_threshold,local_peak_Eabs_within_4_min_dx_of_primary_connected_leading_edge_head,positive_hv_needle,"0,0,-1",1.0,100000000000000.0,3.52888510830386e-06,8.82221277075965e-07,520,1065,5.101562500000003e-05,True,5.101562500000003e-05,-4.687500000000004e-07,-4.687500000000004e-07,5.492187500000003e-05,e3_misaligned_needle_pair_500V_er_headlocal,head_local
misaligned_needle,8.999999999999999e-13,results_raw/e3_misaligned_needle_pair_500V_er_headlocal_head_local_000009.csv,-1.4503938690655532e-06,-1.4497275483131433e-06,5.175832721341818e-05,50268.862757790586,-55060.759355668175,-4640048.89030697,4640647.837341542,0.010832294222650555,-0.011864886387761429,-0.9998709346075019,nan,nan,nan,0.9205496232902524,nan,nan,True,VALID,True,VALID,False,INSUFFICIENT_SPATIAL_DISPLACEMENT,7.222039290091228e-07,8.82221277075965e-07,0.8186199401161534,1.0,8.999999999999999e-13,nan,nan,primary_connected_active_component_leading_edge_ne_ge_e2_head_threshold,existing_stage_e_min_z_ne_ge_e2_head_threshold,local_peak_Eabs_within_4_min_dx_of_primary_connected_leading_edge_head,positive_hv_needle,"0,0,-1",1.0,100000000000000.0,3.52888510830386e-06,8.82221277075965e-07,520,1068,5.101562500000003e-05,True,5.101562500000003e-05,-4.687500000000004e-07,-4.687500000000004e-07,5.492187500000003e-05,e3_misaligned_needle_pair_500V_er_headlocal,head_local
