x_m,y_m,z_m,lsf_m,inside_conductor
-3e-05,0.0,5.5e-05,3.1481879299133334e-05,0
-3e-05,0.0,5.615e-05,3.0929669907029746e-05,0
-3e-05,0.0,5.7300000000000004e-05,3.0407933189588367e-05,0
-3e-05,0.0,5.8450000000000005e-05,2.9918118111459527e-05,0
-3e-05,0.0,5.96e-05,2.9460740101642073e-05,0
-3e-05,0.0,6.075e-05,2.9013422259045656e-05,0
-3e-05,0.0,6.19e-05,2.856610441644924e-05,0
-3e-05,0.0,6.305e-05,2.8118786573852822e-05,0
-3e-05,0.0,6.42e-05,2.7671468731256405e-05,0
-3e-05,0.0,6.535e-05,2.7224150888659988e-05,0
-3e-05,0.0,6.65e-05,2.677683304606357e-05,0
-3e-05,0.0,6.765e-05,2.6329515203467153e-05,0
-3e-05,0.0,6.88e-05,2.588219736087073e-05,0
-3e-05,0.0,6.995e-05,2.5434879518274312e-05,0
-3e-05,0.0,7.11e-05,2.4987561675677902e-05,0
-3e-05,0.0,7.225e-05,2.454024383308149e-05,0
-3e-05,0.0,7.34e-05,2.4092925990485068e-05,0
-3e-05,0.0,7.455e-05,2.3645608147888644e-05,0
-3e-05,0.0,7.57e-05,2.3198290305292227e-05,0
-3e-05,0.0,7.685e-05,2.275097246269581e-05,0
-3e-05,0.0,7.8e-05,2.23036546200994e-05,0
-3e-05,0.0,7.915e-05,2.1856336777502975e-05,0
-3e-05,0.0,8.03e-05,2.1409018934906558e-05,0
-3e-05,0.0,8.145e-05,2.096170109231014e-05,0
-3e-05,0.0,8.26e-05,2.0514383249713724e-05,0
-3e-05,0.0,8.375e-05,2.0067065407117307e-05,0
-3e-05,0.0,8.49e-05,1.961974756452089e-05,0
-3e-05,0.0,8.605e-05,1.9172429721924472e-05,0
-3e-05,0.0,8.72e-05,1.8725111879328055e-05,0
-3e-05,0.0,8.835e-05,1.8277794036731638e-05,0
-3e-05,0.0,8.950000000000001e-05,1.7830476194135214e-05,0
-3e-05,0.0,9.065000000000001e-05,1.7383158351538797e-05,0
