x_m,y_m,z_m,lsf_m,inside_conductor
0.0,-1.2e-05,5.5e-05,1.4e-05,0
0.0,-1.2e-05,5.615e-05,1.2849999999999999e-05,0
0.0,-1.2e-05,5.7300000000000004e-05,1.1699999999999998e-05,0
0.0,-1.2e-05,5.8450000000000005e-05,1.0549999999999997e-05,0
0.0,-1.2e-05,5.96e-05,9.400000000000003e-06,0
0.0,-1.2e-05,6.075e-05,8.250000000000002e-06,0
0.0,-1.2e-05,6.19e-05,7.100000000000002e-06,0
0.0,-1.2e-05,6.305e-05,7e-06,0
0.0,-1.2e-05,6.42e-05,7e-06,0
0.0,-1.2e-05,6.535e-05,7e-06,0
0.0,-1.2e-05,6.65e-05,7e-06,0
0.0,-1.2e-05,6.765e-05,7e-06,0
0.0,-1.2e-05,6.88e-05,7e-06,0
0.0,-1.2e-05,6.995e-05,7e-06,0
0.0,-1.2e-05,7.11e-05,7e-06,0
0.0,-1.2e-05,7.225e-05,7e-06,0
0.0,-1.2e-05,7.34e-05,7e-06,0
0.0,-1.2e-05,7.455e-05,7e-06,0
0.0,-1.2e-05,7.57e-05,7e-06,0
0.0,-1.2e-05,7.685e-05,7e-06,0
0.0,-1.2e-05,7.8e-05,7e-06,0
0.0,-1.2e-05,7.915e-05,7e-06,0
0.0,-1.2e-05,8.03e-05,7e-06,0
0.0,-1.2e-05,8.145e-05,7e-06,0
0.0,-1.2e-05,8.26e-05,7e-06,0
0.0,-1.2e-05,8.375e-05,7e-06,0
0.0,-1.2e-05,8.49e-05,7e-06,0
0.0,-1.2e-05,8.605e-05,7e-06,0
0.0,-1.2e-05,8.72e-05,7e-06,0
0.0,-1.2e-05,8.835e-05,7e-06,0
0.0,-1.2e-05,8.950000000000001e-05,7e-06,0
0.0,-1.2e-05,9.065000000000001e-05,7e-06,0
0.0,-1.2e-05,9.180000000000001e-05,7e-06,0
0.0,-1.2e-05,9.295000000000001e-05,7e-06,0
0.0,-1.2e-05,9.410000000000001e-05,7e-06,0
0.0,-1.2e-05,9.525000000000001e-05,7e-06,0
0.0,-1.2e-05,9.640000000000001e-05,7e-06,0
0.0,-1.2e-05,9.755e-05,7e-06,0
0.0,-1.2e-05,9.87e-05,7e-06,0
0.0,-1.2e-05,9.985e-05,7e-06,0
0.0,-1.2e-05,0.000101,7e-06,0
0.0,-1.2e-05,0.00010215,7e-06,0
0.0,-1.2e-05,0.0001033,7e-06,0
0.0,-1.2e-05,0.00010445,7e-06,0
0.0,-1.2e-05,0.00010559999999999999,7e-06,0
0.0,-1.2e-05,0.00010674999999999999,7e-06,0
0.0,-1.2e-05,0.0001079,7e-06,0
0.0,-1.2e-05,0.00010905,7e-06,0
0.0,-1.2e-05,0.0001102,7e-06,0
0.0,-1.2e-05,0.00011135,7e-06,0
0.0,-1.2e-05,0.0001125,7e-06,0
0.0,-1.2e-05,0.00011365,7e-06,0
0.0,-1.2e-05,0.0001148,7e-06,0
0.0,-1.2e-05,0.00011595,7e-06,0
0.0,-1.2e-05,0.0001171,7e-06,0
0.0,-1.2e-05,0.00011825,7e-06,0
0.0,-1.2e-05,0.0001194,7e-06,0
0.0,-1.2e-05,0.00012055,7e-06,0
0.0,-1.2e-05,0.0001217,7e-06,0
0.0,-1.2e-05,0.00012285,7e-06,0
0.0,-1.2e-05,0.000124,7e-06,0
0.0,-1.16e-05,5.5e-05,1.4e-05,0
0.0,-1.16e-05,5.615e-05,1.2849999999999999e-05,0
0.0,-1.16e-05,5.7300000000000004e-05,1.1699999999999998e-05,0
0.0,-1.16e-05,5.8450000000000005e-05,1.0549999999999997e-05,0
0.0,-1.16e-05,5.96e-05,9.400000000000003e-06,0
0.0,-1.16e-05,6.075e-05,8.250000000000002e-06,0
0.0,-1.16e-05,6.19e-05,7.100000000000002e-06,0
0.0,-1.16e-05,6.305e-05,6.6e-06,0
0.0,-1.16e-05,6.42e-05,6.6e-06,0
0.0,-1.16e-05,6.535e-05,6.6e-06,0
0.0,-1.16e-05,6.65e-05,6.6e-06,0
0.0,-1.16e-05,6.765e-05,6.6e-06,0
0.0,-1.16e-05,6.88e-05,6.6e-06,0
0.0,-1.16e-05,6.995e-05,6.6e-06,0
0.0,-1.16e-05,7.11e-05,6.6e-06,0
0.0,-1.16e-05,7.225e-05,6.6e-06,0
