index,x_m,E_x_profile_Vpm,y_m,E_y_profile_Vpm,relative_difference
0,-3e-05,4676335.750355376,-3e-05,4540450.493695282,0.02905806253320605
1,-2.975e-05,4695033.229891792,-2.975e-05,4557709.808171543,0.02924865810234395
2,-2.9500000000000002e-05,4713730.709428207,-2.9500000000000002e-05,4574969.122647803,0.029437741639092498
3,-2.925e-05,4732428.188964622,-2.925e-05,4592228.437124063,0.029625331065241636
4,-2.9e-05,4751125.668501037,-2.9e-05,4609487.751600324,0.029811444020464994
5,-2.875e-05,4769823.148037452,-2.875e-05,4626747.066076584,0.029996097867850062
6,-2.85e-05,4788520.627573867,-2.85e-05,4644006.380552844,0.03017930969929688
7,-2.8250000000000002e-05,4807218.107110282,-2.8250000000000002e-05,4661265.695029104,0.030361096340792672
8,-2.8e-05,4825915.586646697,-2.8e-05,4678525.009505364,0.030541474357562742
9,-2.775e-05,4844613.066183113,-2.775e-05,4695784.323981624,0.03072046005910334
10,-2.75e-05,4863310.545719528,-2.75e-05,4713043.638457884,0.0308980695040957
11,-2.725e-05,4882008.025255943,-2.725e-05,4730302.952934144,0.031074318505210856
12,-2.7e-05,4900705.504792358,-2.7e-05,4747562.267410405,0.031249222633801473
13,-2.675e-05,4919402.984328773,-2.675e-05,4764821.581886665,0.03142279722448876
14,-2.65e-05,4938100.463865188,-2.65e-05,4782080.896362925,0.03159505737964314
15,-2.625e-05,4956797.943401603,-2.625e-05,4799340.210839185,0.03176601797376528
16,-2.6000000000000002e-05,4990710.725662433,-2.6000000000000002e-05,4831483.976964518,0.031904623900392365
17,-2.575e-05,5024623.50792326,-2.575e-05,4863627.743089852,0.0320413588360474
18,-2.55e-05,5058536.290184089,-2.55e-05,4895771.509215186,0.03217626041049502
19,-2.525e-05,5092449.072444917,-2.525e-05,4927915.27534052,0.032309365251129187
20,-2.4999999999999998e-05,5126361.854705746,-2.4999999999999998e-05,4960059.041465853,0.03244070901612909
21,-2.475e-05,5160274.636966575,-2.475e-05,4992202.807591187,0.03257032642630582
22,-2.45e-05,5194187.419227403,-2.45e-05,5024346.57371652,0.0326982512957041
23,-2.425e-05,5228100.201488231,-2.425e-05,5056490.339841855,0.03282451656101122
24,-2.4e-05,5262012.98374906,-2.4e-05,5088634.105967188,0.03294915430982904
25,-2.375e-05,5295925.766009889,-2.375e-05,5120777.872092522,0.03307219580785941
26,-2.35e-05,5329838.548270717,-2.35e-05,5152921.638217857,0.03319367152505237
27,-2.325e-05,5363751.330531546,-2.325e-05,5185065.404343189,0.033313611160763756
28,-2.3e-05,5397664.112792375,-2.3e-05,5217209.170468522,0.03343204366795946
29,-2.275e-05,5431576.895053202,-2.275e-05,5249352.936593857,0.03354899727651941
30,-2.2499999999999998e-05,5465489.677314032,-2.2499999999999998e-05,5281496.702719191,0.03366449951567058
31,-2.225e-05,5499402.45957486,-2.225e-05,5313640.468844525,0.033778577235588546
32,-2.2e-05,5533315.241835688,-2.2e-05,5345784.234969858,0.03389125662820837
33,-2.175e-05,5567228.024096517,-2.175e-05,5377928.001095192,0.03400256324727171
34,-2.15e-05,5601140.806357346,-2.15e-05,5410071.767220524,0.03411252202764771
35,-2.125e-05,5635053.588618174,-2.125e-05,5442215.533345858,0.03422115730395463
36,-2.1e-05,5668966.370879002,-2.1e-05,5474359.299471193,0.03432849282851436
37,-2.075e-05,5702879.1531398315,-2.075e-05,5506503.0655965265,0.03443455178866736
38,-2.0499999999999997e-05,5736791.935400661,-2.0499999999999997e-05,5538646.83172186,0.03453935682346871
39,-2.0249999999999998e-05,5770704.717661489,-2.0249999999999998e-05,5570790.5978471935,0.03464293003980079
40,-1.9999999999999998e-05,5804617.4999223165,-1.9999999999999998e-05,5602934.363972527,0.03474529302791936
41,-1.975e-05,5838530.282183146,-1.975e-05,5635078.130097862,0.034846466876456594
42,-1.95e-05,5872443.064443974,-1.95e-05,5667221.896223194,0.034946472186905914
43,-1.925e-05,5906355.846704803,-1.925e-05,5699365.662348528,0.0350453290876059
44,-1.9e-05,5940268.62896563,-1.9e-05,5731509.428473862,0.035143057247247624
45,-1.875e-05,5974181.41122646,-1.875e-05,5763653.194599195,0.03523967588792125
46,-1.85e-05,6039844.807181441,-1.85e-05,5828049.203298973,0.03506639833371895
47,-1.8249999999999996e-05,6105508.203136423,-1.8249999999999996e-05,5892445.21199875,0.03489684790337698
48,-1.7999999999999997e-05,6171171.599091403,-1.7999999999999997e-05,5956841.220698527,0.03473090562324219
49,-1.7749999999999998e-05,6236834.995046384,-1.7749999999999998e-05,6021237.229398304,0.034568457530032286
50,-1.75e-05,6302498.391001365,-1.75e-05,6085633.238098081,0.03440939440982984
51,-1.725e-05,6368161.786956345,-1.725e-05,6150029.246797857,0.03425361155322407
52,-1.7e-05,6433825.182911326,-1.7e-05,6214425.2554976335,0.03410100852544668
53,-1.675e-05,6499488.578866307,-1.675e-05,6278821.264197411,0.03395148895044081
54,-1.6499999999999998e-05,6565151.974821288,-1.6499999999999998e-05,6343217.272897189,0.03380496030789004
