index,x_m,E_x_profile_Vpm,y_m,E_y_profile_Vpm,relative_difference
0,-3e-05,4701064.031705775,-3e-05,4604316.096951689,0.020580007866640732
1,-2.975e-05,4721331.08696976,-2.975e-05,4624340.494565344,0.020543060975345882
2,-2.9500000000000002e-05,4741598.142233744,-2.9500000000000002e-05,4644364.892179001,0.020506429928905157
3,-2.925e-05,4761865.197497729,-2.925e-05,4664389.289792656,0.020470110694501602
4,-2.9e-05,4782132.252761713,-2.9e-05,4684413.687406313,0.02043409930768172
5,-2.875e-05,4802399.308025697,-2.875e-05,4704438.085019968,0.020398391870916997
6,-2.85e-05,4822666.363289682,-2.85e-05,4724462.482633624,0.020362984552194943
7,-2.8250000000000002e-05,4842933.418553666,-2.8250000000000002e-05,4744486.88024728,0.020327873583648626
8,-2.8e-05,4866944.252679868,-2.8e-05,4768648.131470947,0.020196681142340318
9,-2.775e-05,4894698.865668289,-2.775e-05,4796946.236304621,0.019971122237837948
10,-2.75e-05,4922453.478656709,-2.75e-05,4825244.341138297,0.019748106902361194
11,-2.725e-05,4950208.09164513,-2.725e-05,4853542.445971971,0.01952759235239203
12,-2.7e-05,4977962.704633552,-2.7e-05,4881840.550805647,0.01930953675856852
13,-2.675e-05,5005717.317621973,-2.675e-05,4910138.655639323,0.019093899219234326
14,-2.65e-05,5033471.930610394,-2.65e-05,4938436.760472998,0.018880639734862186
15,-2.625e-05,5061226.543598815,-2.625e-05,4966734.865306673,0.018669719183317442
16,-2.6000000000000002e-05,5088981.156587236,-2.6000000000000002e-05,4995032.970140349,0.018461099295932527
17,-2.575e-05,5116735.769575657,-2.575e-05,5023331.074974025,0.01825474263436099
18,-2.55e-05,5144490.382564078,-2.55e-05,5051629.1798077,0.018050612568177197
19,-2.525e-05,5172244.995552498,-2.525e-05,5079927.284641375,0.01784867325320148
20,-2.4999999999999998e-05,5199999.60854092,-2.4999999999999998e-05,5108225.389475051,0.017648889610516614
21,-2.475e-05,5227754.221529339,-2.475e-05,5136523.494308726,0.01745122730615378
22,-2.45e-05,5255508.834517761,-2.45e-05,5164821.5991424015,0.017255652731422152
23,-2.425e-05,5288785.405601708,-2.425e-05,5199603.073349948,0.016862535613054213
24,-2.4e-05,5327583.93478118,-2.4e-05,5240867.916931364,0.016276799936213057
25,-2.375e-05,5366382.463960653,-2.375e-05,5282132.760512781,0.015699533906439356
26,-2.35e-05,5405180.9931401275,-2.35e-05,5323397.604094199,0.015130555137695165
27,-2.325e-05,5443979.522319599,-2.325e-05,5364662.447675616,0.0145696864433075
28,-2.3e-05,5482778.051499072,-2.3e-05,5405927.291257032,0.014016755652005308
29,-2.275e-05,5521576.580678544,-2.275e-05,5447192.134838449,0.013471595431708039
30,-2.2499999999999998e-05,5560375.109858017,-2.2499999999999998e-05,5488456.978419866,0.012934043120696476
31,-2.225e-05,5599173.639037491,-2.225e-05,5529721.822001282,0.01240394056579885
32,-2.2e-05,5637972.168216964,-2.2e-05,5570986.6655827,0.011881133967259191
33,-2.175e-05,5676770.697396437,-2.175e-05,5612251.509164117,0.011365473729969428
34,-2.15e-05,5715569.226575908,-2.15e-05,5653516.352745533,0.010856814320758388
35,-2.125e-05,5754367.755755381,-2.125e-05,5694781.19632695,0.010355014131454154
36,-2.1e-05,5793166.284934854,-2.1e-05,5736046.039908368,0.009859935347450211
37,-2.075e-05,5831964.814114327,-2.075e-05,5777310.883489785,0.009371443821517956
38,-2.0499999999999997e-05,5879181.261275269,-2.0499999999999997e-05,5829341.027994794,0.00847741055523508
39,-2.0249999999999998e-05,5934815.626417677,-2.0249999999999998e-05,5892136.473423394,0.007191319104220289
40,-1.9999999999999998e-05,5990449.991560086,-1.9999999999999998e-05,5954931.918851996,0.0059291159692729375
41,-1.975e-05,6046084.356702495,-1.975e-05,6017727.364280596,0.004690141709727112
42,-1.95e-05,6101718.721844904,-1.95e-05,6080522.809709196,0.00347376093555807
43,-1.925e-05,6157353.086987313,-1.925e-05,6143318.255137797,0.002279361220842776
44,-1.9e-05,6212987.452129722,-1.9e-05,6206113.700566398,0.0011063520755972942
45,-1.875e-05,6268621.817272131,-1.875e-05,6268909.1459949985,4.583602763776521e-05
46,-1.85e-05,6324256.182414539,-1.85e-05,6331704.5914236,0.0011777525758321025
47,-1.8249999999999996e-05,6379890.54755695,-1.8249999999999996e-05,6394500.036852201,0.002289927889256043
