quantity,aligned,misaligned,relative_difference_or_ratio
Emax_final_Vpm,38196344.0,38470037.0,0.007114445977787856
Emax_max_Vpm,38196621.0,38470389.0,0.007116330432738801
ne_max_final_m3,8003796000000000.0,8006149300000000.0,0.00029393656198742135
total_electrons_final,4.5526395,4.5479098,0.0010388918340667
total_charge_final_C,1.3820406e-20,1.366654e-20,0.01113324746031351
head_final_z_m,5.1796875e-05,5.1796875e-05,0.0
max_r_cm_m,6.1200719e-18,1.482428e-08,0.999999999587159
field_plane_asymmetry,9.594286649891844e-10,0.37190731851857145,387634153.6270067
ne_plane_asymmetry,2.7993349744789283e-05,0.0035190491843259774,125.71018532646374
rho_plane_asymmetry,0.004104361525250185,0.011542645695494286,2.812287763756555
final_ne_moment_asym,5.8545217e-06,3.3340641e-05,0.8244028451642547
final_rho_moment_asym,1.0435243e-06,5.1998078e-07,0.5017070709326079
