case,time_s,x_cm_m,y_cm_m,z_cm_m,r_cm_m,Emax_Vpm,ne_max_m3,total_electrons,total_charge_C,head_z_m,ne_moment_asym,rho_moment_asym
aligned,0.0,-4.4031829e-21,-2.3689703e-21,5.9995647e-05,5.000004e-21,38196621.0,9676438600000000.0,4.2506122,0.0,5.1015625e-05,8.0792828e-05,0.0
aligned,1e-12,9.6118721e-19,1.5215793e-18,6.0307117e-05,1.7997456e-18,38196315.0,9297987100000000.0,4.3020974,2.4997693e-22,5.1015625e-05,5.9229395e-05,1.9631145e-06
aligned,2e-12,1.4830566e-18,1.9938424e-18,6.0628774e-05,2.4849274e-18,38196323.0,8934021700000000.0,4.3592935,1.2742641e-21,5.1796875e-05,3.1351963e-05,1.7409689e-06
aligned,3e-12,2.1511988e-18,2.642037e-18,6.0957645e-05,3.4070539e-18,38196331.0,8554332700000000.0,4.4212326,3.5271362e-21,5.1796875e-05,1.6974164e-05,1.4446735e-06
aligned,4e-12,3.0257444e-18,3.4809763e-18,6.1290063e-05,4.6121931e-18,38196338.0,8290784800000000.0,4.4863687,7.5282738e-21,5.1796875e-05,9.7399503e-06,1.2125617e-06
aligned,5e-12,4.0981155e-18,4.5454075e-18,6.1621872e-05,6.1200719e-18,38196344.0,8003796000000000.0,4.5526395,1.3820406e-20,5.1796875e-05,5.8545217e-06,1.0435243e-06
misaligned,0.0,-4.4031829e-21,-2.3689703e-21,5.9995647e-05,5.000004e-21,38470389.0,9676438600000000.0,4.2506122,0.0,5.1015625e-05,8.0792828e-05,0.0
misaligned,1e-12,-3.2373671e-09,-9.8126477e-18,6.0305592e-05,3.2373671e-09,38470034.0,9298459100000000.0,4.301307,2.4796478e-22,5.1015625e-05,4.8194306e-05,1.7202923e-06
misaligned,2e-12,-6.339092e-09,-9.1902909e-18,6.0625627e-05,6.339092e-09,38470035.0,8935443300000000.0,4.3576181,1.2626725e-21,5.1796875e-05,1.1022841e-05,1.3877297e-06
misaligned,3e-12,-9.302275e-09,-8.3678133e-18,6.0952821e-05,9.302275e-09,38470035.0,8554985200000000.0,4.4185888,3.4920978e-21,5.1796875e-05,1.1076148e-05,1.2414379e-06
misaligned,4e-12,-1.2128575e-08,-7.3817776e-18,6.1283561e-05,1.2128575e-08,38470036.0,8291788800000000.0,4.4826964,7.4484001e-21,5.1796875e-05,2.4553183e-05,8.7605725e-07
misaligned,5e-12,-1.482428e-08,-6.1771921e-18,6.1613751e-05,1.482428e-08,38470037.0,8006149300000000.0,4.5479098,1.366654e-20,5.1796875e-05,3.3340641e-05,5.1998078e-07
