case,plane,s_m,z_m,Eabs_Vpm,ne_m3,rho_Cpm3
aligned,xz,-2.953125e-05,-6.4609375e-05,1530969.504664474,1.87745665563603e-151,-3.0080223969592127e-170
aligned,xz,-2.953125e-05,-6.382812499999999e-05,1531839.9051923305,6.789855171033979e-151,-1.0878566196399184e-169
aligned,xz,-2.953125e-05,-6.304687499999999e-05,1533531.412177328,3.80701130473281e-149,-6.099515350363044e-168
aligned,xz,-2.953125e-05,-6.2265625e-05,1536115.2914808574,2.2055597546819642e-148,-3.533702595373925e-167
aligned,xz,-2.953125e-05,-6.148437499999999e-05,1539447.0817305562,1.1228755837052225e-146,-1.7990482979603597e-165
aligned,xz,-2.953125e-05,-6.070312499999999e-05,1543665.6083267953,6.503797565665603e-146,-1.0420251641802835e-164
aligned,xz,-2.953125e-05,-5.992187499999999e-05,1548541.020739881,3.256289053213543e-144,-5.217160069140094e-163
aligned,xz,-2.953125e-05,-5.9140624999999996e-05,1554272.6881816823,1.8854771743207574e-143,-3.0208732383205196e-162
aligned,xz,-2.953125e-05,-5.8359374999999994e-05,1560560.1507964989,9.275782515946274e-142,-1.486147118509292e-160
aligned,xz,-2.953125e-05,-5.757812499999999e-05,1567653.736214799,5.368572390614723e-141,-8.601418380780606e-160
aligned,xz,-2.953125e-05,-5.679687499999999e-05,1575200.1986524593,2.5931031897683988e-139,-4.1546178745527116e-158
aligned,xz,-2.953125e-05,-5.6015624999999994e-05,1583489.6494721216,1.4999595804664315e-138,-2.4032052114850237e-157
aligned,xz,-2.953125e-05,-5.523437499999999e-05,1592134.7374130413,7.108240318934218e-137,-1.1388681115533795e-155
aligned,xz,-2.953125e-05,-5.445312499999999e-05,1601453.677928683,4.108769144998391e-136,-6.582988377683185e-155
aligned,xz,-2.953125e-05,-5.367187499999999e-05,1611042.5250536804,1.9091391523231908e-134,-3.058785088361579e-153
aligned,xz,-2.953125e-05,-5.289062499999999e-05,1621236.4526315073,1.102595163553687e-133,-1.7665562966820018e-152
aligned,xz,-2.953125e-05,-5.210937499999999e-05,1631629.7050772798,5.0203781321709655e-132,-8.043551806131703e-151
aligned,xz,-2.953125e-05,-5.132812499999999e-05,1642564.6611200462,2.896574702773325e-131,-4.6408356419579027e-150
aligned,xz,-2.953125e-05,-5.054687499999999e-05,1653644.8998756963,1.2917447613952695e-129,-2.0696085079926953e-148
aligned,xz,-2.953125e-05,-4.976562499999999e-05,1665212.2259137328,7.444566303631285e-129,-1.1927540940629738e-147
aligned,xz,-2.953125e-05,-4.898437499999999e-05,1676886.794939348,3.250131778541571e-127,-5.207299101566352e-146
aligned,xz,-2.953125e-05,-4.820312499999999e-05,1689004.3000420071,1.8707974231073983e-126,-2.997356080519858e-145
aligned,xz,-2.953125e-05,-4.7421874999999985e-05,1701205.089305013,7.99230440241036e-125,-1.2805119482609739e-143
aligned,xz,-2.953125e-05,-4.664062499999999e-05,1713815.4201722448,4.5942397188235325e-124,-7.360804688453528e-143
aligned,xz,-2.953125e-05,-4.585937499999999e-05,1726496.4523035097,1.9198533064383956e-122,-3.0759532652285275e-141
aligned,xz,-2.953125e-05,-4.5078124999999986e-05,1739563.6363140119,1.1020026813558025e-121,-1.7656083011557072e-140
aligned,xz,-2.953125e-05,-4.4296874999999984e-05,1752697.3558159866,4.5027642438298614e-120,-7.214246309931667e-139
aligned,xz,-2.953125e-05,-4.351562499999999e-05,1766202.4314722698,2.5806367618480927e-119,-4.134649137101062e-138
aligned,xz,-2.953125e-05,-4.273437499999999e-05,1779775.4694978045,1.03062960512049e-117,-1.6512561336924645e-136
aligned,xz,-2.953125e-05,-4.1953124999999985e-05,1793711.922075829,5.897197165924086e-117,-9.448383301391939e-136
aligned,xz,-2.953125e-05,-4.117187499999998e-05,1807720.8979814234,2.301123290306493e-115,-3.686818800234884e-134
aligned,xz,-2.953125e-05,-4.039062499999999e-05,1822090.373637128,1.3144455527964008e-114,-2.1059814028367297e-133
aligned,xz,-2.953125e-05,-3.960937499999999e-05,1836538.0716396156,5.009504586340675e-113,-8.026140548967986e-132
aligned,xz,-2.953125e-05,-3.882812499999999e-05,1851346.6168948174,2.856421907541952e-112,-4.576509434487814e-131
aligned,xz,-2.953125e-05,-3.804687499999999e-05,1866238.6879325085,1.0628498607614855e-110,-1.7028797448887263e-129
aligned,xz,-2.953125e-05,-3.7265624999999986e-05,1881493.586866151,6.049079396737375e-110,-9.691731382366065e-129
aligned,xz,-2.953125e-05,-3.648437499999999e-05,1896835.790237052,2.196720508307951e-108,-3.5195484035269037e-127
aligned,xz,-2.953125e-05,-3.570312499999999e-05,1912542.9563980403,1.2478070324094199e-107,-1.9992154057905676e-126
