case,plane,s_m,z_m,Eabs_Vpm,ne_m3,rho_Cpm3
misaligned,xz,-2.953125e-05,-1.4609374999999986e-05,1851668.2716572462,3.412935655754906e-78,-5.468155280823274e-97
misaligned,xz,-2.953125e-05,-1.3828124999999985e-05,1866590.7511113419,1.888375874898925e-77,-3.0255282960580653e-96
misaligned,xz,-2.953125e-05,-1.3046874999999985e-05,1881103.7765601436,4.974812072362781e-76,-7.970573039451823e-95
misaligned,xz,-2.953125e-05,-1.2265624999999985e-05,1895294.3188186341,2.7338509925800313e-75,-4.3801374673653603e-94
misaligned,xz,-2.953125e-05,-1.1484374999999984e-05,1909286.836339733,6.99394836854088e-74,-1.1205607719880867e-92
misaligned,xz,-2.953125e-05,-1.0703124999999984e-05,1922981.827779367,3.831159464946349e-73,-6.138231368078852e-92
misaligned,xz,-2.953125e-05,-9.921874999999985e-06,1936516.927066952,9.512950117908076e-72,-1.5241522024039586e-90
misaligned,xz,-2.953125e-05,-9.140624999999983e-06,1949727.9459685157,5.193792946477983e-71,-8.321426476004558e-90
misaligned,xz,-2.953125e-05,-8.359374999999985e-06,1962773.4537075195,1.251477448639756e-69,-2.0051010794485226e-88
misaligned,xz,-2.953125e-05,-7.578124999999984e-06,1975459.3382561165,6.809377898582654e-69,-1.0909898407454984e-87
misaligned,xz,-2.953125e-05,-6.796874999999984e-06,1987965.2249942722,1.591912863238544e-67,-2.550543045529938e-86
misaligned,xz,-2.953125e-05,-6.015624999999984e-06,2000077.520906297,8.631218668497578e-67,-1.3828832275835546e-85
misaligned,xz,-2.953125e-05,-5.234374999999983e-06,2011994.9892205838,1.9574110922800663e-65,-3.1361406516776595e-84
misaligned,xz,-2.953125e-05,-4.453124999999983e-06,2023489.7278730199,1.0574416854956406e-64,-1.6942205117251443e-83
misaligned,xz,-2.953125e-05,-3.6718749999999834e-06,2034776.922253402,2.32591483288555e-63,-3.7265539701169986e-82
misaligned,xz,-2.953125e-05,-2.890624999999983e-06,2045618.6169607677,1.2518221786825223e-62,-2.0056551728598984e-81
misaligned,xz,-2.953125e-05,-2.1093749999999827e-06,2056243.1443521907,2.6701870176150436e-61,-4.278144075289762e-80
misaligned,xz,-2.953125e-05,-1.3281249999999827e-06,2066406.7059150608,1.4315868678387403e-60,-2.293672718855604e-79
misaligned,xz,-2.953125e-05,-5.468749999999824e-07,2076347.0916271573,2.9608580504957565e-59,-4.743855284373248e-78
misaligned,xz,-2.953125e-05,2.3437500000001756e-07,2085818.8824695237,1.5811507416748424e-58,-2.533302992874425e-77
misaligned,xz,-2.953125e-05,1.015625000000018e-06,2095065.3910967654,3.1704358803614733e-57,-5.079640044670959e-76
misaligned,xz,-2.953125e-05,1.7968750000000183e-06,2103843.678353448,1.686191432329524e-56,-2.7015988049156967e-75
misaligned,xz,-2.953125e-05,2.5781250000000178e-06,2112398.585668137,3.2775539972344884e-55,-5.25126505001619e-74
misaligned,xz,-2.953125e-05,3.359375000000018e-06,2120493.4626386696,1.7358886889688892e-54,-2.7812240057664547e-73
misaligned,xz,-2.953125e-05,4.1406250000000185e-06,2128370.8134671072,3.270552159102603e-53,-5.240048238285503e-72
misaligned,xz,-2.953125e-05,4.921875000000018e-06,2135803.640286971,1.7247629017010163e-52,-2.763399146345772e-71
misaligned,xz,-2.953125e-05,5.703125000000018e-06,2143028.5420736643,3.149585341194086e-51,-5.046237770738357e-70
misaligned,xz,-2.953125e-05,6.484375000000019e-06,2149830.975194242,1.6536733333556971e-50,-2.649500851996538e-69
