G_length_S_m,Rsp_ohm,time_s,accepted_steps,rejected_steps,T_axis_K,T_max_K,T_min_K,p_axis_Pa,p_min_Pa,rho_axis_kg_m3,rho_min_kg_m3,sigma_axis_S_m,sigma_max_S_m,channel_radius_m,outward_velocity_max_m_s,internal_energy_J,kinetic_energy_J,total_energy_J,cumulative_Joule_J,conduction_boundary_loss_J,hydro_boundary_loss_J,radiation_loss_J,energy_residual_J,mass_residual_kg,I_A,I_L_A,V_channel_V,Rsp_circuit_ohm,Gsp_S,interval_Rsp_ohm,interval_dt_s,P_sp_circuit_W,P_sp_thermal_W,Q_sp_circuit_J,Q_sp_thermal_J,Q_fixed_R_J,source_work_J,inductor_energy_J,cext_energy_J,cgap_energy_J,circuit_energy_J,thermal_energy_J,circuit_energy_residual_J,cross_domain_energy_residual_J,coupling_status,KCL_max_A,KVL_max_V,I_rms_interval_A
4.143190334166333e-06,241.35989885707576,0.0,0,0,9995.211059095076,9995.211059095076,300.0,202599.97531575346,101325.0,0.0346100143614354,0.0346100143614354,2894.695767266771,2894.695767266771,7.590607082614398e-05,0.0,0.00020825222330742593,0.0,0.00020825222330742593,0.0,0.0,0.0,0.0,0.0,1.0339757656912846e-25,0.4143190334166333,0.0,100.0,241.35989885707576,0.004143190334166332,241.35989885707576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-09,1e-09,5e-09,0.00020825222330742593,0.0,0.0,LAGGED,,,
4.128114891056482e-06,242.24131992219733,4.455803502770607e-11,1,0,9994.246444117598,9994.246444117598,300.0,202605.62097725467,101325.0,0.034615133225005895,0.034615133225005895,2893.6726611834533,2893.6726611834533,7.590825947286888e-05,1.5936251631598235,0.00020825376561862447,3.670824353254651e-13,0.0002082537659857069,1.5426782809647274e-09,0.0,0.0,0.0,-1.4378466997703004e-21,-2.0679515313825692e-25,0.34285977755492664,-0.004067156874851205,83.0548050631364,242.24131992219733,0.004128114891056482,241.35989885707576,4.455803502770607e-11,34.62177539933022,34.621775399330204,1.5426782809647282e-09,1.5426782809647274e-09,5.144751533874574e-16,0.0,8.270882522324711e-12,2.759240257630235e-09,6.898100644075588e-10,3.4573212045601183e-09,0.0002082537659857069,-2.23095583238065e-25,8.271806125530277e-25,LAGGED,5.551115123125783e-17,1.4210854715202004e-14,0.3787408153159396
4.110513913689891e-06,243.27858292111424,8.912110174368333e-11,2,0,9990.541729631661,9990.541729631661,300.0,202540.93843576094,101325.0,0.034619828295332625,0.034619828295332625,2889.8214810831146,2889.8214810831146,7.59150380915233e-05,3.199448941818815,0.00020825482326547337,1.4637701903251272e-12,0.00020825482472924356,2.6014218176384954e-09,0.0,3.2010110639630344e-27,0.0,-1.3099642569684958e-20,-2.067951426343823e-25,0.28305178157768646,-0.007442409902411176,68.86043631551631,243.27858292111424,0.004110513913689891,242.24131992219733,4.4563066715977254e-11,23.758318596466243,23.75831859646624,2.6014218176384967e-09,2.6014218176384954e-09,3.605002111330447e-15,0.0,2.7694732577753965e-11,1.896703875825311e-09,4.741759689563278e-10,2.3985745773593926e-09,0.00020825482472924356,5.398419721308002e-25,1.2407709188295415e-24,LAGGED,5.551115123125783e-17,0.0,0.3131725862596157
4.091225004002183e-06,244.42556911970476,1.3368674263361466e-10,3,0,9984.931610605869,9984.931610605869,300.0,202426.56525932776,101325.0,0.0346240956478691,0.0346240956478691,2884.003748917642,2884.003748917642,7.592500956006649e-05,4.849476777286155,0.00020825554478839004,3.2826973762686582e-12,0.00020825554807108742,3.3247636614928953e-09,0.0,9.603764496086745e-27,0.0,-6.989666572308587e-21,-2.067951216242333e-25,0.2330791183235088,-0.01023786352036951,56.970496146142644,244.42556911970476,0.0040912250040021836,243.27858292111424,4.456564088993133e-11,16.230931035882932,16.230931035882932,3.3247636614928966e-09,3.3247636614928953e-09,1.06982074203577e-14,0.0,5.2406924730856385e-11,1.2982549724550615e-09,3.2456374311376537e-10,1.6752256402996832e-09,0.00020825554807108742,5.231094434701573e-26,1.2407709188295415e-24,LAGGED,5.551115123125783e-17,0.0,0.2582972470916751
4.070832016908415e-06,245.65002826116316,1.7825318341519205e-10,4,0,9978.000462071794,9978.000462071794,300.0,202276.9582779422,101325.0,0.03462793278779304,0.03462793278779304,2876.822496613057,2876.822496613057,7.593719580899265e-05,6.523307099403609,0.00020825603387893737,5.8162684610365686e-12,0.00020825603969520584,3.816387779942287e-09,0.0,1.9208432715356548e-26,0.0,-3.404011735934948e-20,1.033976396001412e-25,0.19136119233886315,-0.012547457011907927,47.00788230613161,245.65002826116316,0.0040708320169084156,244.42556911970476,4.4566440781577384e-11,11.03126275797677,11.031262757976767,3.816387779942288e-09,3.816387779942287e-09,2.2381871312645616e-14,0.0,7.87193387328387e-11,8.838963995628486e-10,2.2097409989071215e-10,1.1835898381863996e-09,0.00020825603969520584,9.506436551073578e-25,1.6543612251060553e-24,LAGGED,2.7755575615628914e-17,0.0,0.21244146963611563
4.04973984290185e-06,246.9294420857039,2.2281914932171244e-10,5,0,9970.155815412147,9970.155815412147,300.0,202102.20522441293,101325.0,0.03463133825671998,0.03463133825671998,2868.698236545678,2868.698236545678,7.59509147936406e-05,8.215148500762124,0.00020825636267238898,9.057045148616428e-12,0.00020825637172943413,4.148422008196507e-09,0.0,3.201482180991023e-26,0.0,2.9712647751122855e-21,-2.0679504808405123e-25,0.15654652638492642,-0.014449786886017914,38.655946420684806,246.9294420857039,0.00404973984290185,245.65002826116316,4.4565965906520395e-11,7.450399009654154,7.450399009654152,4.1484220081965085e-09,4.148422008196507e-09,3.8724438396678025e-14,0.0,1.0439817052566764e-10,5.977128774715418e-10,1.4942821936788546e-10,8.515392673650949e-10,0.00020825637172943413,-1.4872867962674868e-25,1.6543612251060553e-24,LAGGED,2.7755575615628914e-17,7.105427357601002e-15,0.17415315910784643
4.028228123594926e-06,248.2481054492928,2.6738371939857873e-10,6,0,9961.680985807783,9961.680985807783,300.0,201909.32370278152,101325.0,0.03463431134510008,0.03463431134510008,2859.923315013882,2859.923315013882,7.596569238280867e-05,9.920067117568015,0.00020825658122565504,1.2997958620423157e-11,0.00020825659422361365,4.370916187698548e-09,0.0,4.802249862026266e-26,0.0,2.1178353245693787e-20,-2.0679499555607584e-25,0.12749265442248478,-0.016010564692405773,31.64980991908325,248.2481054492928,0.004028228123594926,246.9294420857039,4.45645700768663e-11,4.99262483893093,4.992624838930929,4.370916187698549e-09,4.370916187698548e-09,5.948745954534946e-14,0.0,1.2816909088485517e-10,4.006841871656402e-10,1.0017104679141005e-10,6.290243248419054e-10,0.00020825659422361365,-2.8646379367833734e-25,1.6543612251060553e-24,LAGGED,2.7755575615628914e-17,3.552713678800501e-15,0.14219293840018926
4.00648928864715e-06,249.595076376122,3.119462178859153e-10,7,0,9952.772356469955,9952.772356469955,300.0,201703.18211495143,101325.0,0.03463685187932597,0.03463685187932597,2850.7003935285484,2850.7003935285484,7.59811999406027e-05,11.633789862160548,0.00020825672420471807,1.7632408675150243e-11,0.00020825674183712673,4.5185297007670855e-09,0.0,6.723087102564699e-26,0.0,2.678913854901338e-20,-2.06794932525261e-25,0.10324082387046062,-0.017284720486072998,25.768401319081377,249.595076376122,0.00400648928864715,248.2481054492928,4.456249848733661e-11,3.3125053145412275,3.3125053145412275,4.518529700767087e-09,4.5185297007670855e-09,8.426482145950598e-14,0.0,1.4938078114083576e-10,2.6560420261649396e-10,6.640105065412349e-11,4.813860344114532e-10,0.00020825674183712673,-3.1957070814865277e-25,1.6543612251060553e-24,LAGGED,2.7755575615628914e-17,3.552713678800501e-15,0.11551418556866784
3.984655250215514e-06,250.962740113066,3.5650613625459165e-10,8,0,9943.565612325485,9943.565612325485,300.0,201487.14792507252,101325.0,0.03463896006159504,0.03463896006159504,2841.1695142832864,2841.1695142832864,7.599721041153315e-05,13.352563168420543,0.00020825681557163118,2.2954292356317766e-11,0.00020825683852592353,4.615218497592565e-09,0.0,8.963923683121226e-26,0.0,8.654880388379159e-21,1.0339787071347446e-25,0.08299014795385745,-0.01831818261395746,20.827434932888824,250.962740113066,0.003984655250215514,249.595076376122,4.455991836867631e-11,2.169860277245199,2.1698602772451987,4.6152184975925666e-09,4.615218497592565e-09,1.1257232642770278e-13,0.0,1.6777790713914667e-10,1.735128183534871e-10,4.3378204588371773e-11,3.8466893008100556e-10,0.00020825683852592353,-3.8367670075053307e-25,1.6543612251060553e-24,LAGGED,2.7755575615628914e-17,0.0,0.09323905811752832
3.962816027147263e-06,252.34580488962953,4.0106307851014244e-10,9,0,9934.154120462685,9934.154120462685,300.0,201263.54196430804,101325.0,0.03464063634716915,0.03464063634716915,2831.4270595875355,2831.4270595875355,7.601356755415785e-05,15.073051191361818,0.00020825687185574543,2.8957990473744495e-11,0.0002082569008137359,4.677506309936126e-09,0.0,1.1524681242072144e-25,0.0,2.4217482040527413e-20,-2.0679477496459696e-25,0.06607347867470535,-0.019149372487518627,16.673365158026293,252.34580488962953,0.003962816027147263,250.962740113066,4.4556942255550805e-11,1.3979373177431456,1.397937317743145,4.677506309936128e-09,4.677506309936126e-09,1.439038845620079e-13,0.0,1.8334923333286765e-10,1.1120044227715406e-10,2.7800110569288515e-11,3.223497861793102e-10,0.0002082569008137359,-1.2046221567086939e-25,1.6543612251060553e-24,LAGGED,2.0816681711721685e-17,0.0,0.07463443087890077
