G_length_S_m,Rsp_ohm,time_s,accepted_steps,rejected_steps,T_axis_K,T_max_K,T_min_K,p_axis_Pa,p_min_Pa,rho_axis_kg_m3,rho_min_kg_m3,sigma_axis_S_m,sigma_max_S_m,channel_radius_m,outward_velocity_max_m_s,internal_energy_J,kinetic_energy_J,total_energy_J,cumulative_Joule_J,conduction_boundary_loss_J,hydro_boundary_loss_J,radiation_loss_J,energy_residual_J,mass_residual_kg,I_A,I_L_A,V_channel_V,Rsp_circuit_ohm,Gsp_S,interval_Rsp_ohm,interval_dt_s,P_sp_circuit_W,P_sp_thermal_W,Q_sp_circuit_J,Q_sp_thermal_J,Q_fixed_R_J,source_work_J,inductor_energy_J,cext_energy_J,cgap_energy_J,circuit_energy_J,thermal_energy_J,circuit_energy_residual_J,cross_domain_energy_residual_J,coupling_status,KCL_max_A,KVL_max_V,I_rms_interval_A
4.147894813072713e-06,241.08615214839827,0.0,0,0,9989.22820765951,9989.22820765951,300.0,202537.4791898041,101325.0,0.034624871235957644,0.034624871235957644,2888.438135008073,2888.438135008073,7.594249198798159e-05,0.0,0.00020825416216199174,0.0,0.00020825416216199174,0.0,0.0,0.0,0.0,0.0,-1.0339757656912846e-25,0.4147894813072713,0.0,100.0,241.08615214839827,0.0041478948130727125,241.08615214839827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-09,1e-09,5e-09,0.00020825416216199174,0.0,0.0,LAGGED,,,
4.137971349139072e-06,241.66431220169167,2.5e-11,1,0,9988.52091173862,9988.52091173862,300.0,202544.89389545235,101325.0,0.03462919649225035,0.03462919649225035,2887.6847227012317,2887.6847227012317,7.5943933057691e-05,0.8907475086826296,0.00020825509836277964,1.1541813984560246e-13,0.00020825509847819778,9.363162060922838e-10,0.0,0.0,0.0,-4.6135378279685704e-20,-1.0339757656912846e-25,0.3729166191365557,-0.0023744372740719982,90.12063827221594,241.66431220169167,0.004137971349139072,241.08615214839827,2.5e-11,37.45264824369137,37.45264824369135,9.363162060922842e-10,9.363162060922838e-10,9.642766876848865e-17,0.0,2.8189761842512304e-12,3.2486917770366374e-09,8.121729442591593e-10,4.063683697480048e-09,0.00020825509847819778,1.0335399446930533e-24,4.1359030627651384e-25,LAGGED,5.551115123125783e-17,0.0,0.3941441936472542
4.127125513271261e-06,242.29939137648748,5e-11,2,0,9986.810333498508,9986.810333498508,300.0,202526.68576061734,101325.0,0.034633390455148835,0.034633390455148835,2885.895525691346,2885.895525691346,7.594714581248119e-05,1.7895053467405435,0.00020825585633130233,4.607519019389962e-13,0.00020825585679205423,1.6946300625198418e-09,0.0,-4.36901693735212e-28,0.0,-2.2656477414729123e-20,-1.0339757800278819e-25,0.3350444307832764,-0.00451372044185884,81.18106166286955,242.29939137648748,0.004127125513271261,241.66431220169167,2.5e-11,30.332554257102327,30.33255425710232,1.6946300625198424e-09,1.6946300625198418e-09,7.150112158515511e-16,0.0,1.018683611362718e-11,2.6361459090842515e-09,6.590364772710629e-10,3.3053692224689414e-09,0.00020825585679205423,-4.9052722010942705e-25,6.203854594147708e-25,LAGGED,5.551115123125783e-17,0.0,0.3542813013159117
4.1155444632973e-06,242.98121643881308,7.5e-11,3,0,9984.281054822459,9984.281054822459,300.0,202487.41773082962,101325.0,0.03463745244321019,0.03463745244321019,2883.261084982507,2883.261084982507,7.595180465702943e-05,2.694711781184096,0.00020825646918945528,1.034551009750053e-12,0.00020825647022400628,2.3080620146103772e-09,0.0,-1.3107050812056361e-27,0.0,-6.874408688784328e-20,-4.300979153045449e-33,0.30081209871251136,-0.006440216889388298,73.09168966467833,242.98121643881308,0.0041155444632972995,242.29939137648748,2.5e-11,24.537278083621413,24.537278083621413,2.3080620146103776e-09,2.3080620146103772e-09,2.23957961950679e-15,0.0,2.073819679118114e-11,2.136958039215058e-09,5.342395098037645e-10,2.691935745810004e-09,0.00020825647022400628,9.135924361109373e-25,4.1359030627651384e-25,LAGGED,5.551115123125783e-17,0.0,0.31822700451901575
4.1033810043573646e-06,243.70147420824532,1e-10,4,0,9981.084175409329,9981.084175409329,300.0,202430.8262424078,101325.0,0.03464138189060577,0.03464138189060577,2879.9373495988407,2879.9373495988407,7.595764306262663e-05,3.6049943320147064,0.00020825696399990646,1.8353050318369896e-12,0.00020825696583521148,2.8036732197708573e-09,0.0,-2.6214101624112722e-27,0.0,-2.3106465852466437e-20,-8.601958306090898e-33,0.26988354776962464,-0.008174155961998143,65.77101845600892,243.70147420824532,0.004103381004357364,242.98121643881308,2.5e-11,19.82444820641919,19.824448206419195,2.8036732197708573e-09,2.8036732197708573e-09,4.933013275291546e-15,0.0,3.340841284553489e-11,1.7303307474962663e-09,4.325826868740666e-10,2.196321847215868e-09,0.00020825696583521148,4.149787014697028e-25,0.0,LAGGED,5.551115123125783e-17,1.4210854715202004e-14,0.2856368289521724
4.09075966093862e-06,244.45337367254453,1.25e-10,5,0,9977.343219185483,9977.343219185483,300.0,202359.96666214202,101325.0,0.03464517832262311,0.03464517832262311,2876.051792057351,2876.051792057351,7.596444314637086e-05,4.519140450760677,0.00020825736284816403,2.8614755093924354e-12,0.00020825736570963954,3.2035476478455124e-09,0.0,-4.3690169373521206e-27,0.0,-4.013604846100867e-20,-1.4336597176818165e-32,0.24194827133987618,-0.009733824048076246,59.14507118327295,244.45337367254453,0.00409075966093862,243.70147420824532,2.5e-11,15.9949771229862,15.9949771229862,3.2035476478455124e-09,3.2035476478455124e-09,8.96421782324096e-15,0.0,4.7373665299453724e-11,1.3992557781097697e-09,3.498139445274424e-10,1.7964433879366659e-09,0.00020825736570963954,1.377788169457379e-24,0.0,LAGGED,5.551115123125783e-17,0.0,0.25619033020703996
4.077781752413671e-06,245.23136860085566,1.5e-10,6,0,9973.159053955897,9973.159053955897,300.0,202277.33453474773,101325.0,0.034648841335529854,0.034648841335529854,2871.7084968171407,2871.7084968171407,7.59720269915541e-05,5.436073068722712,0.00020825768374096803,4.1115199585910375e-12,0.000208257687852488,3.5256904963038644e-09,0.0,-6.553525406028182e-27,0.0,-5.027438982327332e-20,-1.0339759807402422e-25,0.21672116505986164,-0.011135745635290375,53.14682791240181,245.23136860085566,0.00407778175241367,244.45337367254453,2.5e-11,12.885713938334078,12.88571393833408,3.5256904963038644e-09,3.5256904963038644e-09,1.4429693967161566e-14,0.0,6.200241542694432e-11,1.1298341268601808e-09,2.824585317150452e-10,1.4742950740021704e-09,0.000208257687852488,1.686676123227529e-24,0.0,LAGGED,2.7755575615628914e-17,0.0,0.2295917219355514
4.064529606509187e-06,246.03093022093842,1.75e-10,7,0,9968.613967710142,9968.613967710142,300.0,202184.96612149978,101325.0,0.03465237057998726,0.03465237057998726,2866.9923731177714,2866.9923731177714,7.598024945612312e-05,6.354830261261066,0.00020825794134854463,5.583909418179726e-12,0.00020825794693245405,3.7847704622893745e-09,0.0,-9.174935568439455e-27,0.0,2.2362818685435536e-20,-1.0339760667598253e-25,0.19394170488741172,-0.012394850126448398,47.71565806208462,246.03093022093842,0.0040645296065091865,245.23136860085566,2.5e-11,10.363198639420391,10.36319863942039,3.7847704622893745e-09,3.7847704622893745e-09,2.137073317818967e-14,0.0,7.681615482855892e-11,9.107136097191125e-10,2.2767840242977813e-10,1.2152081669774497e-09,0.00020825794693245405,1.826825151649094e-24,0.0,LAGGED,2.7755575615628914e-17,7.105427357601002e-15,0.20556960453449008
4.0510700387685215e-06,246.84836115644856,1.9999999999999998e-10,8,0,9963.775032783722,9963.775032783722,300.0,202084.5214272377,101325.0,0.03465576574735741,0.03465576574735741,2861.9726297446036,2861.9726297446036,7.598899223767023e-05,7.27454836161956,0.00020825814761554838,7.277140920648513e-12,0.0002082581548926893,3.992730697564838e-09,0.0,-1.223324742458594e-26,0.0,-1.205534248059525e-20,-1.0339761671160056e-25,0.1733727143939747,-0.01352462467316795,42.796770417397674,246.84836115644856,0.004051070038768521,246.03093022093842,2.5e-11,8.318409411018552,8.318409411018552,3.992730697564838e-09,3.992730697564838e-09,2.978708040969499e-14,0.0,9.145773627503162e-11,7.32625423263778e-10,1.831563558159445e-10,1.0072395153547541e-09,0.0002082581548926893,1.834171024398512e-24,0.0,LAGGED,2.7755575615628914e-17,0.0,0.18387610320579872
4.0374572142789185e-06,247.68064326809167,2.2499999999999997e-10,9,0,9958.696873964776,9958.696873964776,300.0,201977.35255285248,101325.0,0.03465902655837978,0.03465902655837978,2856.7056328563935,2856.7056328563935,7.59981589900912e-05,8.19444794730118,0.00020825831226246386,9.18974600905262e-12,0.00020825832145220986,4.159290218157701e-09,0.0,-1.5728460974467635e-26,0.0,-3.46224874474805e-20,-1.033976281808783e-25,0.15479889631223537,-0.014537253590775302,38.34069021580508,247.68064326809167,0.004037457214278919,246.84836115644856,2.5e-11,6.66238082371451,6.6623808237145115,4.159290218157701e-09,4.159290218157701e-09,3.964774888040688e-14,0.0,1.056658709812547e-10,5.880034104897326e-10,1.4700085262243316e-10,8.406701340934204e-10,0.00020825832145220986,9.271703100116014e-25,0.0,LAGGED,5.551115123125783e-17,0.0,0.1642856394874969
