G_length_S_m,Rsp_ohm,time_s,accepted_steps,rejected_steps,T_axis_K,T_max_K,T_min_K,p_axis_Pa,p_min_Pa,rho_axis_kg_m3,rho_min_kg_m3,sigma_axis_S_m,sigma_max_S_m,channel_radius_m,outward_velocity_max_m_s,internal_energy_J,kinetic_energy_J,total_energy_J,cumulative_Joule_J,conduction_boundary_loss_J,hydro_boundary_loss_J,radiation_loss_J,energy_residual_J,mass_residual_kg,I_A,I_L_A,V_channel_V,Rsp_circuit_ohm,Gsp_S,interval_Rsp_ohm,interval_dt_s,P_sp_circuit_W,P_sp_thermal_W,Q_sp_circuit_J,Q_sp_thermal_J,Q_fixed_R_J,source_work_J,inductor_energy_J,cext_energy_J,cgap_energy_J,circuit_energy_J,thermal_energy_J,circuit_energy_residual_J,cross_domain_energy_residual_J,coupling_status,KCL_max_A,KVL_max_V,I_rms_interval_A
4.147894813072713e-06,241.08615214839827,0.0,0,0,9989.22820765951,9989.22820765951,300.0,202537.4791898041,101325.0,0.034624871235957644,0.034624871235957644,2888.438135008073,2888.438135008073,7.594249198798159e-05,0.0,0.00020825416216199174,0.0,0.00020825416216199174,0.0,0.0,0.0,0.0,0.0,-1.0339757656912846e-25,0.4147894813072713,0.0,100.0,241.08615214839827,0.0041478948130727125,241.08615214839827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-09,1e-09,5e-09,0.00020825416216199174,0.0,0.0,FIXED_RSP_REPLAY,,,
4.127157430816966e-06,242.2975175439458,5e-11,1,0,9986.819615719913,9986.819615719913,300.0,202527.6725937184,101325.0,0.034633521748543054,0.034633521748543054,2885.9044222313028,2885.9044222313028,7.594712662973645e-05,1.7808038806463613,0.00020825585796696398,4.615999522369501e-13,0.00020825585842856393,1.696266572232154e-09,0.0,0.0,0.0,-4.0934066587952266e-20,-1.0339757656912846e-25,0.33664693794719935,-0.004513459628343434,81.1609149022309,241.08615214839827,0.0041478948130727125,241.08615214839827,5e-11,33.92533144464307,33.92533144464308,1.6962665722321535e-09,1.696266572232154e-09,7.149759208814388e-16,0.0,1.0185658908343023e-11,2.634837643106866e-09,6.587094107767165e-10,3.3037327127919256e-09,0.00020825585842856393,-7.749217330257565e-26,-4.1359030627651384e-25,FIXED_RSP_REPLAY,5.551115123125783e-17,0.0,0.37512492096767924
4.1034896876401334e-06,243.69501963463875,1e-10,2,0,9981.155836836622,9981.155836836622,300.0,202434.12729845196,101325.0,0.034641646627127924,0.034641646627127924,2880.0099892901503,2880.0099892901503,7.595751106512107e-05,3.5920722992531484,0.0002082569764427219,1.8387955070642477e-12,0.0002082569782815174,2.816119525668539e-09,0.0,-1.747606774940848e-27,0.0,8.739145695554989e-22,-1.0339758230376734e-25,0.27238075399321965,-0.008170903664929266,65.6672278995048,241.08615214839827,0.0041478948130727125,241.08615214839827,5e-11,22.28508506836277,22.397059068727707,2.810520825650292e-09,2.816119525668539e-09,4.930996180873028e-15,0.0,3.338183335077726e-11,1.7248739280022004e-09,4.312184820005501e-10,2.1894742433535277e-09,0.0002082569782815174,3.9583225843908364e-25,-5.598700018247253e-12,FIXED_RSP_REPLAY,5.551115123125783e-17,1.4210854715202004e-14,0.30403320339059364
4.077973012816591e-06,245.21986704108076,1.5e-10,3,0,9973.305527544066,9973.305527544066,300.0,202283.26607555815,101325.0,0.034649241128850004,0.034649241128850004,2871.8577365113297,2871.8577365113297,7.597176025915692e-05,5.422572734804298,0.00020825770896565706,4.119515868948377e-12,0.00020825771308517294,3.550923181200475e-09,0.0,-5.2428203248225444e-27,0.0,-4.1897222307843334e-22,-1.0339759377304508e-25,0.21953700801282355,-0.011124410355324951,52.92733251598371,241.08615214839827,0.0041478948130727125,241.08615214839827,5e-11,14.538744875653684,14.69607311063871,3.537458069432976e-09,3.550923181200475e-09,1.4414061441233074e-14,0.0,6.18762528768305e-11,1.1205210109030026e-09,2.8013025272575065e-10,1.4625275165055836e-09,0.00020825771308517294,1.090486605497697e-24,-1.3465111767498738e-11,FIXED_RSP_REPLAY,5.551115123125783e-17,0.0,0.24557113930246646
4.051331208742887e-06,246.83244802152237,2e-10,4,0,9963.98889639484,9963.98889639484,300.0,202092.9054582898,101325.0,0.034656301916589784,0.034656301916589784,2862.1908173976776,2862.1908173976776,7.598860385963296e-05,7.263427513406165,0.0002082581840746012,7.291499493968113e-12,0.00020825819136610068,4.029204108967951e-09,0.0,-1.0485640649645089e-26,0.0,-2.009719064822901e-20,-1.0339761097696168e-25,0.17609560381098616,-0.013499163256993081,42.45421153303947,241.08615214839827,0.0041478948130727125,241.08615214839827,5e-11,9.404369222833813,9.565618555349534,4.007676530574666e-09,4.029204108967951e-09,2.972665982721818e-14,0.0,9.111370431947601e-11,7.209440307568246e-10,1.8023600768920615e-10,9.922937427655067e-10,0.00020825819136610068,2.0687088378515814e-26,-2.1527578393284793e-11,FIXED_RSP_REPLAY,2.7755575615628914e-17,0.0,0.19750527668802426
4.024047531898786e-06,248.50601094369782,2.5e-10,5,0,9953.690893753625,9953.690893753625,300.0,201875.04682141647,101325.0,0.03466282650390503,0.03466282650390503,2851.5096209908415,2851.5096209908415,7.600718650532299e-05,9.107480889694834,0.00020825848810797291,1.1342827054634832e-11,0.00020825849945079996,4.337288808253479e-09,0.0,-1.7476067749408482e-26,0.0,-3.3427213209948153e-20,-1.0339763391551716e-25,0.1403935767747479,-0.015398205923885334,33.846947210974704,241.08615214839827,0.0041478948130727125,241.08615214839827,5e-11,6.0182488389912105,6.1616939857105555,4.308588972524227e-09,4.337288808253479e-09,5.0736887330689184e-14,0.0,1.185523728371887e-10,4.5824633420100335e-10,1.1456158355025084e-10,6.913602905884429e-10,0.00020825849945079996,7.845947454455766e-25,-2.869983572925184e-11,FIXED_RSP_REPLAY,2.7755575615628914e-17,0.0,0.1579970352349452
3.9964434461648765e-06,250.22248243238226,3e-10,6,0,9942.737244704076,9942.737244704076,300.0,201637.75322165966,101325.0,0.03466881287250529,0.03466881287250529,2840.150270569825,2840.150270569825,7.602693369196678e-05,10.948858681957923,0.000208258678992856,1.6262184131909644e-11,0.00020825869525504016,4.533093048414861e-09,0.0,-2.6214101624112727e-26,0.0,4.2930411650485896e-21,-8.601958306090899e-32,0.11106195845938528,-0.016906356035499264,26.77550021503845,241.08615214839827,0.0041478948130727125,241.08615214839827,5e-11,3.7991588739109967,3.916084803227655,4.498546916219777e-09,4.533093048414861e-09,7.694069793054191e-14,0.0,1.429124371995312e-10,2.867709647062096e-10,7.16927411765524e-11,5.013761430822932e-10,0.00020825869525504016,3.3250802699427736e-25,-3.454613219508462e-11,FIXED_RSP_REPLAY,2.7755575615628914e-17,3.552713678800501e-15,0.1255329095780648
3.968731674194341e-06,251.9696674134569,3.5e-10,7,0,9931.345794800285,9931.345794800285,300.0,201386.41780486226,101325.0,0.03467425920526546,0.03467425920526546,2828.337601949215,2828.337601949215,7.604746119380758e-05,12.782660022335946,0.00020825879550840634,2.2038960372770713e-11,0.0002082588175473667,4.655385374976207e-09,0.0,-3.669974227375782e-26,0.0,-9.566380483918039e-21,-1.0339769699654475e-25,0.08697380253089353,-0.018093427567503123,20.968179389887744,241.08615214839827,0.0041478948130727125,241.08615214839827,5e-11,2.356541759265579,2.4458465312269246,4.6163740041830555e-09,4.655385374976207e-09,1.0766178344719584e-13,0.0,1.63686060570241e-10,1.7586581877060527e-10,4.396645469265132e-11,3.835183340334976e-10,0.0002082588175473667,6.116511914721637e-26,-3.9011370793151596e-11,FIXED_RSP_REPLAY,1.3877787807814457e-17,3.552713678800501e-15,0.09886701846443505
3.941051963758217e-06,253.73935923605342,3.9999999999999996e-10,8,0,9919.661303506562,9919.661303506562,300.0,201124.6237520554,101325.0,0.034679163698421035,0.034679163698421035,2816.221051433936,2816.221051433936,7.606851368743317e-05,14.67304786830384,0.000208258863529743,2.8663253291521207e-11,0.0002082588921929963,4.7300310046400655e-09,0.0,-4.893298969834376e-26,0.0,-7.08290432440678e-20,-1.6056988838036345e-31,0.06720139891136727,-0.019016883331387492,16.201326682531096,241.08615214839827,0.0041478948130727125,241.08615214839827,5e-11,1.4284280973252452,1.4929125932771676,4.6877954090493175e-09,4.7300310046400655e-09,1.4217199383372283e-13,0.0,1.8082092581980173e-10,1.0499319450963762e-10,2.6248298627409405e-11,3.1206241895684877e-10,0.0002082588921929963,-2.652087254480624e-25,-4.2235595590747964e-11,FIXED_RSP_REPLAY,2.0816681711721685e-17,0.0,0.07697382344500439
3.913495199229573e-06,255.52605767776697,4.4999999999999995e-10,9,0,9907.779068213065,9907.779068213065,300.0,200854.7283570703,101325.0,0.034683524429218356,0.034683524429218356,2803.8990198581873,2803.8990198581873,7.608992308049305e-05,16.618256182025092,0.0002082589002443354,3.612581955087399e-11,0.00020825893637015493,4.77420816321207e-09,0.0,-6.291384389787054e-26,0.0,-2.103443871045484e-20,-1.033977830161278e-25,0.050981051796557146,-0.019724018585018932,12.290825610110149,241.08615214839827,0.0041478948130727125,241.08615214839827,5e-11,0.8394835712551876,0.8835431714400948,4.729769587612077e-09,4.77420816321207e-09,1.7976072776729313e-13,0.0,1.945184545710861e-10,6.04257576712558e-11,1.510643941781395e-11,2.700506516601559e-10,0.00020825893637015493,4.938900355407711e-25,-4.4438575599992835e-11,FIXED_RSP_REPLAY,2.7755575615628914e-17,0.0,0.05900923275953644
