G_length_S_m,Rsp_ohm,time_s,accepted_steps,rejected_steps,T_axis_K,T_max_K,T_min_K,p_axis_Pa,p_min_Pa,rho_axis_kg_m3,rho_min_kg_m3,sigma_axis_S_m,sigma_max_S_m,channel_radius_m,outward_velocity_max_m_s,internal_energy_J,kinetic_energy_J,total_energy_J,cumulative_Joule_J,conduction_boundary_loss_J,hydro_boundary_loss_J,radiation_loss_J,energy_residual_J,mass_residual_kg,I_A,I_L_A,V_channel_V,Rsp_circuit_ohm,Gsp_S,interval_Rsp_ohm,interval_dt_s,P_sp_circuit_W,P_sp_thermal_W,Q_sp_circuit_J,Q_sp_thermal_J,Q_fixed_R_J,source_work_J,inductor_energy_J,cext_energy_J,cgap_energy_J,circuit_energy_J,thermal_energy_J,circuit_energy_residual_J,cross_domain_energy_residual_J,coupling_status,KCL_max_A,KVL_max_V,I_rms_interval_A
4.147894813072713e-06,241.08615214839827,0.0,0,0,9989.22820765951,9989.22820765951,300.0,202537.4791898041,101325.0,0.034624871235957644,0.034624871235957644,2888.438135008073,2888.438135008073,7.594249198798159e-05,0.0,0.00020825416216199174,0.0,0.00020825416216199174,0.0,0.0,0.0,0.0,0.0,-1.0339757656912846e-25,0.4147894813072713,0.0,100.0,241.08615214839827,0.0041478948130727125,241.08615214839827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-09,1e-09,5e-09,0.00020825416216199174,0.0,0.0,LAGGED,,,
4.127157430816966e-06,242.2975175439458,5e-11,1,0,9986.819615719913,9986.819615719913,300.0,202527.6725937184,101325.0,0.034633521748543054,0.034633521748543054,2885.9044222313028,2885.9044222313028,7.594712662973645e-05,1.7808038806463613,0.00020825585796696398,4.615999522369501e-13,0.00020825585842856393,1.696266572232154e-09,0.0,0.0,0.0,-4.0934066587952266e-20,-1.0339757656912846e-25,0.3349638730306457,-0.004513459628343434,81.1609149022309,242.2975175439458,0.004127157430816966,241.08615214839827,5e-11,33.92533144464307,33.92533144464308,1.6962665722321535e-09,1.696266572232154e-09,7.149759208814388e-16,0.0,1.0185658908343023e-11,2.634837643106866e-09,6.587094107767165e-10,3.3037327127919256e-09,0.00020825585842856393,-7.749217330257565e-26,-4.1359030627651384e-25,LAGGED,5.551115123125783e-17,0.0,0.37512492096767924
4.10343472650992e-06,243.69828366942892,1e-10,2,0,9981.098650997403,9981.098650997403,300.0,202432.709949392,101325.0,0.034641646627127924,0.034641646627127924,2879.950903681074,2879.950903681074,7.595761189129724e-05,3.5920722992531484,0.00020825696634396823,1.8387955070642477e-12,0.00020825696818276373,2.8060207720213342e-09,0.0,-1.747606774940848e-27,0.0,-2.658724099628619e-20,-1.0339758230376734e-25,0.2697413027870186,-0.00817273606283279,65.73549252395217,243.69828366942892,0.00410343472650992,242.2975175439458,5e-11,22.195083995783605,22.19508399578361,2.806020772021334e-09,2.8060207720213342e-09,4.9319190178714175e-15,0.0,3.3396807376363793e-11,1.728461990946629e-09,4.3211549773665726e-10,2.19397429605965e-09,0.00020825696818276373,1.615632887825135e-24,-4.1359030627651384e-25,LAGGED,8.326672684688674e-17,0.0,0.302659223947999
4.077849898621366e-06,245.22727046379973,1.5e-10,3,0,9973.176527061047,9973.176527061047,300.0,202280.06811657434,101325.0,0.03464924110226889,0.03464924110226889,2871.724423930248,2871.724423930248,7.597198769098536e-05,5.422488085650676,0.00020825768620128538,4.119477823786484e-12,0.0002082576903207632,3.528158771488767e-09,0.0,-5.2428203248225444e-27,0.0,-3.072562909610254e-20,-1.0339759377304508e-25,0.21653809298051124,-0.011132500906132799,53.101045493047245,245.22727046379973,0.004077849898621366,243.69828366942892,5e-11,14.44275998934866,14.442759989348655,3.5281587714887667e-09,3.528158771488767e-09,1.4424071374422557e-14,0.0,6.19662882125238e-11,1.1278884129818691e-09,2.819721032454673e-10,1.4718268044398602e-09,0.0002082576903207632,1.243831699141799e-24,-4.1359030627651384e-25,LAGGED,2.7755575615628914e-17,0.0,0.24344388036453357
4.051147553316085e-06,246.84363796659184,2e-10,4,0,9963.79511534927,9963.79511534927,300.0,202088.10067920265,101325.0,0.034656301850617244,0.034656301850617244,2861.990512247539,2861.990512247539,7.598894548152205e-05,7.263154570655568,0.00020825814987909152,7.29133449823747e-12,0.00020825815717042602,3.995008434316399e-09,0.0,-1.0485640649645089e-26,0.0,-3.500381246704712e-20,-1.0339761097696168e-25,0.17316733509906337,-0.013519125986605759,42.74525497283269,246.84363796659184,0.004051147553316085,245.22727046379973,5e-11,9.336993256552637,9.336993256552637,3.995008434316399e-09,3.995008434316399e-09,2.97706165040054e-14,0.0,9.138338372085955e-11,7.308627290769912e-10,1.827156822692478e-10,1.0049617950670985e-09,0.00020825815717042602,1.2718204840590405e-24,0.0,LAGGED,5.551115123125783e-17,0.0,0.1951277965966447
4.023818473665153e-06,248.520157294555,2.5e-10,5,0,9953.447560241913,9953.447560241913,300.0,201869.01245988396,101325.0,0.03466282641581984,0.03466282641581984,2851.2580305420406,2851.2580305420406,7.600761545879038e-05,9.10692920341893,0.00020825844513557115,1.1342406837987376e-11,0.00020825845647797799,4.2943159862706275e-09,0.0,-1.7476067749408482e-26,0.0,-2.0268424025454586e-20,-1.0339763391551716e-25,0.13781231049861117,-0.015435767219155922,34.2491370822409,248.520157294555,0.004023818473665153,246.84363796659184,5e-11,5.986151039084574,5.986151039084576,4.2943159862706275e-09,4.2943159862706275e-09,5.086346832524614e-14,0.0,1.1913145482198427e-10,4.692013563512515e-10,1.1730033908781287e-10,7.056331502610486e-10,0.00020825845647797799,1.2746162071071438e-24,0.0,LAGGED,4.163336342344337e-17,0.0,0.15572662307957497
3.996184571253054e-06,250.23869197473968,3e-10,6,0,9942.460433189108,9942.460433189108,300.0,201630.8878423869,101325.0,0.03466881281221739,0.03466881281221739,2839.8639876099473,2839.8639876099473,7.602742163109454e-05,10.947962192337709,0.000208258630031091,1.626135871483422e-11,0.00020825864629244972,4.484130458022662e-09,0.0,-2.6214101624112727e-26,0.0,-4.1743695826590163e-20,-1.0339766258871153e-25,0.1089807423753201,-0.01696662518819369,27.271198422436186,250.23869197473968,0.003996184571253053,248.520157294555,5e-11,3.796289435040694,3.7962894350406935,4.484130458022662e-09,4.484130458022662e-09,7.722514107159538e-14,0.0,1.4393318513832428e-10,2.974873053583544e-10,7.43718263395886e-11,5.157923168362672e-10,0.00020825864629244972,6.897042448783515e-25,0.0,LAGGED,4.163336342344337e-17,0.0,0.12359441557002723
3.96845593366091e-06,251.98717504152748,3.5e-10,7,0,9931.049105610558,9931.049105610558,300.0,201379.05892031034,101325.0,0.03467425925131044,0.03467425925131044,2828.0306727789475,2828.0306727789475,7.604798413856726e-05,12.781377237099953,0.00020825874290422318,2.2037573289211155e-11,0.00020825876494179647,4.602779804764342e-09,0.0,-3.669974227375782e-26,0.0,-3.3969862915457464e-20,-1.2042741628527259e-31,0.08545503235524549,-0.018180463417764244,21.533572196280637,251.98717504152748,0.00396845593366091,250.23869197473968,5e-11,2.3729869348335977,2.3729869348335972,4.602779804764342e-09,4.602779804764342e-09,1.0820442711174381e-13,0.0,1.6526462504233196e-10,1.854778926129722e-10,4.636947315324305e-11,3.971119908085472e-10,0.00020825876494179647,8.241135213535284e-25,0.0,LAGGED,2.7755575615628914e-17,3.552713678800501e-15,0.09738015083561484
3.940768827014476e-06,253.75758992632902,3.9999999999999996e-10,8,0,9919.354849702811,9919.354849702811,300.0,201117.0226230415,101325.0,0.03467916395173836,0.03467916395173836,2815.9039257469803,2815.9039257469803,7.606905380844009e-05,14.670797169600851,0.00020825880901960948,2.8661151709432748e-11,0.0002082588376807612,4.6755187694858205e-09,0.0,-4.893298969834376e-26,0.0,-2.874953830288273e-20,-1.6056988838036345e-31,0.06624547397722133,-0.019133487985764995,16.810291819987032,253.75758992632902,0.003940768827014476,251.98717504152748,5e-11,1.4547792944295732,1.454779294429573,4.6755187694858205e-09,4.6755187694858205e-09,1.4309372691215166e-13,0.0,1.830451812507067e-10,1.1303436442924918e-10,2.8258591107312295e-11,3.2433813678726816e-10,0.0002082588376807612,8.146598122653598e-25,0.0,LAGGED,1.3877787807814457e-17,0.0,0.07598175783137734
3.913210891103651e-06,255.5446225178955,4.4999999999999995e-10,9,0,9907.469617950848,9907.469617950848,300.0,200847.05344651555,101325.0,0.03468352500698976,0.03468352500698976,2803.5786944425813,2803.5786944425813,7.609046844669718e-05,16.615448073283943,0.00020825884498408556,3.6122859517767407e-11,0.00020825888110694507,4.718944953394773e-09,0.0,-6.291384389787054e-26,0.0,-6.486922091147743e-20,-1.033977830161278e-25,0.05054916574769929,-0.01987169218578485,12.917567479590348,255.5446225178955,0.003913210891103651,253.75758992632902,5e-11,0.8685236781790473,0.8685236781790475,4.718944953394773e-09,4.718944953394773e-09,1.8119664705158666e-13,0.0,1.974420751632913e-10,6.674541983590805e-11,1.6686354958977013e-11,2.8087384995817637e-10,0.00020825888110694507,1.0439722110822453e-24,0.0,LAGGED,6.938893903907228e-18,0.0,0.05850342756191249
